cluster,overall_accuracy,average_global_pr_auc,average_global_roc_auc,precision_0,recall_0,pr_auc_0,f1-score_0,support_0,precision_1,recall_1,pr_auc_1,f1-score_1,support_1
0,0.8725,0.913286938,0.639692982,0.460714286,0.335714286,0.469358655,0.379047619,7.6,0.91478344,0.943671679,0.96011893,0.928800455,56.8
1,0.881818182,0.912424242,0.481818182,0,0,0.276666667,0,1,0.911818182,0.963636364,0.958701495,0.935817805,10.8
2,0.879429429,0.912749941,0.562121212,0.5,0.166666667,0.374599575,0.246666667,3.6,0.912574484,0.957575758,0.927653579,0.934320377,32.8
3,0.906878307,0.946037616,0.576923077,0.15,0.2,0.376975524,0.166666667,1.8,0.946937322,0.953846154,0.968342782,0.949892598,26
4,0.846091188,0.89185676,0.718135848,0.578654244,0.519333333,0.611112542,0.546405229,24.6,0.897914784,0.916938364,0.960973571,0.907261471,113.2
5,0.841666667,0.883980331,0.665,0.45,0.4,0.556458162,0.421428571,4,0.887598344,0.93,0.938431087,0.907719796,20
6,0.807010403,0.841210211,0.719894358,0.642930403,0.541176471,0.67437243,0.587284946,17,0.850850906,0.898612245,0.947309248,0.874033561,49.4
7,0.892,0.914579117,0.808947368,0.81,0.67,0.877428571,0.711154401,4.8,0.920454925,0.947894737,0.98754943,0.932934462,19.4
8,0.846153846,0.886149434,0.702121212,0.653333333,0.48,0.60781746,0.54034632,4.6,0.890807453,0.924242424,0.949959472,0.906595236,21.4
9,0.851612903,0.887896942,0.663747783,0.555555556,0.388888889,0.572908492,0.454766082,9.8,0.890850554,0.938606676,0.924167653,0.914002324,52.2
10,0.871784512,0.912032322,0.606717687,0.264285714,0.266666667,0.402512397,0.26021978,6,0.91365997,0.946768707,0.969564522,0.929092682,48.6
11,0.873758865,0.919382698,0.65910299,0.483333333,0.38,0.419269732,0.403962704,5.4,0.921525954,0.93820598,0.95498203,0.929052469,42.2
12,0.845649718,0.905043011,0.725251701,0.523888889,0.546666667,0.560081825,0.531738437,9.8,0.911587127,0.903836735,0.974217917,0.907453891,49.8
13,0.949166667,0.9625,0.5,0,0,0.235119048,0,0.6,0.9625,0.986666667,0.935666895,0.97374861,15.2
14,0.899206349,0.932275127,0.773763441,0.72,0.6,0.685394337,0.624029304,5,0.937042308,0.947526882,0.983152496,0.941274526,30.8
15,0.958421053,0.958421053,0.5,0,0,0.069650937,0,0.8,0.958421053,1,0.936318576,0.978655579,18.4
16,0.890322581,0.936493059,0.621921182,0.25,0.3,0.43797714,0.27047619,2.6,0.937751529,0.943842365,0.976943518,0.940186414,28.4
17,0.871746032,0.911853567,0.500662879,0.1,0.05,0.192879835,0.066666667,3.2,0.911670168,0.951325758,0.943829384,0.930695023,32.6
18,0.882352941,0.938368347,0.758095238,0.552380952,0.6,0.70982906,0.533333333,2.4,0.949684874,0.916190476,0.972206153,0.927025399,14.6
19,0.863636364,0.904693472,0.684210526,0.433333333,0.433333333,0.575213675,0.420952381,3.4,0.91062201,0.935087719,0.962816334,0.920947685,18.6
AVERAGE,0.8765603,0.913561709,0.643406383,0.406420502,0.343922316,0.484281303,0.358257265,5.9,0.916952769,0.942223784,0.956645254,0.928475518,35.06
,,,,,,,,,,,,,
,,,,"With 10,000 estimators",,,,,,,,,
