cluster,overall_accuracy,average_global_pr_auc,average_global_roc_auc,precision_0,recall_0,pr_auc_0,f1-score_0,support_0,precision_1,recall_1,pr_auc_1,f1-score_1,support_1
0,0.8569711538461539,0.90864753844393,0.618327067669173,0.39166666666666666,0.3071428571428571,0.45049736946862884,0.3322549019607843,7.6,0.9103629976580796,0.9295112781954888,0.9411182777124896,0.91947599048619,56.8
1,0.8484848484848484,0.9096969696969696,0.4636363636363637,0.0,0.0,0.1952380952380952,0.0,1.0,0.9084848484848485,0.9272727272727274,0.9314425423061786,0.9159420289855073,10.8
2,0.8737237237237239,0.9167162894985476,0.581060606060606,0.64,0.21666666666666665,0.4151820036979954,0.3044444444444444,3.6,0.9166570660522273,0.9454545454545455,0.918519151095502,0.929928309465852,32.8
3,0.8925925925925926,0.9521168873861182,0.6653846153846155,0.21666666666666665,0.4,0.30591133844842283,0.27999999999999997,1.8,0.9534672364672364,0.9307692307692308,0.9651299094326161,0.9416083553885997,26.0
4,0.834475827779541,0.8850069320312656,0.6982549293587952,0.5419845265337255,0.4866666666666667,0.5587663745455195,0.5120723514211887,24.6,0.8909760067538179,0.9098431920509238,0.9435121597139288,0.9002669073516651,113.2
5,0.8583333333333334,0.8943398268398269,0.6950000000000001,0.55,0.45,0.5801790935672515,0.48809523809523814,4.0,0.8968398268398268,0.9400000000000001,0.9394410742523208,0.9175029036004645,20.0
6,0.8010402532790593,0.840346220369103,0.7197358943577431,0.6274822236586942,0.5529411764705883,0.6416386662649971,0.5866279972399517,17.0,0.852250092489826,0.8865306122448979,0.9381424380125039,0.8688890965624261,49.4
7,0.9003333333333334,0.9166489849024474,0.8142105263157895,0.8300000000000001,0.6700000000000002,0.8269197012138187,0.7220634920634922,4.8,0.9216245158350421,0.958421052631579,0.9659741894265277,0.9389088575096277,19.4
8,0.8307692307692308,0.8792160827704232,0.6823593073593074,0.5271428571428571,0.45,0.5993433876065455,0.47000000000000003,4.6,0.8836158578263842,0.9147186147186147,0.9532502801968393,0.8970788631658199,21.4
9,0.8387096774193548,0.8833500139579975,0.6480511207869699,0.5133333333333334,0.3688888888888889,0.5443765301972773,0.4230065359477124,9.8,0.8863462073988388,0.9272133526850508,0.914953774837856,0.9060579923593745,52.2
10,0.8826936026936026,0.9131484925289589,0.6128401360544218,0.3,0.26666666666666666,0.3989733604689184,0.28181818181818186,6.0,0.914455956741671,0.959013605442177,0.9639415183521522,0.9357479719160391,48.6
11,0.8696808510638299,0.9118058025145045,0.6248726467331118,0.4133333333333334,0.30666666666666664,0.38566305319483735,0.33606060606060606,5.4,0.9134824230794537,0.943078626799557,0.929898292852817,0.9276242453018522,42.2
12,0.8456497175141242,0.9071859083352057,0.7332517006802721,0.5321678321678321,0.5666666666666667,0.5955782534173055,0.5443252399774139,9.8,0.9146432232467456,0.8998367346938775,0.9634233409013572,0.9068953962090927,49.8
13,0.9616666666666667,0.975,0.6666666666666666,0.2,0.2,0.375,0.2,0.6,0.975,0.9866666666666667,0.9355759055759055,0.9802002224694105,15.2
14,0.8825396825396824,0.9064010598171921,0.6803225806451613,0.7333333333333333,0.4,0.601489898989899,0.47893217893217893,5.0,0.9087708766892337,0.9606451612903226,0.9807187485179026,0.9333258502326298,30.8
15,0.9268421052631579,0.9573202614379085,0.4861111111111111,0.0,0.0,0.06944444444444445,0.0,0.8,0.9571826625386997,0.967251461988304,0.9221880525387091,0.9615127215127215,18.4
16,0.8838709677419354,0.9304956124088493,0.5885878489326766,0.15,0.2333333333333333,0.40450216450216453,0.18095238095238092,2.6,0.9318073579697606,0.9438423645320198,0.9742006586077305,0.9369223521052245,28.4
17,0.8717460317460318,0.9119657711569475,0.5089962121212122,0.05,0.06666666666666667,0.18521626881217673,0.05714285714285714,3.2,0.9122058823529411,0.9513257575757577,0.9071576149666625,0.9308840413318025,32.6
18,0.8823529411764707,0.918920568227291,0.7057142857142857,0.5333333333333333,0.4666666666666666,0.6308333333333334,0.48,2.4,0.9211134453781511,0.9447619047619048,0.9638991369663639,0.9317873033529318,14.6
19,0.809090909090909,0.8715457985427026,0.5928362573099415,0.29666666666666663,0.2833333333333333,0.42281746031746026,0.28317460317460313,3.4,0.8753966913719236,0.9023391812865498,0.9519674918566207,0.8873557556484386,18.6
