cluster,overall_accuracy,average_global_pr_auc,average_global_roc_auc,precision_0,recall_0,pr_auc_0,f1-score_0,support_0,precision_1,recall_1,pr_auc_1,f1-score_1,support_1
0,0.866298077,0.912475822,0.63433584,0.408333333,0.332142857,0.458026185,0.360972851,7.6,0.914093515,0.936528822,0.945438305,0.924944299,56.8
1,0.83030303,0.908060606,0.453636364,0,0,0.211904762,0,1,0.906666667,0.907272727,0.933260724,0.905465839,10.8
2,0.879279279,0.917166355,0.584090909,0.64,0.216666667,0.385159158,0.304444444,3.6,0.917261905,0.951515152,0.916758878,0.933389848,32.8
3,0.892328042,0.952337607,0.665384615,0.183333333,0.4,0.293530386,0.246666667,1.8,0.954037037,0.930769231,0.965109261,0.941593785,26
4,0.831598434,0.882346766,0.69028598,0.526239512,0.470666667,0.563985209,0.496047398,24.6,0.888189893,0.909905294,0.943468373,0.898860414,113.2
5,0.85,0.892778423,0.69,0.53,0.45,0.569663221,0.476984127,4,0.895787195,0.93,0.936929464,0.911861878,20
6,0.822026232,0.851783385,0.741582233,0.684752747,0.576470588,0.649484963,0.624711632,17,0.861303737,0.906693878,0.937714978,0.883265265,49.4
7,0.900333333,0.916648985,0.814210526,0.83,0.67,0.825079365,0.722063492,4.8,0.921624516,0.958421053,0.967102009,0.938908858,19.4
8,0.846153846,0.887725651,0.706904762,0.595,0.49,0.59898075,0.517069597,4.6,0.89336784,0.923809524,0.95061981,0.905827892,21.4
9,0.841935484,0.883866028,0.649937913,0.527619048,0.368888889,0.536456586,0.428888889,9.8,0.886682908,0.930986938,0.914602639,0.908065607,52.2
10,0.886329966,0.91667369,0.629506803,0.32,0.3,0.406580047,0.309090909,6,0.918211059,0.959013605,0.964953885,0.937644488,48.6
11,0.87393617,0.915998602,0.644872647,0.432380952,0.346666667,0.346699951,0.363333333,5.4,0.918116569,0.943078627,0.930382358,0.929857569,42.2
12,0.842259887,0.909177138,0.740362812,0.54,0.588888889,0.589507541,0.55474869,9.8,0.917628633,0.891836735,0.96910469,0.903897326,49.8
13,0.961666667,0.975,0.666666667,0.2,0.2,0.375,0.2,0.6,0.975,0.986666667,0.935575906,0.980200222,15.2
14,0.871111111,0.904564412,0.673655914,0.708333333,0.4,0.598989899,0.462148962,5,0.907749165,0.947311828,0.980110352,0.925713599,30.8
15,0.926842105,0.957320261,0.486111111,0,0,0.068805704,0,0.8,0.957182663,0.967251462,0.928718267,0.961512722,18.4
16,0.883870968,0.930495612,0.588587849,0.15,0.233333333,0.445584036,0.180952381,2.6,0.931807358,0.943842365,0.973676189,0.936922352,28.4
17,0.866190476,0.911485159,0.505965909,0.04,0.066666667,0.157922166,0.05,3.2,0.911802657,0.945265152,0.907753076,0.927518657,32.6
18,0.870588235,0.916713532,0.698571429,0.516666667,0.466666667,0.664166667,0.47047619,2.4,0.918915643,0.93047619,0.964634431,0.923321695,14.6
19,0.809090909,0.879009171,0.612280702,0.3,0.333333333,0.418577256,0.307142857,3.4,0.884671717,0.89122807,0.952519078,0.886091466,18.6
,0.867607113,0.91108136,0.643847549,0.406632946,0.345519561,0.458205193,0.353787121,5.9,0.914005034,0.934593666,0.945921634,0.923243189,35.06
