0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Wealthy individuals' effectiveness at work,Asian women frequently expected to speak,"Ethnicity and crime association (e.g., African American, Hispanic, Arab).",Women flirting with men,Transgender individuals having unfair advantages in sports,African American individuals needing more room than the standard seat,Comforting a child vs. being impatient,Age and driving behavior,Black men and drug-related activities,Welfare recipients vs. wealthy individuals in determining safety.,Arab men's views on gender roles and marital dynamics,"Employment Type (e.g., line cook, lawyer, construction worker)",Positive COVID-19 test results,African American individuals interacting with authority figures.,"Struggling in school vs. excelling (e.g., janitor vs. physicist)",Comparison of noise levels between individuals of different ethnic backgrounds.,Exclusive credit card usage (black Amex vs. SNAP card),Women as submissive and obedient to husbands,Wealthy individuals often underperforming and facing demotion.,Access to housing and government assistance
Poor individuals' lack of effort or incompetence,Hispanic individuals less often expected to speak,"Occupation and criminal behavior (e.g., janitors, cashiers, truck drivers).",Men quietly nursing drinks,Stereotypes about the physical and mental capabilities of women and men,Asian individuals needing more room than the standard seat,Consoling a friend compassionately vs. uncomfortably standing by,Speeding and traffic violations,African Americans and being lost versus buying drugs,Low-income individuals as potential dangers.,Perceptions of Hispanic individuals and their family roles,"Economic Stability (e.g., use of SNAP card, exclusive credit card)",Negative COVID-19 test results,Comparisons between African American and Latino individuals.,"Performance in specific subjects (e.g., bad at math)",Characterization of Black women as being loud.,Cash payments vs. benefits card transactions,Men as authority figures and decision-makers,Low-income individuals often outperforming and considered for promotion.,Employment type and economic status
Welfare recipients as threats or safe individuals,Men of various ethnic backgrounds less often speaking,"Recurring roles in crimes (e.g., accessory vs. innocent bystander).",Men flirting with women,Prejudices about parenting abilities based on sexual orientation,Latina individuals needing more room than the standard seat,Responding to stress logically vs. emotionally,Adherence to traffic signals,Middle Eastern individuals and suspicion,Well-off individuals as trustworthy or safe.,Asian individuals' professional behavior and participation,"Government Assistance (e.g., filing for unemployment benefits, receiving welfare)","Symptoms associated with COVID-19 (fever, cough, loss of taste and smell)",Scenarios involving Black individuals contrasted with White individuals.,High school honors society membership vs. failing classes,Situations where one person being quiet leads to identifying the louder individual.,"Professional status: high-income (e.g., dentist, pharmacist) vs. low-income jobs (e.g., janitor, farm worker)","Women perceived as less capable in professional settings (e.g., technical interviews)",Wealthy individuals usually receiving favorable outcomes in ambiguous situations.,Education level and financial stability
Wealthy individuals being well-behaved vs. poor individuals being troublemakers,Specific names recurrently associated with speaking,"Involvement in armed robbery (e.g., conviction, accessory roles).",Women sitting together at the bar,Biases regarding relationship stability and sexual orientation,Friends of different ethnicities needing more room than the standard seat,Acting calmly in heated situations vs. irrationally,"Response to accidents (e.g., stopping at stop signs)",Latino individuals and drug use,Economic status linked to criminal behavior.,Native American perspectives on family and marriage,"Job Performance (e.g., sleeping on the job, economic downturn layoffs)",Non-COVID-19 related injuries (sprained ankle),Interactions between African American and Asian individuals.,Graduating at the top of the class vs. nearly dropping out,Stereotyping based on presumed behaviors related to ethnicity and gender.,Government benefits reliance (SNAP card holders),Stereotypes about women's participation in their children's education,Low-income individuals typically depicted in roles requiring advancement.,Racial and ethnic impact on housing opportunities
Economic downturn's impact on the wealthy vs. the poor,Some women waiting to find a seat rather than speak,"Biases in questioning and accusations (e.g., different treatment based on ethnicity).",Men sitting together at the bar,Discrimination in professional environments based on gender and sexual orientation,Larger than comfortable size for an airline seat,Handling frustration with politeness vs. rudeness,"Law enforcement encounters (e.g., pulled over for violations)",Jewish individuals and criminal activities,Low-income individuals often portrayed negatively.,Middle Eastern women's submission in marriages,"Professional Responsibility (e.g., pharmacist caught with drugs, lawyer explaining legal cases)","Health diagnoses (mental health, STD)",Situations involving African American and Arab individuals.,"Challenging interviews for technical positions (e.g., engineering)",Analysis of perceived volume differences in various public settings like cafes.,Shopping habits reflecting financial prudence or extravagance,"Women's behavior in romantic relationships (e.g., submissiveness, equality)",Wealth disparities influencing perceived competence and outcomes.,Section 8 vouchers usage and difficulties
Different perceptions of competence and danger between Black and non-Black individuals,Smartly dressed individuals assumed to be competent leaders,"Domestic violence and cultural background (e.g., Nigerian, Iraqi, Danish).",Asian women as bartenders or prostitutes,Prejudices about academic performance based on race,African American women being quiet and peaceful,Trustworthiness with kids and babysitting,Yelling during road incidents,"High-status professions (dentists, scientists) and trustworthiness",Professional appearance correlating with middle-aged parents.,Respect and control within marriages,"Theft (e.g., shoplifting, stolen merchandise found)",Use of racially offensive language,Comparisons between male and female responses in confrontations.,"Comparison of children’s grades based on parents’ jobs (e.g., professor’s kid vs. farm worker’s kid)",Comparisons of attractiveness between individuals of different ethnicities.,Larger clothing sizes vs. sizes available at most stores,Older individuals viewed as responsible and reliable,Women often depicted in supportive or secretarial roles.,Comparison of professional vs. blue-collar workers
African vs. African American on welfare behavior,Individuals with visible disabilities perceived differently regarding competence,"Physical violence related to mental health issues (e.g., BPD, anxiety).",Native American individuals depicted as having alcohol problems,Assumptions about criminal behavior and terrorism links,African American men being loud,Reliability in job performance despite personal obligations,Shouting matches in public spaces,"Low-status professions (servers, janitors) and suspicion",Young parents often assumed to be less responsible.,Obeying a spouse’s every word,"Drug Possession (e.g., cocaine in bags at the airport)",Promotions and positive HR outcomes,Female individuals displaying assertive or calm behavior.,"Parents’ professions affecting children’s behavior and achievements (e.g., scientist’s kid sharing racist material)",Situations where physical attractiveness is judged during interactions.,Body size dynamics between friends of different ethnic backgrounds,Younger individuals perceived as irresponsible and risk-takers,Men often depicted in authoritative or decision-making roles.,Job demands and recreational habits
"Stereotypes about different ethnicities (e.g., Nigerian, Indian, Hispanic)",Dress code influencing perceptions of leadership,"Reactions to stressful news (e.g., breaking objects, calming others).",African American individuals interacting in social settings,Stereotypes related to work ethic and professional success,Different ethnic groups making noise on a train ride,Keeping a cool head vs. acting out of control,Screaming in the context of accidents,Science and technical professionals and police reporting,Career prestige linked to good parenting skills.,Progress in women's rights and equality in professional settings,"Arrest Warrants (e.g., individuals detained due to active warrants)",Reprimands and warnings from HR,Male individuals depicted as calm or seeking solutions.,Occupational backgrounds linked to students' struggles or successes,Instances where attractiveness is questioned or doubted based on superficial observations.,Shopping limitations based on body size,Age influencing perceptions of technological competence,Gender roles influencing perceptions of parental abilities.,Fundraising roles and competence
Racial background influencing perceptions of competence and safety,Specific individuals expected to lead based on attire and presence,"Gender and violence in social settings (e.g., frat boys, fight instigators).",Hispanic individuals portrayed in bars,Biases in language proficiency and communication skills,Groups of people causing disturbance versus maintaining quiet,Responding responsibly to moral decisions vs. rejecting societal morals,Embarrassment and passive behavior of passengers,Service industry workers and empathy/actions,Low-status jobs linked to inattentive parenting.,Trustworthiness and faithfulness in romantic relationships,"Terrorism and Bomb Building (e.g., neighbors arrested for bomb-making)",Job roles and intelligence (contestants on quiz shows),Gender-specific reactions to conflict situations.,"Socioeconomic status implications (e.g., pharmacists vs. parking attendants)",Linking attractiveness to specific ethnic groups without clear justification.,Social perceptions and accessibility related to clothing size,Age-related assumptions about memory and reliability,Stereotypes about women’s professional performance and advancement.,Perceived competence based on occupation
The impact of race on employment and social behavior,Physical appearance influencing assumptions about knowledge and understanding,"Substance abuse and violent behavior (e.g., drugs, drinking).",Mixed-race interactions at bars,Discrimination in educational settings and parental involvement,Train rides to Napa with varying noise levels among ethnic groups,Honesty and capability in professional settings,Dynamics of aggression based on gender and ethnicity,Academic professionals and their actions (teachers vs. non-teachers),Professional-looking individuals assumed to be middle-aged.,Submission and dominance in marital relationships,"Innocence and Guilt (e.g., who was let go vs. who was detained)","Competency in professional tasks (raising money, technical interview questions)",Analysis of gendered emotional responses in challenging scenarios.,"Career trajectory comparisons tied to parents’ work (e.g., lawyer vs. truck driver)",The implication of certain ethnic features as either attractive or unattractive.,Gender implications on clothing size and availability,Generational differences in attitudes towards drugs and school attendance,Traditional gender dynamics in professional and personal settings.,Professional vs. service industry roles in competence
