,mean,median,std,min,max,u_stat,p_val
Unnamed: 0,2050.879518072289,2068.0,1183.321270895289,9.0,4077.0,41409.5,0.8380136094653481
polarity,-0.012856659513795358,0.0015061327561327002,0.16745314046521517,-0.9,0.4555555555555555,41934.0,0.6396740982906362
subjectivity,0.5184942724011051,0.4888532763532763,0.2036800930732944,0.0,1.0,39429.5,0.42954887838363864
flesch_reading_ease,67.32277108433735,68.1,13.428959918896568,30.02,102.91,40417.0,0.7690028724447184
syntactic_complexity,17.261244979919677,17.583333333333336,4.323048728430386,7.5,29.33333333333333,39835.0,0.5574929413268602
lexical_diversity,0.8304997445149768,0.8145833333333333,0.08770044220162151,0.6290322580645161,1.0,43196.5,0.2702080472565026
text_length,237.87048192771084,226.0,96.41043039939846,77.0,570.0,38813.5,0.27173851081297495
question_marks,0.9819277108433735,1.0,0.13341399421404693,0.0,1.0,41257.0,0.6044147684173538
exclamation_marks,0.0,0.0,0.0,0.0,0.0,41002.0,1.0
avg_word_length,4.779778407564072,4.646446078431373,0.43030135510951206,3.8333333333333335,6.2105263157894735,40979.0,0.9909824706416653
unique_word_count,33.3855421686747,32.0,11.572528492825139,13.0,81.0,39335.0,0.4019975817331537
sentiment_score_range,0.3374714777915079,0.2045454545454545,0.29885115430923304,0.0,1.5,42691.5,0.3956493915977073
noun_phrase_count,11.129518072289157,11.0,4.512296299439147,4.0,25.0,37440.0,0.07273018403220072
verb_phrase_count,4.813253012048193,5.0,3.158655535793282,0.0,15.0,38977.0,0.3046114176071424
named_entity_count,2.894578313253012,3.0,1.9082506825793402,0.0,8.0,40861.0,0.9426855257729632
passive_voice_count,0.18674698795180722,0.0,0.42725034846422705,0.0,2.0,41224.0,0.8641789303772965
active_voice_count,1.8463855421686748,2.0,1.0032660601575514,0.0,4.0,39897.5,0.5628114787086242
modal_verbs_count,0.2469879518072289,0.0,0.5489539295540488,0.0,4.0,40907.0,0.9458074124737993
conditional_sentences_count,0.0,0.0,0.0,0.0,0.0,41002.0,1.0
sentence_count,2.647590361445783,3.0,0.6015289489312097,2.0,5.0,39088.5,0.2732683607908163
average_sentence_length,17.261244979919677,17.583333333333336,4.323048728430386,7.5,29.33333333333333,39835.0,0.5574929413268602
stop_words_count,22.819277108433734,22.0,10.146830890448188,7.0,57.0,39349.0,0.4057176558833676
punctuation_diversity,2.9518072289156625,3.0,0.5848771804416387,2.0,4.0,40061.5,0.575496922272839
readability grades__Kincaid,17.977859154694517,17.198489409141587,6.3652802837652,6.104210526315793,38.93882352941176,39017.0,0.31884399821301024
readability grades__ARI,21.33146023705015,20.499192307692304,8.425413530561572,7.422000000000001,47.501411764705885,38764.0,0.26105221052822347
readability grades__Coleman-Liau,10.524654030888318,9.988863005865104,2.504507288093602,5.223739000000002,18.54000842105264,39984.0,0.6092842366009303
readability grades__FleschReadingEase,40.92850657296925,39.33000000000001,18.997246822990263,-32.71529411764702,85.13947368421054,42702.0,0.3932836447666329
readability grades__GunningFogIndex,21.11340196112628,20.920930232558145,6.924289800604673,9.6,45.294117647058826,39845.5,0.5613867865332188
readability grades__LIX,62.64729046747187,60.0,17.77017235380291,24.26315789473684,120.29411764705884,38387.5,0.18915044662574487
readability grades__SMOGIndex,13.731587604125005,13.954451150103322,3.9308851921376364,3.0,29.83281572999748,41554.0,0.7798116703509501
readability grades__RIX,8.539156626506024,7.0,4.377396957143495,1.0,30.0,38308.0,0.17442814355755165
readability grades__DaleChallIndex,10.054082302270238,10.215017647058822,1.8848049076542106,0.0,15.097323529411764,41757.0,0.7046719940538386
sentence info__characters_per_word,4.623145319303103,4.495454545454546,0.4392019924305212,3.672727272727273,6.105263157894737,40217.5,0.693720226894234
sentence info__syll_per_word,1.4574941901568765,1.4299719887955185,0.17408309154848273,1.0895522388059702,2.0,41226.5,0.9104106402859716
sentence info__words_per_sentence,41.97289156626506,41.0,17.1750148769793,13.0,97.0,39167.5,0.3565251052023972
sentence info__sentences_per_paragraph,1.0,1.0,0.0,1.0,1.0,41002.0,1.0
sentence info__type_token_ratio,0.8145724911079084,0.7948717948717948,0.0978572458790356,0.5967741935483871,1.0,43090.0,0.29412933278104536
sentence info__characters,192.55722891566265,181.0,78.17464205594956,63.0,477.0,38780.0,0.2644623460136295
sentence info__syllables,60.24698795180723,56.0,24.110003877491685,21.0,154.0,38992.0,0.3127196038325635
sentence info__words,41.97289156626506,41.0,17.1750148769793,13.0,97.0,39167.5,0.3565251052023972
sentence info__wordtypes,32.87951807228916,31.5,11.138130354924824,13.0,77.0,39396.0,0.41943129834737736
sentence info__sentences,1.0,1.0,0.0,1.0,1.0,41002.0,1.0
sentence info__paragraphs,1.0,1.0,0.0,1.0,1.0,41002.0,1.0
sentence info__long_words,8.539156626506024,7.0,4.377396957143495,1.0,30.0,38308.0,0.17442814355755165
sentence info__complex_words,4.352409638554217,4.0,3.066123285335015,0.0,24.0,41554.0,0.7798116703509501
sentence info__complex_words_dc,11.578313253012048,11.0,6.195448055022529,0.0,39.0,40614.0,0.8453196825909897
word usage__tobeverb,2.1957831325301207,2.0,1.4080842295613578,0.0,8.0,40210.5,0.6829665504820794
word usage__auxverb,0.22590361445783133,0.0,0.5387050292196405,0.0,4.0,40401.0,0.6559915722708689
word usage__conjunction,2.075301204819277,2.0,1.1465401387069785,0.0,5.0,41465.0,0.8071525819987642
word usage__pronoun,1.9578313253012047,1.0,1.9995540579532707,0.0,12.0,39058.5,0.3161562513198918
word usage__preposition,5.25,5.0,2.98042455257555,1.0,15.0,38271.0,0.16721419691086603
word usage__nominalization,0.6054216867469879,0.0,0.7720773581842114,0.0,3.0,41578.5,0.7450925810772713
sentence beginnings__pronoun,0.08734939759036145,0.0,0.28277256706126114,0.0,1.0,42425.5,0.11161012915609103
sentence beginnings__interrogative,0.009036144578313253,0.0,0.0947710162307923,0.0,1.0,40874.5,0.7160921249708703
sentence beginnings__article,0.2560240963855422,0.0,0.43709405614709584,0.0,1.0,43365.5,0.10419895884724388
sentence beginnings__subordination,0.06927710843373494,0.0,0.25430805656033145,0.0,1.0,40356.5,0.48026073959961024
sentence beginnings__conjunction,0.0,0.0,0.0,0.0,0.0,41002.0,1.0
sentence beginnings__preposition,0.03313253012048193,0.0,0.17925274708462854,0.0,1.0,40534.5,0.47872141218059516
topic,50.90963855421687,56.5,25.614342255347847,0.0,93.0,39228.0,0.37153336428937156
Comforting a child vs. being impatient,0.08771696458682861,0.01453828811645485,0.20814154597212758,0.0014896988868712,0.9953042473644022,40198.5,0.6866946554296752
Consoling a friend compassionately vs. uncomfortably standing by,0.16736135112278788,0.0368791222572327,0.27221142873651644,0.0012320876121519,0.9650806933641434,39200.5,0.3656575812728401
Responding to stress logically vs. emotionally,0.4462554416410956,0.47618934512138367,0.3168863366219358,0.0044007301330566,0.9982493432471528,36075.5,0.013349154356037807
Acting calmly in heated situations vs. irrationally,0.24416611974789615,0.0730353891849517,0.31147579107094564,0.0006217956542967,0.974114004522562,37201.5,0.05629700882980534
Handling frustration with politeness vs. rudeness,0.28149476187326106,0.0430957078933715,0.36946217571094114,0.0003480911254883,0.9807886555790905,36641.5,0.028523088450857836
Trustworthiness with kids and babysitting,0.08323606861901116,0.00506189465522755,0.1985365705361355,0.0002891421318054,0.9944915724918248,38791.0,0.266857697133958
Reliability in job performance despite personal obligations,0.1532721541462892,0.02063220739364615,0.25262816282721845,0.000665247440338,0.909275397658348,37195.0,0.055876910063602764
Keeping a cool head vs. acting out of control,0.4017576519259622,0.2414818704128264,0.3669602265871567,0.002016305923462,0.9904103763401508,35263.5,0.0039493231235750055
Responding responsibly to moral decisions vs. rejecting societal morals,0.23364245918500845,0.11453303694725035,0.2564320880003904,0.0024717450141907,0.952964011579752,38009.5,0.13287173181876413
Honesty and capability in professional settings,0.12764297898140653,0.037349790334701496,0.19448764916972927,0.0014328956604003,0.9745749793946744,36482.5,0.023214798690157697
Non-violent actions in arguments vs. physical aggression,0.2878542512498168,0.0930428206920623,0.3493021816050628,0.001932680606842,0.9762961976230145,36588.5,0.02664786692247178
Yelling at service counters vs. polite behavior,0.11499537945814786,0.0159536898136138,0.23573586762687165,0.0011662840843198,0.9939980315975844,36838.5,0.03652239142238139
Violent reactions to traumatic news vs. non-violent reactions,0.1115609227275722,0.01477757096290595,0.21997406231688182,0.0016785264015195,0.971230311319232,38645.5,0.23664581415102015
Respect for women vs. misogynistic attitudes,0.17988072855240964,0.051874607801437406,0.26098809815804547,0.001000702381134,0.9580835290253163,37273.5,0.06112861670917885
Physical altercations in public settings vs. calm de-escalation,0.07370228320360177,0.010966986417770299,0.13839539137022402,0.0003979802131651,0.7851848304271698,37997.5,0.13132413072271315
Performance in customer service vs. tech industries,0.05792894223368305,0.0050209164619445,0.14348162079833263,0.0005298256874084,0.7527497410774231,36992.0,0.04401365387998384
Reliability and performance at work despite personal challenges,0.14061328584709792,0.03489369153976435,0.2071465793581086,0.000460147857666,0.8974671363830566,37157.5,0.05350402037735587
Job capability based on professional demeanor and attire,0.03045969891799495,0.00441992282867415,0.10458620243058304,0.0001285076141356,0.7603261321783066,38028.5,0.13535092981932104
Responsiveness and involvement in board meetings,0.12152774243738991,0.0060344040393829,0.2646884873549107,0.000729501247406,0.9338552504777908,38470.5,0.2036168790918853
Competence in handling complex tasks,0.13544008939201568,0.03967189788818355,0.20535859692588881,0.0026737451553343,0.9879845008254052,37638.5,0.09117622085449328
Perceptions of friendliness based on religion or ethnicity,0.09195305763586722,0.016289055347442648,0.19313700511438311,0.0023260712623596,0.987501316703856,35510.5,0.0058135862668496525
Trustworthiness based on cultural or religious background,0.08584381722991001,0.0130000710487365,0.1706636381569643,0.0013289451599119,0.9251882657408717,35565.5,0.00632407059218444
Competence and work ethic stereotypes,0.2761832286368113,0.14744323492050154,0.28267278672789614,0.0019776821136475,0.9430212415754796,37717.5,0.0990362292076796
Welcoming behavior in diverse neighborhoods,0.05532871951427618,0.0046623945236205,0.15236833277037748,0.0001478195190427,0.9745382461696864,38071.5,0.1410935802127925
Emotional openness and communication styles across different groups,0.6752080372254173,0.7657963037490845,0.2948469441744557,0.0711107179522514,0.9993745684623718,43175.5,0.2750565218897396
