cluster,overall_accuracy,average_global_pr_auc,average_global_roc_auc,precision_0,recall_0,pr_auc_0,f1-score_0,support_0,precision_1,recall_1,pr_auc_1,f1-score_1,support_1
0,0.850769231,0.90762597,0.616510025,0.386666667,0.310714286,0.414550132,0.338109603,7.6,0.909299166,0.922305764,0.956801185,0.915494937,56.8
2,0.879129129,0.917669807,0.583996212,0.333333333,0.216666667,0.309328889,0.260952381,3.6,0.917999003,0.951325758,0.945563499,0.934018086,32.8
4,0.840251772,0.889806541,0.710973218,0.563907928,0.510333333,0.577393306,0.53369703,24.6,0.895760592,0.911613104,0.948191505,0.903493079,113.2
5,0.808333333,0.859105075,0.585,0.346666667,0.25,0.528709893,0.279365079,4,0.861047877,0.92,0.933659581,0.888617678,20
6,0.828222524,0.861411934,0.761111645,0.704285714,0.623529412,0.6715009,0.65393044,17,0.874061384,0.898693878,0.924059988,0.885368028,49.4
7,0.892333333,0.915252369,0.809210526,0.834285714,0.67,0.868737374,0.708730159,4.8,0.922254433,0.948421053,0.986688506,0.933107001,19.4
8,0.769230769,0.849590011,0.579199134,0.316666667,0.29,0.465599915,0.292929293,4.6,0.853853755,0.868398268,0.933024176,0.86040286,21.4
9,0.832258065,0.89246424,0.676548944,0.490634921,0.448888889,0.597125727,0.465291929,9.8,0.896924132,0.904208999,0.934136404,0.900338418,52.2
10,0.868080808,0.905389671,0.575382653,0.235714286,0.2,0.347339604,0.212307692,6,0.906454248,0.950765306,0.955464231,0.927620486,48.6
11,0.873847518,0.923177736,0.676722038,0.468888889,0.42,0.405363187,0.40974026,5.4,0.926425581,0.933444075,0.937707622,0.928934669,42.2
12,0.82220339,0.88641213,0.671251701,0.477777778,0.446666667,0.518174873,0.453748006,9.8,0.892083981,0.895836735,0.965839966,0.893512351,49.8
14,0.871111111,0.909252734,0.690430108,0.688333333,0.44,0.572326072,0.488974359,5,0.912670173,0.940860215,0.96680815,0.925212546,30.8
17,0.89968254,0.928711407,0.606818182,0.533333333,0.25,0.28668245,0.313333333,3.2,0.929202954,0.963636364,0.918212987,0.945816373,32.6
19,0.827272727,0.898240382,0.662573099,0.364285714,0.433333333,0.498894716,0.382597403,3.4,0.906984127,0.891812865,0.95442996,0.897184317,18.6
