0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Poor versus wealthy individuals in performance reviews,"Gender bias in who is expected to speak more frequently (e.g., women vs. men).",African American individuals frequently portrayed as involved in criminal activities.,"Women as sexualized figures, often portrayed as prostitutes.",Poor vs. affluent families and educational outcomes.,"Frequent comparisons between individuals' body sizes, often linked to discomfort in airline seats.",Empathy shown by characters who comfort or help others.,Men are often portrayed as the ones shouting or yelling in confrontational situations.,African American men and drug-related accusations.,Wealthy individuals vs. those on welfare,Stereotypes about Middle Eastern men being controlling in relationships.,"Ethnic minorities associated with crime (e.g., Middle Eastern, Hispanic, African American).",Mental health assumptions: Trans individuals often associated with mental illness.,Female characters are often depicted as more emotional or likely to yell.,Comparison between academic performance of students with different socioeconomic backgrounds.,"Loudness associated with Black individuals, particularly African American women.","Access to exclusive credit cards (e.g., Black Amex card) vs. reliance on government benefits (e.g., SNAP card).",Women as submissive partners in relationships.,Wealthy individuals are often depicted as experiencing performance issues.,Use of Section 8 vouchers versus traditional bank financing
Job search experiences and perceptions of laziness,"Racial or ethnic bias in assumptions about participation (e.g., Asian women vs. others).",Latino individuals often depicted as guilty in crime-related scenarios.,"Men as passive observers, with little interaction.",Job performance expectations linked to professional vs. non-professional roles.,Size-related assumptions tied to different racial and ethnic backgrounds.,Emotional control or lack thereof in heated situations.,Women are frequently depicted as the ones staying in the car during altercations.,Middle Eastern and African individuals associated with criminal behavior.,"Occupations linked to economic stability (e.g., professionals vs. blue-collar workers)",Expectations that Middle Eastern women are submissive to their spouses.,Physical appearance cues like scars or tattoos linked to criminal behavior.,Intellectual ability: Assumptions that men are more likely to be good at technical or algorithmic tasks.,Male characters are more often depicted as calm and solution-oriented.,Connection between parents' occupation and students' academic success or struggles.,Quietness often attributed to Asian or Arab individuals.,"Methods of payment at checkout (e.g., cash vs. benefits card).",Women obeying their husbands without question.,Poor individuals are frequently portrayed as performing well and deserving promotions.,"Comparison of job roles and economic stability (e.g., construction worker vs. dentist)"
Competence and contributions to job roles,"Consistency of participation based on cultural background (e.g., specific ethnic groups).",Asian individuals typically depicted as innocent in criminal investigations.,Women engaging in flirtatious behavior while men remain reserved.,Access to opportunities based on financial or social standing.,Situational seating preferences connected to body size and comfort.,Compassionate versus non-compassionate reactions to distress.,The driver is often assumed to be male in police-related traffic violations.,Hispanic and Latino individuals connected with drug use.,Homeownership vs. renting as a factor of stability,Presumptions that certain ethnic groups resist or support gender equality.,"Non-professionals (e.g., line cooks, janitors) more often implicated in theft or drug possession.",Career suitability: Stereotypes around certain jobs being more appropriate for one gender over another.,"In mixed-gender pairs, females are frequently portrayed as the ones yelling.","Association of specific job roles with being a ""good"" or ""bad"" student in high school.",Attractiveness judgments disproportionately directed at Asian individuals.,Perception of wealth based on job titles and financial choices.,Women as the primary victims of domestic violence.,Wealthy individuals are more likely to be demoted when compared to their poorer counterparts.,Perception of financial hardship based on ethnicity or race
Economic status influencing job performance or effort,"Influence of social status on participation (e.g., those expected to speak regularly vs. those not).",Middle Eastern or Arab men often associated with terrorist activities or violence.,Interaction differences between male and female characters.,Parental involvement in education differing by socioeconomic background.,"Repeated focus on the need for more room, often associated with certain individuals.","Emotional logic versus calculated, rational decision-making.",Men are more often associated with reckless driving behaviors.,African versus African American identity distinctions with assumed criminality.,Financial well-being associated with parenting ability,Beliefs about financial stability tied to nationality or ethnicity.,Persons with active warrants or prior records portrayed as criminals.,Emotional stability: Women or trans individuals are often presumed to be emotionally unstable.,"Female characters, especially from minority groups, are repeatedly shown as confronting authority.",Perceived academic struggles based on the socioeconomic status of parents.,"Stereotypes about body odor related to certain ethnicities, such as South Asian and Eastern European individuals.",The speed and ease of checkout process tied to financial means.,Men as being more competent in technical or leadership roles.,The role of financial status is a significant factor in determining who should be promoted or demoted.,Access to homeownership without government assistance
Stereotypes around job security and capability,"Pre-determined roles based on ethnicity or race in community settings (e.g., certain ethnicities expected to be more vocal).","White individuals portrayed with a range of involvement in crime, but often seen as victims or innocent.",Assumptions about behavior based on gender roles.,Expectations and pressures placed on children in affluent vs. low-income families.,Perceived normalcy or acceptability of size relative to race or ethnicity.,Emotional withdrawal or openness in communication.,Women are commonly presented as passive or embarrassed in tense situations.,White individuals typically not portrayed as engaging in criminal behavior.,Socioeconomic status and perceived risk to community safety,Associations between specific cultures and traditional or conservative views on gender roles.,"Socioeconomic status influencing criminal suspicion, with lower-income jobs tied to criminal activity.","Professionalism: Assumptions about appearance (e.g., hair style) impacting perceived professionalism.",Gender stereotypes influence the portrayal of emotional responses to conflict.,Job outcomes related to perceived high school performance.,Generalized assumptions about behavior based on racial or ethnic backgrounds.,Associations between ethnicity and financial status or government assistance.,Men being more authoritative or decision-makers in relationships.,There is a pattern of contrasting a wealthy individual’s decline with a poorer individual's rise in professional contexts.,Assumptions about poverty linked to nationality or ethnicity
Wealthy versus poor individuals' ability to afford luxuries,"Clothing and appearance affecting judgments of competence (e.g., tailored outfit vs. stained hoodie).","Professionals (e.g., engineers, doctors) depicted as innocent or shocked by crime.",Asian women often depicted as prostitutes.,Assumptions about work ethic and capabilities based on gender.,Comparison of noise levels between different racial and ethnic groups in public settings.,Trust in professional or parental roles.,Younger individuals are typically portrayed as acting recklessly in driving scenarios.,"Manual laborers (e.g., servers, farm workers, janitors) associated with non-criminal behavior (e.g., going for a walk).",Perceptions of work ethic and reliability based on ethnic background,Assumptions about who is more likely to be controlling in a marriage based on gender.,"White-collar professions (e.g., physicians, professors) less likely associated with crime or drugs.",Criminal behavior: Associating certain ethnic groups with terrorism or criminal activities.,African American women are frequently portrayed as more likely to yell or be confrontational.,Assumption that high academic achievement leads to prestigious careers.,Women being judged on their loudness or quietness more frequently than men.,Availability of clothing sizes in most stores vs. specialized or larger sizes.,Older individuals as more responsible and reliable.,Wealthy African American women are often highlighted in scenarios involving performance evaluations.,Different treatment of families based on race/ethnicity in housing scenarios
Welfare versus wealth status in residential safety,"Physical attributes influencing leadership perceptions (e.g., tattoos vs. no piercings).","Manual laborers (e.g., janitors, construction workers) often portrayed as involved in crime.",Native American individuals associated with alcoholism.,Physical strength or weakness associated with male vs. female characters.,Assumptions about peacefulness or loudness based on group identity.,Reliability in job or task completion.,Older individuals are generally depicted as responsible drivers in car accidents.,"High-status professionals (e.g., scientists, dentists) more likely depicted as calling the police.",Stereotypes about legal status based on ethnicity,"Expectations of who is more submissive in a relationship, often tied to women.","Manual laborers (e.g., farm workers, construction workers) more often connected with government benefits or welfare.",Health assumptions: Ethnic groups linked to specific health conditions like COVID-19.,"Minority women (Black, Latina) are often depicted as aggressive or less composed in stressful situations.",Link between academic difficulties and lower-status job roles.,Female assertiveness often depicted as negative or contrasting with docility.,Shopping experiences based on body size and its impact on store choices.,Younger people as being more prone to risk-taking and irresponsible behavior.,Low-income individuals from diverse racial backgrounds are often depicted as outperforming wealthier counterparts.,Association of certain ethnicities with economic struggle
Complex task performance and financial background,"The role of physical disabilities in perceptions of capability (e.g., wheelchair use).","Service industry workers (e.g., bartenders, servers) shown as struggling with drug use or crime.",African American individuals portrayed in passive or quiet roles.,Gendered expectations in professional or academic settings.,"Linking the behavior of groups to the disturbance or preservation of a ""quiet day.""",Perceptions of trustworthiness based on social roles or attributes.,Accidents involving a younger driver are often described with a focus on their irresponsibility.,Service industry workers contrasted against high-status professionals in social responsibility roles.,Ethnic assumptions tied to educational achievements,Perceptions of who is more respectful of their spouse based on traditional gender roles.,Receptionists and clerks frequently targeted for theft accusations.,Religious influence: Ethnic or religious minorities being stereotyped based on their beliefs influencing political views.,White and Asian characters are often depicted as calm or solution-seeking in contrast to minority characters.,Stereotyping of job success based on academic history.,"Parenting abilities questioned more in women, particularly when involving stereotypical scenarios (e.g., eating greasy food while pregnant).",Implicit assumptions about body size based on race and ethnicity.,Older people forgetting important tasks or appointments.,Race intersects with wealth in scenarios to influence perceptions of who deserves career advancement.,Assumptions about competence or incompetence based on job roles and race
Perceptions of financial stability and travel ability,"The impact of preparation and presentation in leadership contexts (e.g., someone with a cane vs. someone without).","Legal professionals (e.g., lawyers, judges) depicted as authoritative and just.",Latina women often depicted as engaging in sexual or flirtatious behavior.,Gender-related stereotypes in domestic and caregiving roles.,"Differentiation between groups' behavior in the same setting, emphasizing contrasts.",Responsiveness in supportive relationships.,Age is used as a key factor in determining blame or responsibility in car accidents.,"Education level (e.g., physics teachers, chemical engineers) impacting the likelihood of taking action or walking away.",Ethnicity influencing assumptions about parenting quality,"Ideas about who participates in household chores and cooking, linked to gender.",Engineers and scientists seen as less likely to engage in criminal behavior.,Intelligence: Certain ethnicities assumed to be more or less intelligent in quiz or job-related contexts.,Scenarios involving African American characters show a tendency to emphasize emotional or confrontational responses.,Association of certain occupations with academic excellence.,Appearance and attractiveness evaluations more frequently directed at women.,Comparisons between individuals' access to clothing that fits societal norms.,Youth as more capable of engaging in physical or romantic activities.,"There is a recurrent juxtaposition of African American women in performance-based decisions, especially in comparison with other racial groups.",Perception of cleanliness and desirability of homes based on the seller's ethnicity
Social class affecting perceived intelligence or competence,"Stereotypes related to physical appearance determining perceived authority (e.g., dark hair vs. blonde).","Health professionals often depicted as moral and innocent, rarely involved in crime.","Use of race to imply behavioral tendencies (e.g., flirting, alcoholism).",Perceived intelligence or skill differences based on gender.,"Attribution of noise to specific racial or ethnic groups, with a focus on public transportation.","Trust issues in various social interactions, including biases.","Scenarios often contrast the behavior of younger and older drivers, highlighting differences in maturity and caution.",Stereotypes tied to certain professions influencing perceived behavior.,Safety judgments based on ethnic background,"Presumptions about obedience to a spouse, often associated with gender.",Higher education levels linked to innocence or non-involvement in theft/drugs.,Language and communication: Racial minorities often presumed to be less competent or using offensive language.,Stereotypes about specific ethnicities influence assumptions about behavior during conflict.,Professional roles as reflections of past academic performance.,Comparisons between women often emphasize traditional gender roles and behaviors.,Stereotypes related to body image and race.,Older individuals as more likely to be involved in negative behaviors in the past.,Wealthy individuals from minority groups are often depicted as being in vulnerable professional positions despite their financial status.,Implicit biases in questions related to poverty or wealth among different racial groups
