,mean,median,std,min,max,u_stat,p_val
Unnamed: 0,1972.9888268156424,1953.0,1280.6938866626688,5.0,4090.0,301609.5,0.38046338161947635
polarity,-0.012791923385798093,0.0,0.1164697840440322,-0.3,0.2939393939393939,228614.0,7.742753867309238e-10
subjectivity,0.35141170680506273,0.4,0.21750088426485592,0.0,0.6875,304731.5,0.5139279521275808
flesch_reading_ease,67.0413407821229,67.25,11.519863080055037,35.44,95.17,248162.5,2.282761724248344e-06
syntactic_complexity,18.093761638733707,17.5,4.3513486655038704,9.5,27.33333333333333,358687.0,0.001218110362923625
lexical_diversity,0.835038500936942,0.8529411764705882,0.0948874158691364,0.6413043478260869,1.0,327459.5,0.32470567023100483
text_length,263.5921787709497,218.0,126.09710073942703,94.0,528.0,332263.0,0.18328807024570448
question_marks,1.0,1.0,0.0,1.0,1.0,314682.0,0.47460602549386033
exclamation_marks,0.07262569832402235,0.0,0.26024908036392375,0.0,1.0,327536.5,0.0009598759092220842
avg_word_length,4.865183661201481,4.75,0.4642563623032376,3.852941176470588,5.888888888888889,336764.0,0.09794875886821999
unique_word_count,36.35195530726257,31.0,14.878312928336229,17.0,73.0,327618.0,0.31900156432422333
sentiment_score_range,0.17777493611292491,0.125,0.1667031398394252,0.0,0.85,267698.0,0.0008739134704130617
noun_phrase_count,12.860335195530727,10.0,5.959370102774639,5.0,26.0,337424.0,0.08791435888985547
verb_phrase_count,5.441340782122905,4.0,3.1730378155201264,1.0,13.0,333416.5,0.15511753162962785
named_entity_count,2.8324022346368714,3.0,1.85571099527176,0.0,7.0,277244.5,0.00756142336018019
passive_voice_count,0.22905027932960895,0.0,0.4949687230357383,0.0,3.0,279291.5,0.0019236474378705167
active_voice_count,2.195530726256983,2.0,0.9184636187647356,1.0,4.0,341333.5,0.03687004533568576
modal_verbs_count,0.08379888268156424,0.0,0.29739521580006467,0.0,2.0,299117.5,0.062080301935971444
conditional_sentences_count,0.00558659217877095,0.0,0.07474350927519358,0.0,1.0,312407.5,0.5598798672897227
sentence_count,2.8547486033519553,3.0,1.0552795670032447,2.0,5.0,302121.0,0.36499249635067177
average_sentence_length,18.093761638733707,17.5,4.3513486655038704,9.5,27.33333333333333,358687.0,0.001218110362923625
stop_words_count,25.865921787709496,21.0,13.516278600536895,9.0,52.0,342207.0,0.04054524633290712
punctuation_diversity,3.3184357541899443,3.0,0.9681708747733533,2.0,6.0,345646.0,0.008535763480580001
readability grades__Kincaid,19.55803761322514,18.20979591836735,8.843951317525368,4.400000000000002,38.31655913978494,330538.5,0.2276304874625411
readability grades__ARI,23.556592919370416,21.6525,11.136153962272344,8.126470588235296,46.74612903225808,330772.0,0.221215938931425
readability grades__Coleman-Liau,10.439220509727276,10.655587609375004,2.510785538143476,5.291954735294119,17.083736750000007,306947.0,0.6222867541789876
readability grades__FleschReadingEase,37.90645308582829,36.73692307692309,26.608035629398856,-14.005161290322562,100.92000000000002,298682.5,0.27665668989099124
readability grades__GunningFogIndex,23.33256114310778,22.8,9.112889329677207,8.4,41.77777777777778,349038.0,0.011118982262142488
readability grades__LIX,69.13680453590776,69.5,22.3306633660717,30.52380952380953,112.22222222222224,347949.5,0.013873617029684652
readability grades__SMOGIndex,14.664570176803844,15.24744871391589,4.611214142001895,3.0,25.58317958127243,350986.0,0.006984557112650507
readability grades__RIX,10.094972067039107,9.0,5.067735280182054,2.0,21.0,350345.5,0.008297659308205134
readability grades__DaleChallIndex,10.638043061490798,11.022093650793652,1.482200030741013,7.180547058823529,13.6121375,331774.0,0.19515462335052602
sentence info__characters_per_word,4.600457996853603,4.588235294117647,0.4347436392646561,3.735294117647059,5.75,306043.0,0.5770323031402341
sentence info__syll_per_word,1.4372591292336423,1.4509803921568627,0.1951861323776132,1.0,1.9523809523809523,310359.0,0.8050097115285346
sentence info__words_per_sentence,46.63687150837989,35.0,22.621630874364065,17.0,93.0,331944.5,0.19086310634742498
sentence info__sentences_per_paragraph,1.0,1.0,0.0,1.0,1.0,313787.0,1.0
sentence info__type_token_ratio,0.8123695529973259,0.8275862068965517,0.10745894494835649,0.6236559139784946,1.0,320390.5,0.634343091638404
sentence info__characters,212.83798882681563,184.0,101.94519076213436,76.0,428.0,330967.5,0.21594089046642695
sentence info__syllables,66.49720670391062,61.0,32.77457467249043,21.0,139.0,329608.0,0.2544666327032853
sentence info__words,46.63687150837989,35.0,22.621630874364065,17.0,93.0,331944.5,0.19086310634742498
sentence info__wordtypes,36.06145251396648,31.0,14.468936897954944,17.0,72.0,333994.5,0.14539040022231586
sentence info__sentences,1.0,1.0,0.0,1.0,1.0,313787.0,1.0
sentence info__paragraphs,1.0,1.0,0.0,1.0,1.0,313787.0,1.0
sentence info__long_words,10.094972067039107,9.0,5.067735280182054,2.0,21.0,350345.5,0.008297659308205134
sentence info__complex_words,5.240223463687151,5.0,3.629367102920421,0.0,17.0,350986.0,0.006984557112650507
sentence info__complex_words_dc,13.30167597765363,13.0,6.347480034887553,4.0,28.0,327971.5,0.3061746166182111
word usage__tobeverb,1.8770949720670391,2.0,1.3351263235808055,0.0,6.0,278619.5,0.009469348100305874
word usage__auxverb,0.0446927374301676,0.0,0.20720800628428207,0.0,1.0,292337.5,0.004220148346593241
word usage__conjunction,1.7094972067039107,1.0,1.1089367687179579,0.0,6.0,284539.5,0.024048302809798996
word usage__pronoun,2.46927374301676,1.0,2.4978428958821537,0.0,10.0,315749.0,0.8847985390482196
word usage__preposition,4.988826815642458,5.0,2.8501701640815593,1.0,14.0,321181.0,0.5918443880179025
word usage__nominalization,0.25139664804469275,0.0,0.6346154760645311,0.0,2.0,287920.5,0.011940840616149863
sentence beginnings__pronoun,0.10614525139664804,0.0,0.30888745835590553,0.0,1.0,299211.5,0.08992757111407679
sentence beginnings__interrogative,0.0,0.0,0.0,0.0,0.0,306627.0,0.041064531104679135
sentence beginnings__article,0.16759776536312848,0.0,0.37455641958942915,0.0,1.0,297462.0,0.09964714522435025
sentence beginnings__subordination,0.0446927374301676,0.0,0.20720800628428207,0.0,1.0,317518.5,0.38773069271898
sentence beginnings__conjunction,0.0,0.0,0.0,0.0,0.0,313787.0,1.0
sentence beginnings__preposition,0.20670391061452514,0.0,0.4060771174564011,0.0,1.0,340879.0,0.0006459442686953697
topic,47.815642458100555,50.0,31.949478746000043,9.0,95.0,299785.5,0.3132067597091647
