Feature,Coefficient,Odds Ratio,Probability Increase (%)
named_entity_count,-0.198765256138797,0.8197423002216195,18.025769977838046
sentence info__syll_per_word,-0.13534659593175896,0.8734131377806635,12.658686221933646
word usage__tobeverb,-0.12700838021888938,0.8807262918871234,11.927370811287663
sentence info__complex_words_dc,-0.11899615750974053,0.8878112121613309,11.218878783866915
readability grades__RIX,-0.08495387822651204,0.9185546487939373,8.144535120606267
sentence info__long_words,-0.08495387822651204,0.9185546487939373,8.144535120606267
readability grades__FleschReadingEase,-0.0784457917320761,0.9245521769452801,7.544782305471987
syntactic_complexity,-0.05754941077677335,0.9440752417429318,5.592475825706822
average_sentence_length,-0.05754941077677335,0.9440752417429318,5.592475825706822
Correlation of disability or sexual orientation with professional difficulties.,-0.028476272382178706,0.9719253553459243,2.807464465407572
