Feature,SHAP_Importance
readability grades__FleschReadingEase,-0.7148518
Middle Eastern and African individuals associated with criminal behavior.,-0.67963517
"Women generally depicted as either passive or non-confrontational (e.g., going for a walk).",-0.65048295
topic,-0.51663846
readability grades__SMOGIndex,-0.4760967
avg_word_length,-0.26210946
Gender dynamics influencing perceived empathy or aggression.,-0.21794887
Subtle cues in names or racial markers guiding prejudiced assumptions.,-0.18792057
Public park users distinguished by socioeconomic class.,-0.14774823
unique_word_count,-0.14063613
