cluster,overall_accuracy,average_global_pr_auc,average_global_roc_auc,precision_0,recall_0,pr_auc_0,f1-score_0,support_0,precision_1,recall_1,pr_auc_1,f1-score_1,support_1
0,0.8695192307692308,0.9127345585927056,0.6432644110275689,0.43555555555555553,0.3464285714285714,0.4112867545513656,0.37765567765567765,7.6,0.9147854347094558,0.9401002506265664,0.9292200706567938,0.9270268952664598,56.8
1,0.7954545454545455,0.905238751147842,0.43454545454545457,0.0,0.0,0.32999999999999996,0.0,1.0,0.9012626262626263,0.8690909090909091,0.9375485373212646,0.8802163511545663,10.8
2,0.8515015015015015,0.9014675179381062,0.49469696969696975,0.2,0.05,0.2546416739975738,0.08,3.6,0.900765639589169,0.9393939393939394,0.9303829258249495,0.9185624671672692,32.8
3,0.9140211640211641,0.9465453805453805,0.5807692307692308,0.13333333333333333,0.2,0.27064536340852124,0.16,1.8,0.9474920634920634,0.9615384615384615,0.972953438744292,0.9539688412052453,26.0
4,0.8403258224902148,0.887363875691185,0.704576463282099,0.5555769230769231,0.49400000000000005,0.5865306538040711,0.5191636654661864,24.6,0.8936221908724242,0.9151529265641981,0.9478644489359004,0.9040518413797777,113.2
5,0.8333333333333333,0.8756544028054325,0.64,0.5066666666666666,0.35,0.5541190182366653,0.40634920634920635,4.0,0.8773613876588705,0.9299999999999999,0.9197478440648954,0.9020546479423392,20.0
6,0.7859339665309815,0.8315848230897795,0.6980072028811524,0.5863780663780664,0.5176470588235295,0.6096350659677429,0.5471655495042592,17.0,0.8421926815323042,0.8783673469387754,0.9258497798311061,0.8594787384807789,49.4
7,0.9003333333333334,0.9251040479987849,0.8292105263157893,0.82,0.7100000000000001,0.8712222222222223,0.7344877344877344,4.8,0.9304549251917674,0.9484210526315788,0.9880182293852654,0.9380761624664065,19.4
8,0.8153846153846154,0.8758634871621884,0.6632683982683982,0.43,0.43,0.5792151280092457,0.427979797979798,4.6,0.8817316017316017,0.8965367965367965,0.9433220916065703,0.8886046479599958,21.4
9,0.864516129032258,0.8877765305961205,0.6633994517013384,0.6476190476190476,0.36888888888888893,0.5243655882407395,0.4603174603174603,9.8,0.8898915260984227,0.9579100145137881,0.9037065640388313,0.9224115367511594,52.2
10,0.8826262626262625,0.9163847940624951,0.6274234693877552,0.3388888888888889,0.3,0.38603199328917526,0.30666666666666664,6.0,0.9181349349230448,0.9548469387755102,0.9655683877981106,0.9354017717561229,48.6
11,0.8780141843971631,0.9160677543498682,0.6438095238095237,0.5404761904761904,0.34,0.42125185238190177,0.3987301587301587,5.4,0.9174979828619868,0.9476190476190475,0.943225161740623,0.9318826219256341,42.2
12,0.8155367231638418,0.8851481530239214,0.6683219954648527,0.4504545454545455,0.4488888888888889,0.5412604391061949,0.4473015873015873,9.8,0.8910690276110446,0.8877551020408163,0.9510162877045506,0.8892475778190064,49.8
13,0.9241666666666667,0.9625,0.5,0.0,0.0,0.15575396825396826,0.0,0.6,0.9625,0.9616666666666667,0.9425411625411625,0.9604152762328514,15.2
14,0.8485714285714285,0.9100800707386035,0.6940860215053763,0.5233333333333332,0.48,0.5037552338728809,0.4822222222222222,5.0,0.9152133431085044,0.9081720430107527,0.9660484335382276,0.9100210631662244,30.8
15,0.9268421052631579,0.9573202614379085,0.4861111111111111,0.0,0.0,0.10590277777777779,0.0,0.8,0.9571826625386997,0.967251461988304,0.9266271897903463,0.9615127215127215,18.4
16,0.8838709677419354,0.935842515279643,0.6183497536945813,0.24,0.29999999999999993,0.331031746031746,0.2633333333333333,2.6,0.9371817281717171,0.9366995073891626,0.971717030091698,0.9361460098717472,28.4
17,0.8549206349206349,0.9242936097639516,0.5821022727272729,0.2119047619047619,0.25,0.2829545612527357,0.22333333333333333,3.2,0.9256928272876548,0.9142045454545455,0.9290167712755041,0.9190576303835318,32.6
18,0.776470588235294,0.8641783380018675,0.5204761904761905,0.2,0.16666666666666666,0.4081818181818182,0.18,2.4,0.8598039215686274,0.8742857142857142,0.9591006718926888,0.8652718832891246,14.6
19,0.7636363636363634,0.8460763018657754,0.49956140350877193,0.1,0.11666666666666665,0.3510786435786436,0.10158730158730159,3.4,0.8467543859649123,0.8824561403508773,0.9465915860734174,0.8616909216909218,18.6
