cluster,overall_accuracy,average_global_pr_auc,average_global_roc_auc,precision_0,recall_0,pr_auc_0,f1-score_0,support_0,precision_1,recall_1,pr_auc_1,f1-score_1,support_1
0,0.875576923076923,0.9161633226712643,0.6521303258145363,0.475,0.3607142857142857,0.4546674772385523,0.40064102564102566,7.6,0.9178665785435891,0.9435463659147869,0.9363173494646329,0.9303507765597127,56.8
1,0.8636363636363635,0.9256363636363636,0.5627272727272727,0.05,0.2,0.3152380952380952,0.08,1.0,0.9299999999999999,0.9254545454545455,0.9564149940968122,0.92233409610984,10.8
2,0.8735735735735736,0.912439361692208,0.5506628787878788,0.2,0.15,0.3043323454288859,0.17142857142857143,3.6,0.9125886020572928,0.9513257575757577,0.9446401286317883,0.9307196340324179,32.8
3,0.8925925925925926,0.9324070004070004,0.476923076923077,0.0,0.0,0.21636913810826855,0.0,1.8,0.9321481481481483,0.953846153846154,0.9516291982613285,0.9426563078061413,26.0
4,0.838876547127896,0.8869314046041363,0.7043659369663096,0.5533651855390985,0.4953333333333333,0.5984764359449902,0.5217604433077578,24.6,0.8930542058858197,0.9133985405992858,0.9515759509351616,0.9030464416914349,113.2
5,0.8166666666666668,0.8793520923520923,0.65,0.39999999999999997,0.4,0.4507309844867894,0.39142857142857135,4.0,0.8849062049062049,0.9,0.9108267097875725,0.8913515496057217,20.0
6,0.7797376752600632,0.8329569826518609,0.7016086434573829,0.5847712418300655,0.5411764705882353,0.6343883621515014,0.5592197913648218,17.0,0.8446871911157625,0.8620408163265306,0.9348230650184626,0.852854019925729,49.4
7,0.892,0.9229110655426445,0.8239473684210525,0.7866666666666667,0.7100000000000001,0.8522698412698414,0.7163059163059162,4.8,0.9304549251917674,0.9378947368421052,0.9855892467118637,0.932670757061001,19.4
8,0.8307692307692307,0.8898544209413775,0.7134848484848485,0.5333333333333333,0.53,0.5526724386724386,0.5211544011544011,4.6,0.8980632411067193,0.8969696969696971,0.9532843026044026,0.8967171758096318,21.4
9,0.835483870967742,0.8852190982290382,0.6541686824705693,0.5131746031746032,0.3888888888888889,0.5728088364052372,0.4299248120300752,9.8,0.8888848951958908,0.9194484760522498,0.9199186783996899,0.9035335035335036,52.2
10,0.8645117845117845,0.9110037800985322,0.6026360544217687,0.24,0.26666666666666666,0.3280056517556517,0.24772727272727274,6.0,0.9131226234083378,0.9386054421768707,0.9562943357542796,0.9245723862723685,48.6
11,0.8821808510638298,0.9164554517972203,0.6429125138427464,0.4966666666666666,0.3333333333333333,0.4414829686137736,0.39333333333333337,5.4,0.9178167052585657,0.9524916943521594,0.9550637554386489,0.9347050471424263,42.2
12,0.822090395480226,0.881584145209802,0.6540997732426304,0.4375757575757576,0.4044444444444445,0.5438695826457149,0.41142857142857137,9.8,0.8868124188878908,0.9037551020408163,0.9719990828509332,0.8946552907717956,49.8
13,0.9358333333333334,0.9625,0.5,0.0,0.0,0.0673076923076923,0.0,0.6,0.9625,0.9733333333333334,0.8961021694355028,0.9663594470046084,15.2
14,0.8376190476190477,0.9047776996014127,0.6709677419354839,0.3966666666666666,0.44000000000000006,0.5631116338530526,0.40813852813852813,5.0,0.9100154478664916,0.9019354838709678,0.9678426854989327,0.904618019033672,30.8
15,0.9273684210526316,0.9573701309804725,0.4864766081871345,0.0,0.0,0.05841933264533883,0.0,0.8,0.9573099415204677,0.9678362573099415,0.90220263671996,0.9621463568831989,18.4
16,0.8709677419354838,0.934245592375737,0.6110837438423646,0.18,0.29999999999999993,0.5073290449249528,0.22444444444444445,2.6,0.9364766631218243,0.922167487684729,0.9737232533948207,0.9279047920052415,28.4
17,0.8660317460317459,0.9116616267719209,0.5059659090909091,0.06666666666666667,0.06666666666666667,0.17339170282183808,0.06666666666666667,3.2,0.9116458704693999,0.9452651515151516,0.9325679367095644,0.9276292335115865,32.6
18,0.8705882352941176,0.9155732241614594,0.7152380952380952,0.5,0.5,0.5944631185807656,0.4942857142857142,2.4,0.9196153846153848,0.9304761904761906,0.9506728926224725,0.9243999505623531,14.6
19,0.8,0.8864187603093692,0.6434210526315789,0.32999999999999996,0.41666666666666663,0.45802910052910056,0.3658730158730159,3.4,0.8903828197945846,0.870175438596491,0.9605632063572287,0.8790390390390392,18.6
