,mean,median,std,min,max,u_stat,p_val
Unnamed: 0,2094.813559322034,2210.0,1152.8507316509572,22.0,4020.0,105565.0,0.7851374201369821
polarity,0.08422013720742533,0.1,0.037653095196853115,-0.075,0.1,129429.0,0.0008858074721262515
subjectivity,0.3688186037126714,0.4,0.09196482562743673,0.0,0.5211309523809523,99037.0,0.5752684922365887
flesch_reading_ease,67.16135593220338,67.25,8.12826410988801,49.82,82.14,78969.0,0.0018114109039569454
syntactic_complexity,17.279661016949152,18.33333333333333,2.167206095088378,12.666666666666666,24.0,112208.5,0.26261219127375646
lexical_diversity,0.8100003168606923,0.7346938775510204,0.0908331902422143,0.6923076923076923,0.92,85544.5,0.02254602368150984
text_length,219.83050847457628,262.0,63.25758848913807,146.0,365.0,91660.5,0.1334277464082473
question_marks,1.0,1.0,0.0,1.0,1.0,103722.0,0.6817723434880194
exclamation_marks,0.0,0.0,0.0,0.0,0.0,100447.5,0.186111084757404
avg_word_length,4.807512962281867,4.75,0.3863518434655271,4.068965517241379,5.583333333333333,107457.0,0.6072862837253851
unique_word_count,30.16949152542373,35.0,6.87361908983676,22.0,50.0,87015.5,0.036263514234270586
sentiment_score_range,0.11093623890234058,0.1,0.11580212212560125,0.0,0.8416666666666666,66116.0,1.8340448901649524e-06
noun_phrase_count,10.491525423728813,13.0,3.007879774261507,7.0,17.0,89423.5,0.07336235974695532
verb_phrase_count,5.338983050847458,7.0,2.5162243848433286,2.0,10.0,111759.5,0.28518760761663564
named_entity_count,4.084745762711864,5.0,1.5118855046188395,0.0,7.0,132993.0,0.00012982838536231293
passive_voice_count,0.06779661016949153,0.0,0.2535545088414485,0.0,1.0,78662.0,8.194814099761791e-05
active_voice_count,2.4915254237288136,3.0,0.5980681934342122,1.0,3.0,136316.0,1.0231591018177574e-05
modal_verbs_count,0.0,0.0,0.0,0.0,0.0,90653.5,0.004037150670749481
conditional_sentences_count,0.0,0.0,0.0,0.0,0.0,102394.5,0.44084284983680444
sentence_count,2.559322033898305,3.0,0.5007300339703321,2.0,3.0,90321.0,0.07119072919573012
average_sentence_length,17.279661016949152,18.33333333333333,2.167206095088378,12.666666666666666,24.0,112208.5,0.26261219127375646
stop_words_count,18.64406779661017,22.0,6.535744455035805,10.0,38.0,82990.0,0.009100315490913452
punctuation_diversity,3.0508474576271185,3.0,0.2215718777717221,3.0,4.0,99788.5,0.5916097719842774
readability grades__Kincaid,15.930500100131422,18.07,4.507412086587833,9.073076923076924,24.810606060606062,84979.5,0.018630088162944727
readability grades__ARI,19.634658748224155,22.9752,5.369708515696501,11.585172413793105,32.550909090909094,90718.5,0.10504778212101647
readability grades__Coleman-Liau,10.283296098456459,9.972849423076925,2.063361141805911,6.292842000000004,14.570591791666672,97302.5,0.4347471733214797
readability grades__FleschReadingEase,50.281819592364315,45.315000000000026,14.144242716755388,27.69,76.32192307692308,130932.5,0.0004512043085527166
readability grades__GunningFogIndex,19.687998503484806,22.4,4.239574054241569,13.47692307692308,29.430303030303037,93830.5,0.22096977181152067
readability grades__LIX,58.03177439633158,64.0,11.590155691868443,41.38461538461539,82.66666666666667,84708.0,0.016963727700049364
readability grades__SMOGIndex,13.4239691060943,13.954451150103322,1.6562900818119746,10.745966692414834,16.41640786499874,98862.5,0.5577202996207747
readability grades__RIX,7.254237288135593,7.0,2.278786884915192,4.0,12.0,83835.0,0.01223101441851464
readability grades__DaleChallIndex,10.368547824192134,10.74815,0.8558580919702397,7.19745,10.977221212121211,97827.0,0.475102647399292
sentence info__characters_per_word,4.580283083756972,4.520833333333333,0.3788254818052145,3.931034482758621,5.375,97710.0,0.46592682401813357
sentence info__syll_per_word,1.382805955052792,1.36,0.14738110655041306,1.16,1.6666666666666667,80780.0,0.0038703537503862843
sentence info__words_per_sentence,38.983050847457626,48.0,12.402018085812413,24.0,66.0,92642.5,0.16889711033201527
sentence info__sentences_per_paragraph,1.0,1.0,0.0,1.0,1.0,103427.0,1.0
sentence info__type_token_ratio,0.7743086535613267,0.7,0.09206880978400393,0.6538461538461539,0.896551724137931,79846.5,0.0026313180309063644
sentence info__characters,175.88135593220338,206.0,50.049659734198585,114.0,294.0,90772.0,0.10651634696260386
