Feature,Coefficient,Odds Ratio,Probability Increase (%)
sentence info__wordtypes,-0.13890517472161132,0.8703105519859082,12.968944801409176
readability grades__RIX,-0.1248193198774191,0.8826563666386903,11.73436333613097
sentence info__long_words,-0.1248193198774191,0.8826563666386903,11.73436333613097
sentence info__complex_words_dc,-0.11579678824333187,0.890656196719209,10.934380328079097
sentence info__syllables,-0.10143188858166911,0.9035427188225278,9.645728117747222
noun_phrase_count,-0.09997877741185189,0.9048566212315936,9.514337876840639
unique_word_count,-0.0950491879625463,0.9093282053664659,9.067179463353414
stop_words_count,-0.0946652781294172,0.9096773724260929,9.032262757390708
readability grades__GunningFogIndex,-0.02873096680324653,0.9716778429015807,2.8322157098419343
Prejudice towards ethnic minorities in financial and professional contexts,-0.026696726516189158,0.9736564809459414,2.634351905405863
