cluster,overall_accuracy,average_global_pr_auc,average_global_roc_auc,precision_0,recall_0,pr_auc_0,f1-score_0,support_0,precision_1,recall_1,pr_auc_1,f1-score_1,support_1
0,0.8507692307692307,0.9076259702112734,0.6165100250626567,0.38666666666666666,0.31071428571428567,0.41455013221782,0.3381096028154852,7.6,0.9092991659940814,0.9223057644110275,0.9568011847271614,0.9154949366911527,56.8
1,0.8318181818181818,0.9084710743801653,0.4545454545454545,0.0,0.0,0.35833333333333334,0.0,1.0,0.9053030303030303,0.909090909090909,0.9615009182736456,0.9022714889991779,10.8
2,0.8791291291291292,0.9176698069345128,0.5839962121212121,0.3333333333333333,0.21666666666666665,0.3093288887345641,0.26095238095238094,3.6,0.9179990026313556,0.9513257575757577,0.945563499306173,0.9340180858446308,32.8
3,0.9283068783068783,0.9476214896214896,0.5884615384615385,0.26666666666666666,0.2,0.3116305916305916,0.21333333333333332,1.8,0.9480846560846562,0.976923076923077,0.9668341289417839,0.9619599621819377,26.0
4,0.8402517719242567,0.8898065408984189,0.7109732184443409,0.5639079283887468,0.5103333333333333,0.577393306355509,0.5336970300315247,24.6,0.895760592462908,0.9116131035553486,0.9481915045949035,0.903493079022794,113.2
5,0.8083333333333332,0.8591050749403152,0.585,0.3466666666666666,0.25,0.5287098930481283,0.27936507936507937,4.0,0.8610478766085172,0.9200000000000002,0.933659581450317,0.8886176784078088,20.0
6,0.8282225237449119,0.8614119335627178,0.7611116446578631,0.7042857142857143,0.623529411764706,0.6715008996265482,0.6539304396562462,17.0,0.8740613839643878,0.8986938775510204,0.9240599880115401,0.8853680275633087,49.4
7,0.8923333333333334,0.9152523688901397,0.8092105263157896,0.8342857142857143,0.6699999999999999,0.8687373737373738,0.7087301587301587,4.8,0.922254432873628,0.9484210526315788,0.9866885060244195,0.9331070013996843,19.4
8,0.7692307692307693,0.8495900114378376,0.5791991341991343,0.31666666666666665,0.29,0.4655999145781754,0.29292929292929293,4.6,0.8538537549407115,0.8683982683982684,0.9330241763936847,0.8604028596403254,21.4
9,0.832258064516129,0.8924642399031958,0.6765489437187551,0.4906349206349206,0.4488888888888888,0.5971257266654617,0.46529192857366225,9.8,0.8969241324713023,0.9042089985486212,0.9341364037209393,0.9003384179655611,52.2
10,0.8680808080808081,0.9053896710199231,0.5753826530612245,0.2357142857142857,0.19999999999999998,0.3473396040292592,0.2123076923076923,6.0,0.906454248366013,0.950765306122449,0.9554642311334934,0.9276204862451072,48.6
11,0.8738475177304965,0.9231777359677793,0.6767220376522702,0.4688888888888889,0.42000000000000004,0.4053631871655263,0.40974025974025974,5.4,0.9264255808328932,0.9334440753045404,0.9377076220788153,0.928934669157915,42.2
12,0.8222033898305086,0.8864121302169732,0.6712517006802721,0.47777777777777775,0.44666666666666666,0.5181748725236408,0.45374800637958523,9.8,0.892083980762116,0.8958367346938776,0.9658399659171788,0.8935123514752435,49.8
13,0.95,0.9617222222222223,0.48888888888888893,0.0,0.0,0.46527777777777773,0.0,0.6,0.9616666666666667,0.9866666666666667,0.9632625399292065,0.9737634408602152,15.2
14,0.8711111111111111,0.9092527341365357,0.6904301075268817,0.6883333333333332,0.44000000000000006,0.5723260715892294,0.48897435897435904,5.0,0.9126701733153346,0.9408602150537634,0.9668081503349792,0.9252125456603386,30.8
15,0.9373684210526315,0.9578687459389214,0.4930555555555556,0.0,0.0,0.17404306220095694,0.0,0.8,0.9578362573099415,0.9783625730994151,0.9264252217091212,0.9675444675444675,18.4
16,0.9096774193548386,0.949114274343511,0.7087027914614122,0.5333333333333333,0.4666666666666666,0.49857345383661167,0.4609523809523809,2.6,0.95093413610655,0.9507389162561577,0.9788678965049021,0.9504857755674452,28.4
17,0.8996825396825396,0.9287114074279849,0.6068181818181818,0.5333333333333333,0.25,0.28668245047997126,0.31333333333333335,3.2,0.9292029539088362,0.9636363636363636,0.9182129873653903,0.9458163726820444,32.6
18,0.8588235294117647,0.9227146191810057,0.7176190476190476,0.5190476190476191,0.5333333333333333,0.6108333333333332,0.48666666666666664,2.4,0.9348809523809525,0.9019047619047619,0.9594987334483134,0.9132411674347158,14.6
19,0.8272727272727274,0.8982403821000313,0.6625730994152047,0.36428571428571427,0.4333333333333333,0.4988947163947163,0.3825974025974026,3.4,0.906984126984127,0.891812865497076,0.9544299600508523,0.8971843171843172,18.6
