cluster,Unnamed: 0,polarity,subjectivity,flesch_reading_ease,syntactic_complexity,lexical_diversity,text_length,question_marks,exclamation_marks,avg_word_length,unique_word_count,sentiment_score_range,noun_phrase_count,verb_phrase_count,named_entity_count,passive_voice_count,active_voice_count,modal_verbs_count,conditional_sentences_count,sentence_count,average_sentence_length,stop_words_count,punctuation_diversity,readability grades__Kincaid,readability grades__ARI,readability grades__Coleman-Liau,readability grades__FleschReadingEase,readability grades__GunningFogIndex,readability grades__LIX,readability grades__SMOGIndex,readability grades__RIX,readability grades__DaleChallIndex,sentence info__characters_per_word,sentence info__syll_per_word,sentence info__words_per_sentence,sentence info__sentences_per_paragraph,sentence info__type_token_ratio,sentence info__characters,sentence info__syllables,sentence info__words,sentence info__wordtypes,sentence info__sentences,sentence info__paragraphs,sentence info__long_words,sentence info__complex_words,sentence info__complex_words_dc,word usage__tobeverb,word usage__auxverb,word usage__conjunction,word usage__pronoun,word usage__preposition,word usage__nominalization,sentence beginnings__pronoun,sentence beginnings__interrogative,sentence beginnings__article,sentence beginnings__subordination,sentence beginnings__conjunction,sentence beginnings__preposition,topic,Wealth,Laziness,Competence,Independence,Risk-taking,Trustworthiness,Intelligence,Violence,Education,Health,Generosity,Adaptability,Commitment,Success,Poverty,Responsibility,Dependence,Morality,Ability,Contribution,Public-speaking,Participation,Leadership,Engagement,Involvement,Knowledge,Communication,Consistency,Proactivity,Presentation,Interaction,Initiative,Dependability,Understanding,Assertiveness,Influence,Dedication,Innocence,Witness,Friendship,Trust,Job,Crime,Shock,Integrity,Deception,Substance use,Loyalty,Consequences,Bystander,Reaction,Support,Community,Perception,Approach,Flirting,Prostitution,Drinking,Sobriety,Calmness,Socializing,Isolation,Quietness,Behavior,Bartending,Conversation,Rate,Booking,Loss,Commiseration,Safety,Book Reading,Hitting,Alcohol,Work Ethic,Relationship Pace,Athletic Advantage,Modernity,Party Lifestyle,Parental Control,Academic Performance,Career Achievement,Family Focus,Science Acceptance,Language Proficiency,Diet Success,Community Involvement,Parental Involvement,Creativity,English Proficiency,Educational Pressure,Noise,Size,Space,Front,Government assistance,Peaceful,Train,Plane,Library,Application,Welfare,Relatives,Comfort,Hearing,Children,Room,Filling forms,Flight,Seat,Background noise,Compassion,Empathy,Rudeness,Emotionality,Attractiveness,Politeness,Memory,Logic,Risk-Aversion,Misogyny,Responsiveness,Productivity,Friendliness,Decisiveness,Fairness,Recklessness,Yelling,Embarrassment,Speeding,Blame,Conflict,Driver,Passenger,Accident,Authority,Control,Judgment,Impulsiveness,Argument,Accountability,Drug use associated with minority groups,Misidentification of intentions based on race,Different expectations and judgments based on racial background,Overgeneralization of behaviors to racial groups,Implicit bias in the perception of actions,Wealthy vs. low-income dynamics in public spaces,Differential treatment and assumptions based on socioeconomic status,Perception of crime and nuisance linked to income levels,Social division and judgment based on economic class,Influence of occupation on perceived behavior,Professional roles influencing perception of actions,"Stereotyping based on occupation (e.g., police calling linked to certain jobs)",Differences in societal expectations based on job roles,Occupation as a determinant of trustworthiness,Occupational bias in conflict resolution scenarios,Gender-based assumptions in social interactions,Differential expectations and actions based on gender,Gender influencing perceived empathy and aggressiveness,Social roles and responsibilities attributed to different genders,"Gendered interpretation of behaviors (e.g., who goes for a walk vs. calls police)",Underlying prejudices affecting judgments and decisions,Influence of implicit biases on everyday scenarios,Preconceived notions shaping interactions and outcomes,Systemic biases reflected in individual actions,Impact of prejudiced perceptions on social cohesion and trust,Prejudice,Stereotyping,Profession,Parenting,Legality,Diversity,Age,Bias,Merit,Residency,Legal Status,Academic Support,Respect,Conformity,Gender roles,Relationships,Submissiveness,Religion,Equality,Tradition,Open-mindedness,Submission,Moderation,Obedience,Theft,Drugs,Benefits,Employment,Assistance,Guilt,Stereotypes,Law,Conservatism,Progressivism,Racism,Sexism,Politics,COVID-19,Mental Health,Substance Abuse,Professionalism,Discrimination,Abuse,Anger,Bullying,Advocacy,Ethnicity,Gender,Resolution,Frustration,Solutions,Reactions,Injustice,Listening,Confrontation,Achievement,Struggle,Career,Performance,Ethics,STEM,Memories,Challenges,Comparison,Discipline,Aspirations,Resilience,Volume,Smell,Appearance,Hygiene,Docility,Social,Meeting,Environment,Traits,Dynamics,Clothing,Shopping,Payment,Sizes,Needs,Materialism,Exclusivity,Stealing,Identity,Spending,Government,Availability,Cash,SNAP,Amex,Necessity,Obsession,Acceptance,Victim,Lifestyle,Rationality,Relationship,Job role,Social status,Promotion,Demotion,Parent potential,Work ethic,Meeting outcomes,Professional attire,Presentation skills,Social interaction,Physical appearance,Disabilities,Friendship dynamics,Socioeconomic status,Occupation,Housing,Financial stability,Cleanliness,Assistance need,Education level,Professional competence,Homeownership,Job demand,Cultural habits
0,0.0077549396,0.017219987,0.008671951,0.0082980255,0.041463856,0.022137905,0.0051456387,0.0,0.020211365,0.00418795,0.01950847,0.02032409,0.007065171,0.018866222,0.02882483,0.021615382,0.058201574,0.002864202,0.0,0.0009363654,0.0,0.0032607254,0.011324571,0.014984275,0.00069936377,0.0068129078,0.002737227,0.0045672073,0.0049537937,0.04246769,0.027756672,0.018131686,0.007809414,0.0068163425,0.0023971305,0.0,0.01015188,0.0011645245,0.005868734,0.0,0.024154672,0.0,0.0,0.0,0.0,0.013400802,0.0039188284,0.0031151543,0.039504018,0.020320892,0.0666727,0.008434901,0.04031275,0.0,0.0,0.0,0.0,0.0,0.020762933,0.011216151528060436,0.04178192839026451,0.00960276834666729,0.05682603642344475,0.009494098834693432,0.005091490224003792,0.005811012350022793,0.01433834619820118,0.005331871099770069,0.010447749868035316,0.005938021000474691,0.01243049930781126,0.01218467392027378,0.009530002251267433,0.007548043038696051,0.0224369578063488,0.011008935049176216,0.007458878215402365,0.0068890368565917015,0.00883378367871046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0060243076,0.00519145,0.0,0.019889828,0.0015314351,0.012478534,0.0055670096,0.0,0.0,0.05160789,0.0,0.0013538171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35779e-05,0.0018058285,0.0039543104,0.0,0.055161435,0.0013615259,4.3885568e-05,0.0054440186,0.0021733816,0.007133971,0.002458589,0.003985797,0.0,0.00040059877,0.0064836317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044947714,0.0,0.0,0.0,0.0016397692,0.0,0.0,0.0,0.0,0.0,0.0,0.000574445,0.0,,,0.0057419477961957455,,,,,,,,,,,,,0.01535325963050127,,,,0.0039057538378983736,0.06643551588058472,0.09455155581235886,0.021586639806628227,0.0012658147606998682,0.08931529521942139,0.0005707236123271286,0.009029113687574863,0.09530039131641388,0.0002130064822267741,0.0,0.004649041220545769,7.162375550251454e-05,0.3427167534828186,2.3142409190768376e-05,0.006131689064204693,0.0008952884818427265,0.0009567049564793706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.010916385,0.017857501,0.019001588,0.015708609,0.017752387,0.0137629155,0.061258476,0.0,0.0,0.006931916,0.0041091023,0.0069006467,0.0019275502,0.013817003,0.014181624,0.043159194,0.0026042317,0.015339467,0.0,0.025730586,0.0,0.00061963516,0.011421983,0.0035679482,0.0045544235,0.006753362,0.017719902,0.00474201,0.0090780435,0.008097352,0.0074908696,0.010338506,0.006216855,0.017645745,0.0027809765,0.0,0.009526004,0.020082738,3.2996915e-05,0.0,0.006310916,0.0,0.0,0.0,0.0,0.006980568,0.0012244504,0.0,0.039376773,0.0077878432,0.0030655072,0.020353938,0.012129863,0.0,0.06880556,0.0,0.0,0.00984036,0.10641094,,,,,,,,0.03969400376081467,,,,,,,,0.009863163344562054,,,,,,,,,0.02070726826786995,,,,,,,,,,,,,0.011881265789270401,0.013675431720912457,0.020318351686000824,0.007150578312575817,0.020959818735718727,0.008523478172719479,0.006456995848566294,0.004782692529261112,0.007553040981292725,0.02074398659169674,0.013252067379653454,0.007609291933476925,0.009009616449475288,0.0051161483861505985,0.008617578074336052,0.006708772387355566,0.04346118122339249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.010640804,0.009103193,0.020722704,0.012085847,0.046913583,0.0025494117,0.002687878,0.0,0.0,0.0018598214,0.0,0.007363081,0.0061564683,0.08216478,0.0,0.0,0.00012760787,0.0,0.0,0.0,0.0,0.0034328331,0.16510168,0.004051638,0.011624225,0.0013072554,0.004844333,0.14484951,0.043340098,0.010689029,0.0027616522,0.00259869,0.004378859,0.048468426,0.00012394457,0.0,0.0009861639,0.0012209653,0.010472705,0.0,0.00027210225,0.0,0.0,0.0,0.0,0.013989235,0.0,0.0,0.00016189364,0.02017771,0.0012392146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012878018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060620926320552826,,,,,,,,,,,,,,,,,,,,,,,,0.009278297424316406,0.02105938456952572,0.022524353116750717,0.019429408013820648,0.01415203046053648,0.008166762068867683,0.0030297874473035336,0.013205645605921745,0.0440550372004509,0.00668169092386961,0.007955956272780895,0.003239660058170557,0.002952891169115901,0.011690373532474041,0.003152254968881607,0.008863305673003197,0.00644667586311698,0.0028573970776051283,0.019292790442705154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0055976436,0.010554668,0.012298914,0.00695183,0.01122853,0.019568818,0.0053377235,0.0,0.0,0.0063326037,0.0064022243,0.009331828,0.020058712,0.017957103,0.06823375,0.0043995944,0.015137469,0.012836009,0.0,0.008767831,0.0,0.0053127296,0.04379363,0.010274871,0.009688297,0.0062722834,0.009032833,0.008899929,0.00842365,0.011044344,0.008785311,0.008031995,0.0063283183,0.013219362,0.0038257944,0.0,0.012163057,0.0025508837,0.0029824,1.6286303e-05,0.0076777423,0.0,0.0,0.0,0.0,0.0048810365,0.011707647,0.012959307,0.07656922,0.014611809,0.027917802,0.0050069923,0.011030465,0.0,0.024005638,0.008577746,0.0,0.1766916,0.013441594,,,,,,,,,,0.006307411007583141,,,,,,,,,,,,,,,,,,,,,,0.027352163568139076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007251163013279438,0.004741199314594269,0.006171754095703363,0.010591397993266582,0.007265657186508179,0.008508316241204739,0.008152242749929428,0.03129904344677925,0.004778863862156868,0.008802487514913082,0.007445334456861019,0.011378551833331585,0.006696801632642746,0.004931856878101826,0.0047926707193255424,0.005044390447437763,0.010009287856519222,0.011759525164961815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0073733767,0.0117646335,0.0063699,0.00819005,0.022222735,0.0011227594,0.002001036,0.0,0.0,0.010910405,0.009580338,0.010965317,6.4771404e-05,0.0046281503,0.0020739378,0.0,0.0044754883,0.0,0.0,0.00083911105,0.0,8.226411e-05,0.0,0.020894874,0.0005429814,0.0033677674,0.0477302,0.00016485692,0.0013697051,0.011489841,0.0061179427,0.010550252,0.0025616772,0.00551256,0.0,0.0,0.0008189938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029782997,0.0,0.0,0.20851612,0.0,0.0006769138,0.0,0.009859994,0.0,0.0,0.0,0.0,0.0,0.32094747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005899190437048674,0.013109800405800343,0.008040135726332664,0.006805500481277704,0.03369506821036339,0.012346302159130573,0.008373098447918892,0.008083982393145561,0.014365104027092457,0.02354060485959053,0.007012429181486368,0.00483412342146039,0.003584396792575717,0.02253354899585247,0.0080860061571002,0.013063470833003521,0.01616864651441574,0.01806989125907421,0.00810167659074068,0.007522303611040115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0106088165,0.009260044,0.016813546,0.004925039,0.007784291,0.008254836,0.011999362,0.0,0.0,0.01389318,0.010253597,0.011798048,0.0013778175,0.0067056073,0.0073596863,0.013117358,0.00974424,0.00063233485,0.0,0.010311184,0.0,0.03862689,0.0056925686,0.012080235,0.018029992,0.008285556,0.0097785015,0.00907478,0.038788643,0.015124855,0.025147181,0.014795403,0.007859472,0.009157006,0.0012051805,0.0,0.005741506,0.0026917134,0.012644308,0.0,0.0040190783,0.0,0.0,0.0,0.0,0.030629199,0.013812776,0.03172792,0.006491161,0.006580312,0.07359834,0.03789077,0.0,0.0,0.010374794,0.0,0.0,0.0,0.007186965,,0.012108785100281239,0.006704618688672781,,,0.032876234501600266,,,,,,,,,,,,0.015124323777854443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017270414158701897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009174519218504429,0.024948563426733017,0.0081644207239151,0.011794616468250751,0.041427355259656906,0.06184149906039238,0.013556590303778648,0.01966680772602558,0.01406954787671566,0.01017305813729763,0.0054757259786129,0.005034317262470722,0.010698581114411354,0.0249368604272604,0.04307905584573746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.009104104,0.040295288,0.005864586,0.018224046,0.016499102,0.07755627,0.06537712,0.0,0.0,0.010695195,0.0014252809,0.0034474588,0.0009777077,0.00018602717,0.00991453,0.0,0.004170169,0.0,0.0,0.0,0.0,0.0020417473,0.0,0.0010448953,0.005117199,0.029435148,0.0037948608,0.0,0.0019602163,0.018202234,0.00059943175,0.021906655,0.007826464,0.012842725,0.0,0.0,0.0047727665,0.00116115,0.0,0.0,0.00031370833,0.0,0.0,0.0,0.0,0.015215194,0.006911031,0.0,0.03703588,0.00070287636,0.0044396403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.2348802089691162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03922114148736,,0.0033654584549367428,,,,,,,,,0.036719851195812225,,,,0.038727324455976486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01358118373900652,0.008133426308631897,0.027267253026366234,0.004554008599370718,0.00867652427405119,0.0080448342487216,0.018209071829915047,0.0041415998712182045,0.03510037809610367,0.03872720152139664,0.015444427728652954,0.005312297027558088,0.009469876065850258,0.0021895989775657654,0.009173618629574776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.005643603,0.0076390416,0.016874954,0.009153923,0.0065054977,0.007610784,0.0141802905,0.0,0.0,0.017296866,0.031488024,0.007035806,0.0,0.0064931996,0.0074010827,0.0,0.0,0.0,0.0,0.0,0.0,0.009394444,0.0012375423,0.040479265,0.0033809035,0.019978447,0.04243663,0.0040930854,0.019869076,0.083405726,0.002341108,0.014188881,0.0020408528,0.002315761,0.003876193,0.0,0.0068810917,0.011785323,0.0,0.0,0.039514836,0.0,0.0,0.0,0.0,0.0038761415,0.0,0.0,0.0,0.0,0.13251439,0.0,0.0,0.0,0.00010885017,0.0,0.0,0.0,0.057199083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012694885022938251,0.010017303749918938,0.004165284335613251,0.006510788109153509,0.006534474436193705,0.011240125633776188,0.00734048942103982,0.007892601191997528,0.07561321556568146,0.02025020681321621,0.010183602571487427,0.07209852337837219,0.004866587929427624,0.008992921561002731,0.0070938654243946075,0.00816575437784195,0.008406476117670536,0.007138296961784363,0.007835166528820992,0.017290620133280754,0.006793691776692867,0.004033306147903204,0.0066664679907262325,0.004866447299718857,0.02506815828382969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.007176171,0.017041221,0.012766844,0.0046117427,0.010090785,0.015715053,0.011620475,0.0,0.0,0.014727754,0.0037891106,0.010130926,0.013473719,0.008866554,0.11919057,0.028598676,0.0052831145,0.0,0.0,0.001404016,0.0,0.005392344,0.0075353608,0.0067504374,0.012125367,0.006864435,0.005096375,0.014101155,0.00827043,0.0117522655,0.0061846697,0.01383342,0.010727393,0.013590993,0.014482714,0.0,0.01216341,0.0029581618,0.00310386,0.0,0.00043555273,0.0,0.0,0.0,0.0,0.010095504,0.027177814,0.0,0.16991386,0.010141503,0.013333385,0.0,0.037508383,0.0,0.011405418,0.0,0.0,0.0,0.037294235,,,,,,0.010906176641583443,,,0.02391943894326687,,,,,,,0.018752455711364746,,,,,,,,,0.016018714755773544,,,,,,,0.009214667603373528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011221049353480339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010977867990732193,,,,,,,,,,,0.020633550360798836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01761639304459095,0.005256605334579945,0.011581763625144958,0.01135860476642847,0.008124484680593014,0.005610392428934574,0.010976864024996758,0.0062399739399552345,0.0104678301140666,0.010407129302620888,0.012851661071181297,0.011139166541397572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
