cluster,Unnamed: 0,polarity,subjectivity,flesch_reading_ease,syntactic_complexity,lexical_diversity,text_length,question_marks,exclamation_marks,avg_word_length,unique_word_count,sentiment_score_range,noun_phrase_count,verb_phrase_count,named_entity_count,passive_voice_count,active_voice_count,modal_verbs_count,conditional_sentences_count,sentence_count,average_sentence_length,stop_words_count,punctuation_diversity,readability grades__Kincaid,readability grades__ARI,readability grades__Coleman-Liau,readability grades__FleschReadingEase,readability grades__GunningFogIndex,readability grades__LIX,readability grades__SMOGIndex,readability grades__RIX,readability grades__DaleChallIndex,sentence info__characters_per_word,sentence info__syll_per_word,sentence info__words_per_sentence,sentence info__sentences_per_paragraph,sentence info__type_token_ratio,sentence info__characters,sentence info__syllables,sentence info__words,sentence info__wordtypes,sentence info__sentences,sentence info__paragraphs,sentence info__long_words,sentence info__complex_words,sentence info__complex_words_dc,word usage__tobeverb,word usage__auxverb,word usage__conjunction,word usage__pronoun,word usage__preposition,word usage__nominalization,sentence beginnings__pronoun,sentence beginnings__interrogative,sentence beginnings__article,sentence beginnings__subordination,sentence beginnings__conjunction,sentence beginnings__preposition,topic
0,0.00827238,0.012405991,0.008789068,0.011828797,0.044876177,0.009749915,0.019881573,0.0,0.074178316,0.0071039298,0.01951852,0.015383179,0.007863747,0.03306956,0.019878177,0.044858504,0.12999919,0.019227676,0.0,0.0042881435,0.0,0.003930813,0.033218697,0.008056689,0.010233163,0.0054065296,0.012297494,0.0101800095,0.009297779,0.026727632,0.030216035,0.015038572,0.004116335,0.012141303,0.013619214,0.0,0.010405472,0.0018256155,0.0015431069,0.0,0.03491046,0.0,0.0,0.0,0.0,0.005146336,0.025200048,0.0043066107,0.0024296981,0.040631503,0.077287935,0.016677815,0.056183465,0.0,0.0,0.0,0.0,0.00020371226,0.037595086
1,0.009090407,0.033965312,0.00096220116,0.021017577,0.0814782,0.09043272,0.036592655,0.0,0.0,0.060173165,0.00062030874,0.034714557,0.0,0.0,0.21157798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006465153,0.0036041955,0.0039078137,0.0012474216,0.05106976,0.015986048,0.003733368,0.00981261,0.02548101,0.023696661,0.05167675,0.005367468,0.0,0.0019243462,0.017530954,0.002861198,0.0,0.00073370285,0.0,0.0,0.0,0.0,0.0,0.18384704,0.0,0.0,0.0,0.00033032603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01009907
2,0.01427705,0.0142507125,0.013780123,0.017016884,0.022657245,0.01440092,0.034000773,0.0,0.0,0.011548304,0.0045925416,0.017006624,0.015957734,0.014364432,0.01692849,0.0385623,0.024502847,0.0,0.0,0.030378375,0.0,0.0067099715,0.00453028,0.013137733,0.010505887,0.005301722,0.027353063,0.008739362,0.006763498,0.011116734,0.010460893,0.008146718,0.0061842417,0.0150094135,0.011531236,0.0,0.005159148,0.0096394755,0.0078019863,0.0,0.010310194,0.0,0.0,0.0,0.0,0.019886741,0.009321657,0.0,0.052843302,0.03188642,0.0076604076,0.08451672,0.0068641664,0.0,0.11990075,0.0,0.0,0.07401718,0.11047574
3,0.010684395,0.0063239685,0.013581793,0.017662061,0.03533031,0.0029157565,0.0078004324,0.0,0.0,0.006552296,0.0026571467,0.0160167,0.014227557,0.13244535,0.023785025,0.0,0.0006948024,0.0,0.0,0.0,0.0,0.0072515695,0.21883574,0.021986581,0.01052468,0.014835224,0.009945701,0.18455915,0.033651885,0.018745065,0.00498069,0.01628826,0.007661966,0.044705044,0.00078190805,0.0,0.0014481021,0.018940633,0.005083739,0.0,0.0016170427,0.0,0.0,0.0,0.0,0.030297533,0.0,0.0,0.0,0.023565644,0.00493932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028676922
4,0.008765977,0.014402626,0.018100299,0.009320435,0.014376173,0.03402144,0.010607315,0.0,0.0,0.009056875,0.014441763,0.014212197,0.030493546,0.012641889,0.075605586,0.019376844,0.017599585,0.020367939,0.00065057207,0.013378717,0.0,0.0178313,0.039723545,0.007566139,0.01050828,0.007532937,0.010075807,0.008599576,0.01161374,0.015604859,0.007932036,0.010459391,0.0066735046,0.023282193,0.012747441,0.0,0.027493611,0.006346709,0.008367691,0.0,0.01178661,0.0,0.0,0.0,0.00039270933,0.014326793,0.02206095,0.02598066,0.10582256,0.019393666,0.054800827,0.020615513,0.013343722,0.0,0.043852206,0.027407046,0.0,0.051711697,0.01872649
5,0.013312993,0.018193657,0.0097898375,0.016600238,0.029603973,0.0058870255,0.0067702727,0.0,0.0,0.009263704,0.009836037,0.024479311,0.0066030645,0.0,0.00723017,0.0,0.012407372,0.0,0.0,0.0048441216,0.0,0.006157008,0.00035656794,0.015673196,0.0026070618,0.0061711604,0.027913576,0.0007627826,0.006306647,0.05826837,0.007294446,0.008917296,0.0066354508,0.012139356,0.0031329803,0.0,0.0037139268,4.820689e-05,0.0022878812,0.0,0.0,0.0,0.0,0.0,0.0,0.0010631646,0.012801235,0.0,0.1895464,0.008517813,0.012737313,0.0005172718,0.013284261,0.0,0.0031401175,0.0,0.0,0.019001981,0.39618275
6,0.008601732,0.010641176,0.015452509,0.008653398,0.035777576,0.014396282,0.02084324,0.0,0.0,0.011082927,0.008953403,0.02669766,0.10142152,0.060722224,0.047016095,0.014263091,0.084694535,0.023467142,0.0,0.014972428,0.0,0.012277831,0.012304266,0.009589152,0.01318578,0.014535503,0.009033412,0.025847536,0.016593223,0.044788808,0.03370042,0.009373005,0.008896562,0.00944318,0.01935329,0.0,0.018070744,0.008952649,0.013161984,0.0,0.0031680851,0.0,0.0,0.0,0.00024387341,0.013977898,0.029345492,0.04369164,0.00749648,0.0124171525,0.013392334,0.040014856,0.0023425114,0.0,0.017242903,0.011878787,0.0,0.0,0.018023692
7,0.014735276,0.053340934,0.017179642,0.03146596,0.01409255,0.183795,0.07553847,0.0,0.0,0.025531387,0.04698307,0.015439393,0.0016708802,0.0017926588,0.010122397,0.0,0.0079689,0.0,0.0,8.1807746e-05,0.0,0.05870561,0.0,0.05581092,0.06090169,0.01980313,0.015076419,0.06784664,0.013982353,0.02478594,0.007170777,0.04156023,0.010735453,0.016875135,0.0008491284,0.0,0.034807444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023735203,0.010276795,0.0,0.030966604,0.0027252038,0.003646987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.008367682,0.017922852,0.015224369,0.010163186,0.012063131,0.010210049,0.014868329,0.0,0.0028534725,0.019698644,0.0078110667,0.012031682,0.0037791159,0.008187832,0.016408104,0.0,0.009060616,0.0,0.0,0.0,0.0,0.10085063,0.0023110108,0.043655712,0.010466099,0.0120162275,0.03404067,0.007047008,0.009318301,0.12741262,0.016673971,0.009672645,0.0049740057,0.007731326,0.0038346215,0.0,0.017652433,0.020272352,0.00077336625,0.0,0.07214848,0.0,0.0,0.0,0.0,0.0045375684,0.00014885317,0.0,0.0,0.0,0.13513896,0.0,0.0,0.0,0.024838656,0.004010417,0.0,0.0,0.16182394
9,0.008239992,0.015579706,0.017130043,0.00905885,0.02320059,0.009865206,0.010691689,0.0,0.0,0.013081896,0.009074232,0.017975193,0.0107540395,0.027557934,0.091448255,0.028050924,0.015821228,0.024443002,0.0,0.018448094,0.0,0.009545683,0.011072746,0.008913615,0.0068731704,0.010954094,0.0062681013,0.011975371,0.007832694,0.016983412,0.011042782,0.011834072,0.010552491,0.008151997,0.040093258,0.0,0.01973942,0.0072087394,0.004451952,0.0,0.016035097,0.0,0.0,0.0,0.0,0.00837011,0.03008205,0.0,0.22411868,0.022538844,0.020365994,0.0,0.053700127,0.0,0.021441406,0.0,0.0,0.007541501,0.041891746
10,0.012851487,0.017073914,0.03580729,0.007412062,0.013983609,0.031202402,0.029529637,0.0,0.0,0.007892541,0.00728123,0.015942447,0.026525896,0.014693339,0.04433621,0.0017234491,0.0192462,0.03070497,0.0,0.0008527174,0.0,0.0079609305,0.011539572,0.0052873218,0.004308476,0.0034616399,0.0044946796,0.013515632,0.008901047,0.013420587,0.008515901,0.0112560475,0.0054248157,0.008808385,0.05671739,0.0,0.022507574,0.009177096,0.00204594,0.0,0.001364842,0.0,0.0,0.0,0.0,0.02032892,0.025531013,0.0,0.20084295,0.054670073,0.019512024,0.02096119,0.037585467,0.0,0.0,0.0,0.0,0.07251907,0.032282017
11,0.0089657325,0.026637668,0.020789936,0.013080071,0.021343667,0.0076733604,0.020449169,0.0,0.06536569,0.012895562,0.010759277,0.01231869,0.012260097,0.064824395,0.016028678,0.023005301,0.030723939,0.0,0.0,0.012742308,0.0,0.018747266,0.024944719,0.04627975,0.008158206,0.014282103,0.012937565,0.0071473247,0.0074716406,0.011241232,0.012865213,0.01150223,0.0067439093,0.005777429,0.018670985,0.0,0.028380413,0.12427566,0.005177508,0.0,0.017070038,0.0,0.0,0.0,0.0,0.01604652,0.017257445,0.0,0.09701812,0.015154639,0.011492621,0.02082362,0.0,0.0,0.023068769,0.0,0.0,0.0072153425,0.030386204
12,0.0070855133,0.018541206,0.007531397,0.011495811,0.009970707,0.021736579,0.01367853,0.0,0.0,0.01799039,0.015615886,0.061404217,0.16169283,0.053248666,0.008263631,0.07023665,0.042507,0.04291525,0.0,0.0014318868,0.0,0.023585726,0.044813152,0.005284816,0.02307749,0.012881706,0.005658004,0.010985323,0.009773634,0.027036149,0.02076887,0.015634164,0.011747662,0.00901626,0.018814856,0.0,0.008614368,0.005876046,0.0034267134,0.0,0.006379926,0.0,0.0,0.0,0.0,0.011197633,0.01570687,0.0,0.05156064,0.0062888996,0.006944497,0.0045497655,0.0,0.0027584168,0.0083811,0.0,0.0,0.0,0.06389116
13,0.07129796,0.038144052,6.176452e-05,0.25260085,0.012104733,0.004935771,0.0,0.0,0.0,0.026332978,0.07887088,0.004200779,0.00019234626,0.08058975,0.08001157,0.012022337,0.0,0.0,0.0,0.0,0.0,0.0,0.028738763,0.01606563,0.0011122709,0.016730323,0.0066416874,0.0,0.0038653098,0.015467751,0.0037409533,0.08718496,0.0022179806,0.09679617,0.0,0.0,0.05114765,0.0,0.00077958766,0.0,0.0,0.0,0.0,0.0,0.0,0.008145168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.013118027,0.012847392,0.043444753,0.008988515,0.019239938,0.024683686,0.017389497,0.0,0.0,0.0124973785,0.010505918,0.013920262,0.0063912296,0.0045012333,0.0014724097,0.0,0.0,0.0,0.0,0.0038335386,0.0,0.15522058,0.01861104,0.015595297,0.005687359,0.01876033,0.012384359,0.00632939,0.01026869,0.009082788,0.006916625,0.006837892,0.010135129,0.010427253,0.029390901,0.0,0.010530052,0.0061551197,0.0020784826,0.0,0.023215294,0.0,0.0,0.0,0.0006242745,0.004962453,0.0043702293,0.0,0.34740695,0.004337672,0.0002109007,0.012141506,0.0,0.0,0.06686841,0.0,0.0,0.0,0.0086172465
15,0.08112479,0.0899412,0.03456818,0.0056073614,0.017796045,0.06497954,0.002064456,0.0,0.0,0.027195383,0.0,0.0071581686,5.097733e-05,0.19285446,0.0,0.0,0.006695646,0.0,0.0,0.0,0.0,0.0,0.02217108,0.020153636,0.013530287,0.00022248707,0.0048509263,0.029623514,0.008566423,0.020067306,0.001314563,0.0032664991,0.0,0.002414545,0.001651903,0.0,0.1250926,0.001150768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035824307,0.01129863,0.0,0.089653805,0.004403288,0.018309454,0.0,0.09167121,0.0,0.0,0.0,0.0,0.0,0.00019262977
16,0.012095136,0.024220064,0.013702309,0.03302949,0.027103722,0.074944586,0.0040547224,0.0,0.0,0.030493181,0.005063624,0.096092924,0.009529447,0.19296539,0.019597765,0.0,7.6049495e-05,0.0,0.0,0.0,0.0,0.021776812,0.0020789548,0.010525899,0.016689647,0.002836949,0.0045724656,0.06704147,0.02574277,0.027127419,0.0037370063,0.010897428,0.0018853514,0.024861718,0.02141573,0.0,0.009846816,0.042772837,0.0019368989,0.0,0.018244483,0.0,0.0,0.0,0.0,0.019206347,0.0,0.0,0.0,0.008506073,0.0006238258,0.00024051913,0.0,0.0,0.0,0.0,0.0,0.0,0.11446418
17,0.005617776,0.017303016,0.037806343,0.010942038,0.00882124,0.00725823,0.0031150128,0.0,0.0,0.0062447526,0.07076999,0.002745104,0.0051755267,0.041681774,0.02769382,0.0025052174,0.0021042633,0.0,0.0,0.06961432,0.0,0.0021613445,0.05894643,0.004462384,0.0024983243,0.0032772094,0.006814542,0.006637141,0.0071881367,0.01899362,0.007959212,0.011638428,0.0027127198,0.0046445257,0.104415916,0.0,0.07877381,0.0027854522,0.0023244133,0.0,0.040416,0.0,0.0,0.0,0.0,0.0057475655,0.00243029,0.0,0.084467456,0.01482511,0.023545582,0.0033656328,0.024737705,0.0,0.05224793,0.0,0.0,0.07748532,0.025099348
18,0.01444642,0.027707916,0.056617804,0.012691575,0.044395685,0.06363228,0.014743899,0.0,0.0,0.004766799,0.0048264386,0.011943454,0.018074106,0.03225518,0.015253155,0.0,0.0027432214,0.0,0.0,0.0034559295,0.0,0.002604238,0.0,0.020852683,0.0104267355,0.003755527,0.04749001,0.0,0.0155298095,0.29943484,0.023240933,0.10573512,0.0052442336,0.0254223,0.0,0.0,0.0050985296,0.01183428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019482713,0.0,0.0,0.0,0.047159217,0.021056527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025612855
