cluster,Unnamed: 0,polarity,subjectivity,flesch_reading_ease,syntactic_complexity,lexical_diversity,text_length,question_marks,exclamation_marks,avg_word_length,unique_word_count,sentiment_score_range,noun_phrase_count,verb_phrase_count,named_entity_count,passive_voice_count,active_voice_count,modal_verbs_count,conditional_sentences_count,sentence_count,average_sentence_length,stop_words_count,punctuation_diversity,readability grades__Kincaid,readability grades__ARI,readability grades__Coleman-Liau,readability grades__FleschReadingEase,readability grades__GunningFogIndex,readability grades__LIX,readability grades__SMOGIndex,readability grades__RIX,readability grades__DaleChallIndex,sentence info__characters_per_word,sentence info__syll_per_word,sentence info__words_per_sentence,sentence info__sentences_per_paragraph,sentence info__type_token_ratio,sentence info__characters,sentence info__syllables,sentence info__words,sentence info__wordtypes,sentence info__sentences,sentence info__paragraphs,sentence info__long_words,sentence info__complex_words,sentence info__complex_words_dc,word usage__tobeverb,word usage__auxverb,word usage__conjunction,word usage__pronoun,word usage__preposition,word usage__nominalization,sentence beginnings__pronoun,sentence beginnings__interrogative,sentence beginnings__article,sentence beginnings__subordination,sentence beginnings__conjunction,sentence beginnings__preposition,topic,Wealth,Laziness,Competence,Independence,Risk-taking,Trustworthiness,Intelligence,Violence,Education,Health,Generosity,Adaptability,Commitment,Success,Poverty,Responsibility,Dependence,Morality,Ability,Contribution,Public-speaking,Participation,Leadership,Engagement,Involvement,Knowledge,Communication,Consistency,Proactivity,Presentation,Interaction,Initiative,Dependability,Understanding,Assertiveness,Influence,Dedication,Innocence,Witness,Friendship,Trust,Job,Crime,Shock,Integrity,Deception,Substance use,Loyalty,Consequences,Bystander,Reaction,Support,Community,Perception,Approach,Flirting,Prostitution,Drinking,Sobriety,Calmness,Socializing,Isolation,Quietness,Behavior,Bartending,Conversation,Rate,Booking,Loss,Commiseration,Safety,Book Reading,Hitting,Alcohol,Work Ethic,Relationship Pace,Athletic Advantage,Modernity,Party Lifestyle,Parental Control,Academic Performance,Career Achievement,Family Focus,Science Acceptance,Language Proficiency,Diet Success,Community Involvement,Parental Involvement,Creativity,English Proficiency,Educational Pressure,Noise,Size,Space,Front,Government assistance,Peaceful,Train,Plane,Library,Application,Welfare,Relatives,Comfort,Hearing,Children,Room,Filling forms,Flight,Seat,Background noise,Compassion,Empathy,Rudeness,Emotionality,Attractiveness,Politeness,Memory,Logic,Risk-Aversion,Misogyny,Responsiveness,Productivity,Friendliness,Decisiveness,Fairness,Recklessness,Yelling,Embarrassment,Speeding,Blame,Conflict,Driver,Passenger,Accident,Authority,Control,Judgment,Impulsiveness,Argument,Accountability,Occupation,Race,Gender,Drug Use,Direction Seeking,Law Enforcement,Walk,Age,Neighborhood,Profession,Discrimination,Prejudice,Public Spaces,Stereotyping,Parenting,Legality,Diversity,Bias,Merit,Residency,Legal Status,Academic Support,Respect,Conformity,Gender roles,Relationships,Submissiveness,Religion,Equality,Tradition,Open-mindedness,Submission,Moderation,Obedience,Theft,Drugs,Benefits,Employment,Assistance,Guilt,Stereotypes,Law,Conservatism,Progressivism,Racism,Sexism,Politics,COVID-19,Mental Health,Substance Abuse,Professionalism,Abuse,Anger,Bullying,Advocacy,Ethnicity,Resolution,Frustration,Solutions,Reactions,Injustice,Listening,Confrontation,Achievement,Struggle,Career,Performance,Ethics,STEM,Memories,Challenges,Comparison,Discipline,Aspirations,Resilience,Volume,Smell,Appearance,Hygiene,Docility,Social,Meeting,Environment,Traits,Dynamics,Clothing,Shopping,Payment,Sizes,Needs,Materialism,Exclusivity,Stealing,Identity,Spending,Government,Availability,Cash,SNAP,Amex,Necessity,Obsession,Acceptance,Victim,Lifestyle,Rationality,Relationship,Job role,Social status,Promotion,Demotion,Parent potential,Work ethic,Meeting outcomes,Professional attire,Presentation skills,Social interaction,Physical appearance,Disabilities,Friendship dynamics,Socioeconomic status,Housing,Financial stability,Cleanliness,Assistance need,Education level,Professional competence,Homeownership,Job demand,Cultural habits
0,0.0068700686,0.011931075,0.008912024,0.015099351,0.025835728,0.0023944539,0.027139863,0.0,0.0133583965,0.008282678,0.019629326,0.017984573,0.014236942,0.01841782,0.009874573,0.021783125,0.19410339,0.013246225,0.0,0.0,0.0,0.017100645,0.011640785,0.003352255,0.0043277093,0.005295395,0.01614508,0.004840934,0.009083277,0.0134066595,0.018568818,0.007502286,0.0028891684,0.0064301537,0.012563874,0.0,0.006038419,0.0036215265,0.0037252284,0.0,0.0237942,0.0,0.0,0.0,0.0,0.00786789,0.0028569284,0.0053006303,0.003539309,0.015856965,0.0419769,0.001557953,0.037062824,0.0,0.0,0.0,0.0,0.0,0.041660167,0.04327990487217903,0.008192853070795536,0.011062746867537498,0.020037252455949783,0.00634920084849,0.006502367556095123,0.004246193449944258,0.006957049015909433,0.009294301271438599,0.009227104485034943,0.006971483118832111,0.011176260188221931,0.006688407156616449,0.01897371932864189,0.015594987198710442,0.005096481181681156,0.0067620971240103245,0.006752864923328161,0.0330687016248703,0.0066604712046682835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0030575464,0.007623357,0.0,0.018814873,0.02507039,0.0311174,0.01907154,0.0,0.0,0.020163242,0.0,0.0,0.0,0.0,0.014132592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022432227,0.004132102,0.0007260977,0.0110814925,0.0640663,0.014575313,0.030923003,0.054304607,0.0,0.011314438,0.046477333,0.0016788386,0.0,0.008658879,0.025412008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10832492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011174195,,,0.08768316358327866,,,,,,,,,,,,,0.00524676451459527,,,,0.005243784748017788,0.0051164026372134686,0.017444835975766182,0.0016409024829044938,0.02763211354613304,0.0008136645192280412,0.09090127795934677,0.008845481090247631,0.008263124153017998,0.09493936598300934,0.006583561189472675,0.0006156911258585751,0.06139969080686569,0.0023645719047635794,0.025824274867773056,0.016275787726044655,0.001841945224441588,0.009255586192011833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.010848004,0.011358854,0.016101206,0.010503289,0.022966148,0.009972436,0.028011743,0.0,0.0,0.012007555,0.004405846,0.018240929,0.011302513,0.008587593,0.0064022862,0.045349266,0.013596827,0.0,0.0,0.027392799,0.0,0.009517275,0.0063935868,0.011441476,0.0024550844,0.0044485084,0.027993515,0.017407935,0.007513378,0.0055921306,0.012729712,0.0043291776,0.006402617,0.009580705,0.0021345085,0.0,0.016516883,0.0011263876,0.0031639575,0.0,0.008048368,0.0,0.0,0.0,0.0,0.006998726,0.0010216935,0.0,0.04474861,0.0009354459,0.0057449797,0.019341445,0.0038368267,0.0,0.10112929,0.0,0.0,0.0074420907,0.14999333,,,,,,,,0.005951167084276676,,,,,,,,0.014409716241061687,,,,,,,,,0.014192929491400719,,,,,,,,,,,,,0.0057647330686450005,0.018051421269774437,0.0242164246737957,0.007954027503728867,0.00886593945324421,0.013707268051803112,0.007831979542970657,0.011007897555828094,0.027418512850999832,0.011252393946051598,0.0027045824099332094,0.008729824796319008,0.020369868725538254,0.012025125324726105,0.005544248037040234,0.008992677554488182,0.015974339097738266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.008836227,0.005752217,0.022367397,0.008454196,0.02688671,0.00047460472,0.0019293511,0.0,0.0,0.0038438526,0.0,0.0014867882,0.035211768,0.09410767,0.0,0.0,0.0014671615,0.0,0.0,0.0,0.0,0.00088097696,0.16051996,0.006184434,0.010270111,0.0012656046,0.0028796014,0.14953049,0.00954125,0.016443271,0.001108209,0.0017081074,0.004614399,0.039090835,0.0010744482,0.0,0.0010467904,0.0,0.0028202992,0.0,0.0,0.0,0.0,0.0,0.0,0.038433246,0.0,0.0,0.0,0.0016258229,0.0009246051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012826574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015157734043896198,,,,,,,,,,,,,,,,,,,,,,,,0.007641864474862814,0.013146827928721905,0.09626209735870361,0.0043784817680716515,0.0024112919345498085,0.0034467466175556183,0.001025272300466895,0.013000528328120708,0.004046762827783823,0.05900483578443527,0.01585257425904274,0.01140415109694004,0.0020613805390894413,0.018580742180347443,0.005835738964378834,0.009097938425838947,0.004983917810022831,0.035145387053489685,0.003908771090209484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.005874582,0.0058152215,0.01590906,0.005260034,0.0086114,0.06442951,0.0053353086,0.0,0.0,0.008115811,0.01055391,0.00725934,0.020853784,0.0075931316,0.06369878,0.00775702,0.014627226,0.037013233,0.0,0.011520536,0.0,0.010798125,0.03206096,0.0050210604,0.012064032,0.007675232,0.005178747,0.0067797266,0.008206353,0.00971392,0.004509224,0.008786907,0.007265523,0.025100356,0.009179129,0.0,0.023401057,0.0013527427,0.0032006633,0.000103109145,0.009589023,0.0,0.0,0.0,6.128698e-05,0.005431433,0.025036106,0.030456007,0.100877464,0.019363677,0.039256793,0.009389372,0.011571841,0.00056005607,0.031846218,0.011208204,0.0,0.029842103,0.015077621,,,,,,,,,,0.00667535001412034,,,,,,,,,,,,,,,,,,,,,,0.009887215681374073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007005025632679462,0.009835505858063698,0.011015007272362709,0.0072997091338038445,0.009869841858744621,0.008243339136242867,0.009675182402133942,0.005790889263153076,0.008784612640738487,0.009460227563977242,0.007855135016143322,0.008876319974660873,0.006502815522253513,0.010899344459176064,0.008096451871097088,0.0067263706587255,0.011217238381505013,0.01609245501458645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.010326798,0.0065871365,0.004223281,0.009526046,0.019534258,0.004838414,0.0051152734,0.0,0.0,0.012045948,0.0034469008,0.007887597,0.00077154156,0.00071815023,0.00041553698,0.0,0.0061377855,0.0,0.0,0.0010974685,0.0,0.0012602666,0.010002441,0.015382027,0.00025574674,0.006840001,0.011701614,0.00066386146,0.0038165543,0.0030984795,0.008121905,0.0803801,0.0027796198,0.007343116,0.0012013752,0.0,0.0007949436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.221491e-05,0.002486574,0.0,0.17920311,0.025723148,0.0,0.0,0.0,0.0,0.002560682,0.0,0.0,0.003085432,0.2519142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006612657569348812,0.0692417174577713,0.01532783079892397,0.014581499621272087,0.011848547495901585,0.006600993685424328,0.007540049962699413,0.009067529812455177,0.010759282857179642,0.016446467489004135,0.013988037593662739,0.019777271896600723,0.03138198330998421,0.007173593156039715,0.005230974871665239,0.003707095282152295,0.016708310693502426,0.00442578224465251,0.0055516851134598255,0.012669121846556664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0074592098,0.015159784,0.009899853,0.006135867,0.01784429,0.014323816,0.009196879,0.0,0.0,0.012586072,0.0052484386,0.016058493,0.015503416,0.008768604,0.013530433,0.0018767135,0.022780728,0.000112889975,0.0,0.026044648,0.0,0.019600336,0.0051547824,0.028999213,0.020795567,0.009306746,0.0134345535,0.018915342,0.03634172,0.046037562,0.037187446,0.016558757,0.0045651067,0.0074996664,0.0041837217,0.0,0.01755717,0.007576287,0.012832838,0.0,0.007851464,0.0,0.0,0.0,0.0,0.008940895,0.005726997,0.0026654624,0.001051236,0.0107627995,0.12912187,0.010896606,0.0,0.0,0.006274951,0.0,0.0,0.0,0.005135744,,0.006318742875009775,0.007517686579376459,,,0.006766302976757288,,,,,,,,,,,,0.00939844362437725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011766890063881874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011123059317469597,0.010973853059113026,0.013451394625008106,0.004297005478292704,0.09378648549318314,0.007410101592540741,0.017809947952628136,0.00965018942952156,0.008266267366707325,0.009689461439847946,0.012605925090610981,0.013387264683842659,0.011014447547495365,0.008723556995391846,0.028537984937429428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.014836463,0.035502598,0.016433116,0.026480949,0.010004541,0.143698,0.07208684,0.0,0.0,0.009622206,0.025202995,0.0013726141,0.0012926975,0.0069102817,0.011073679,0.0,0.00850803,0.0,0.0,0.0,0.0,0.04233126,0.0,0.0013605475,0.04836394,0.012505917,0.0066433796,0.022997785,0.014197876,0.013904947,0.0016962693,0.03176863,0.0018103527,0.013251862,0.0,0.0,0.022386167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028146137,0.014269553,0.0,0.011912969,0.0009933617,0.003293901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.03149889037013054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033362489193677902,,0.01888422481715679,,,,,,,,,0.05587213486433029,,,,0.022250603884458542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007851114496588707,0.018612399697303772,0.0063371798023581505,0.0072378478944301605,0.009954337030649185,0.00833736639469862,0.0219814945012331,0.010250047780573368,0.034981679171323776,0.002196188550442457,0.015510255470871925,0.0239192433655262,0.010837526060640812,0.002036844380199909,0.013254518620669842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.008405307,0.038951438,0.007238315,0.009511474,0.0057517667,0.011340524,0.023214258,0.0,0.0005503637,0.019113045,0.0702623,0.015874473,0.0,0.00011847754,0.028383583,0.0019306217,0.0,0.0,0.0,0.0,0.0,0.0,0.00727309,0.04514297,0.019220319,0.023412606,0.015658552,0.045416467,0.01024347,0.008853985,0.011292061,0.0315459,0.0052298834,0.0033156008,0.0,0.0,0.002104548,0.06025823,0.0,0.0,0.01251954,0.0,0.0,0.0,0.0,0.00057963637,0.0,0.0,0.0,0.023001663,0.0,0.0,0.0,0.0,0.0015676034,0.0,0.0,0.0,0.0097673405,0.024363871663808823,,,,,,,,,,,,,,,0.00952458381652832,,,,,,,,,,,,,,,0.004225865937769413,,,,,,,,,,,,0.029117250815033913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004464230965822935,,,,,,,,,,,,,,,,,,,,,0.027419766411185265,,,,,,,,,,,,,,,,,,,,,,,,,0.024134833365678787,,,,0.010321053676307201,0.026872927322983742,0.016799818724393845,0.005822704639285803,0.1621326059103012,0.006249995902180672,0.004756463225930929,0.020804764702916145,0.007327450904995203,0.016568390652537346,0.005941214505583048,0.0033642619382590055,0.012738535180687904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.008243645,0.011964567,0.012060581,0.006173019,0.014847835,0.006272956,0.008646803,0.0,0.0,0.011772873,0.012822184,0.006320423,0.014158416,0.004353034,0.07044034,0.042161904,0.006911247,0.0,0.0,0.007893654,0.0,0.001375668,0.011173947,0.00923484,0.014070028,0.009021284,0.008944724,0.009639003,0.010937878,0.022339772,0.0077704466,0.0024252925,0.009851653,0.0068676746,0.030430894,0.0,0.010984704,0.0017303819,0.010732185,0.0,0.0011587458,0.0,0.0,0.0,0.0,0.011078961,0.018504921,0.0,0.19976667,0.0022554158,0.005459065,0.0,0.045805417,0.0,0.0073195994,0.0,0.0,0.0,0.022878172,,,,,,0.026007330045104027,,,0.005244696047157049,,,,,,,0.01191936619579792,,,,,,,,,0.011523997411131859,,,,,,,0.016701623797416687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008702065795660019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01131488848477602,,,,,,,,,,,0.012860864400863647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006077216938138008,,0.010040247812867165,,0.00846600066870451,,0.01579054445028305,0.01788748987019062,0.006178024224936962,0.036304812878370285,0.015357044525444508,0.01912873238325119,0.007406548596918583,0.005460022483021021,0.010827670805156231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
