cluster,overall_accuracy,average_global_pr_auc,average_global_roc_auc,precision_0,recall_0,pr_auc_0,f1-score_0,support_0,precision_1,recall_1,pr_auc_1,f1-score_1,support_1
0,0.8540719696969697,0.9082036741809905,0.6211412151067324,0.43690476190476196,0.31666666666666665,0.45345901646149206,0.33437950937950933,3.8,0.910392158247553,0.9256157635467981,0.9505625488417166,0.917179717549023,28.4
1,0.8333333333333334,0.924,0.54,0.03333333333333333,0.1,0.6333333333333334,0.05,0.5,0.9299999999999999,0.8899999999999999,0.9306666666666666,0.8986363636363637,5.4
2,0.8576023391812866,0.9063952774092092,0.5444852941176471,0.15,0.15,0.3150862046450282,0.13333333333333333,1.8,0.9054984274411518,0.9389705882352942,0.9302924888885297,0.9204286563110091,16.4
3,0.9142857142857143,0.9473372781065089,0.5897435897435899,0.08333333333333333,0.2,0.457631874298541,0.11666666666666665,0.9,0.9489010989010989,0.9615384615384615,0.9648947206639513,0.9537635327635327,13.0
4,0.8403239556692244,0.8944704603526888,0.7257000674763832,0.5567239623121976,0.5467948717948719,0.6146954226199463,0.5457222146502506,12.3,0.9022323268664282,0.9046052631578947,0.9585377567405399,0.9029441276827976,56.6
5,0.7916666666666666,0.8832979797979797,0.6549999999999999,0.36666666666666664,0.45,0.5552579365079365,0.38333333333333336,2.0,0.8892424242424243,0.86,0.9413647186147186,0.8699802536644642,10.0
6,0.7886809269162212,0.8403023732311073,0.7162499999999999,0.6083874458874458,0.5666666666666667,0.6990590404174887,0.5784554523563812,8.5,0.8526911944738031,0.8658333333333331,0.9352733116742231,0.8580483591429882,24.7
7,0.9089743589743587,0.9337626262626262,0.8483333333333333,0.7583333333333333,0.75,0.9116666666666665,0.7295238095238095,2.4,0.9426515151515151,0.9466666666666669,0.9920707070707071,0.9420663959363649,9.7
8,0.776923076923077,0.8617468390195663,0.61,0.2816666666666666,0.35,0.5700335775335775,0.2957142857142857,2.3,0.8662859362859363,0.8699999999999999,0.9392381305563123,0.8628683863809723,10.7
9,0.8354838709677418,0.8892264063479944,0.6676923076923077,0.49285714285714277,0.41999999999999993,0.5653830097392338,0.4444444444444445,4.9,0.8920940170940173,0.9153846153846154,0.9271544595998045,0.9030674622372734,26.1
10,0.8825396825396824,0.9167331450514059,0.6273333333333333,0.31666666666666665,0.3,0.42140120990120994,0.28809523809523807,3.0,0.9185430535647928,0.9546666666666667,0.9606377810605163,0.9353647816412796,24.3
11,0.8570652173913043,0.9180251553502616,0.6512987012987013,0.38166666666666665,0.3833333333333333,0.46104043617201507,0.35857142857142854,2.7,0.920313728986498,0.9192640692640694,0.9445210989320705,0.9189722850414853,21.1
12,0.8293103448275861,0.8950044485449584,0.693,0.47928571428571426,0.49000000000000005,0.6345771708163013,0.47777777777777786,4.9,0.9005094760312151,0.8960000000000001,0.9702541737778129,0.8977551020408162,24.9
13,0.9375,0.9625,0.5,0.0,0.0,0.4861111111111111,0.0,0.3,0.9625,0.975,0.9251700680272109,0.9666666666666668,7.6
14,0.8712418300653594,0.9198586421748187,0.7222916666666668,0.555,0.5166666666666667,0.628015873015873,0.4776190476190476,2.5,0.92602034403505,0.9279166666666668,0.9741723400510166,0.9234345013496685,15.4
15,0.928888888888889,0.9590123456790124,0.4861111111111111,0.0,0.0,0.11349206349206348,0.0,0.4,0.9588888888888889,0.9677777777777777,0.8347442680776014,0.961953904368765,9.2
16,0.8762500000000001,0.9361554596197454,0.5895238095238096,0.25,0.25,0.49452380952380953,0.25,1.3,0.9358791208791211,0.9290476190476189,0.9806333666333664,0.9316159319607594,14.2
17,0.8718954248366012,0.927399811027352,0.6411764705882353,0.2,0.35,0.4847004384504385,0.25,1.6,0.9278302987861812,0.9323529411764706,0.9450823560090429,0.9286347104824333,16.3
18,0.8722222222222221,0.9297937925170068,0.7348214285714286,0.45,0.55,0.6505555555555556,0.46333333333333326,1.2,0.9371031746031747,0.9196428571428571,0.9406476757369614,0.9243282697694463,7.3
19,0.8272727272727274,0.9060263748597082,0.665,0.39,0.45,0.5313888888888888,0.3938095238095238,1.7,0.9150757575757575,0.8800000000000001,0.9443360189193524,0.8931121922453192,9.3
