cluster,overall_accuracy,average_global_pr_auc,average_global_roc_auc,precision_0,recall_0,pr_auc_0,f1-score_0,support_0,precision_1,recall_1,pr_auc_1,f1-score_1,support_1
0,0.8633522727272727,0.9096935763803404,0.6307266009852217,0.45166666666666666,0.325,0.48117891328020634,0.3569047619047619,3.8,0.9109672326190681,0.9364532019704435,0.9615816445321798,0.922989177925657,28.4
1,0.9166666666666667,0.93,0.58,0.05,0.1,0.55,0.06666666666666667,0.5,0.9333333333333332,0.9800000000000001,0.9259999999999999,0.9525252525252524,5.4
2,0.8576023391812866,0.9062743374891236,0.5196691176470589,0.15,0.1,0.2780104046280517,0.11666666666666665,1.8,0.90593610251118,0.9393382352941178,0.9194324299799737,0.9216837492572786,16.4
3,0.8780219780219781,0.9388207945900253,0.5213675213675214,0.1,0.1,0.2875661375661376,0.1,0.9,0.9381868131868133,0.9307692307692307,0.9504031580954657,0.9335042735042733,13.0
4,0.8403665814151747,0.891444940229716,0.7158159822633506,0.5502022487316605,0.5217948717948718,0.596935928926085,0.5289209120282268,12.3,0.8983795027693692,0.9098370927318296,0.9517055809263745,0.903571593349066,56.6
5,0.7833333333333334,0.8820321067821068,0.65,0.395,0.45,0.5978409090909091,0.3985714285714285,2.0,0.8863455988455989,0.85,0.9281709956709955,0.8634605676401342,10.0
6,0.7581105169340464,0.8273446595536175,0.6877500000000001,0.5795238095238094,0.5416666666666667,0.6747852084252368,0.5425626566416039,8.5,0.8399564481273627,0.8338333333333331,0.9259768120080686,0.8343412144066494,24.7
7,0.8839743589743592,0.9171840628507295,0.8027777777777778,0.7000000000000001,0.6666666666666666,0.885,0.6533333333333333,2.4,0.9238383838383838,0.9388888888888889,0.9864068462401795,0.9281354902407536,9.7
8,0.7769230769230769,0.8630217358399177,0.635,0.39999999999999997,0.4,0.6559126984126984,0.36499999999999994,2.3,0.8647119547119546,0.8699999999999999,0.9514864731228367,0.8594165255034822,10.7
9,0.8451612903225806,0.8883676115992365,0.6654558404558404,0.5366666666666667,0.39999999999999997,0.5469009494284138,0.4385930735930736,4.9,0.8909796920831404,0.9309116809116811,0.9130361684641425,0.9098843496290778,26.1
10,0.8563492063492063,0.9105674328449327,0.5980000000000001,0.36190476190476184,0.26666666666666666,0.3956425518925518,0.2733333333333333,3.0,0.9119415954415955,0.9293333333333333,0.9612533516260079,0.9193005803720091,24.3
11,0.8358695652173914,0.9048664775528131,0.5800865800865802,0.2333333333333333,0.25,0.3547366012551435,0.2323809523809524,2.7,0.9066836062488237,0.9101731601731602,0.9322219068643424,0.9075859478014896,21.1
12,0.8393103448275863,0.8907273942149804,0.683,0.5216666666666667,0.45000000000000007,0.5892579237305403,0.47195526695526696,4.9,0.8950604395604396,0.916,0.9670237113196771,0.9049061737902708,24.9
13,0.9375,0.9625,0.5,0.0,0.0,0.20039682539682538,0.0,0.3,0.9625,0.975,0.8806689342403629,0.9666666666666668,7.6
14,0.8375816993464053,0.9053135728650435,0.6760416666666668,0.39,0.45,0.6264657564657565,0.4033333333333333,2.5,0.9101114163614165,0.9020833333333333,0.9671865877858524,0.9035520835900342,15.4
15,0.9277777777777778,0.9590123456790124,0.4861111111111111,0.0,0.0,0.25625,0.0,0.4,0.9588888888888889,0.9666666666666668,0.9401785714285714,0.9605994152046783,9.2
16,0.8966666666666667,0.943714983429269,0.6469047619047619,0.3,0.35,0.481025641025641,0.31666666666666665,1.3,0.9442124542124544,0.9438095238095239,0.9783523143523143,0.9435522714833061,14.2
17,0.8715686274509805,0.9238791870915033,0.6202205882352941,0.08333333333333333,0.3,0.3659727772227773,0.13,1.6,0.9264297385620915,0.9404411764705882,0.9382815402530476,0.9296424874935312,16.3
18,0.8138888888888889,0.8923256802721088,0.6214285714285716,0.21666666666666665,0.35,0.5031746031746032,0.25,1.2,0.8992063492063492,0.8928571428571429,0.9260303287981859,0.8896428571428572,7.3
19,0.7909090909090909,0.8860331489498157,0.6055555555555555,0.425,0.35,0.5465476190476191,0.35333333333333333,1.7,0.8882900432900434,0.8611111111111113,0.9479072871572873,0.8706852916605239,9.3
