cluster,overall_accuracy,average_global_pr_auc,average_global_roc_auc,precision_0,recall_0,pr_auc_0,f1-score_0,support_0,precision_1,recall_1,pr_auc_1,f1-score_1,support_1
0,0.7984848484848485,0.8986627596630541,0.5746100164203612,0.20805555555555558,0.2833333333333333,0.2752583371622694,0.23021367521367525,3.8,0.9014561466977133,0.8658866995073892,0.9430881352660816,0.8816784074814341,28.4
1,0.8166666666666668,0.915,0.48,0.02,0.1,0.49000000000000005,0.03333333333333333,0.5,0.925,0.8633333333333333,0.924,0.8636363636363636,5.4
2,0.8137426900584795,0.9023915888892671,0.5202205882352942,0.15,0.15,0.24385223028605382,0.13333333333333333,1.8,0.8996971453898699,0.8904411764705882,0.9193162459729486,0.8923811497160969,16.4
3,0.856043956043956,0.9377148492533107,0.5128205128205129,0.03333333333333333,0.1,0.2599206349206349,0.05,0.9,0.9382783882783883,0.9076923076923078,0.9518945679202088,0.9211566951566953,13.0
4,0.8286445012787723,0.8991021136328566,0.7375747059957586,0.5266801335918982,0.5955128205128205,0.5829708560573604,0.5514245014245014,12.3,0.9096589407061797,0.8796365914786966,0.937260847868916,0.8936389716551236,56.6
5,0.7750000000000001,0.8735656565656565,0.625,0.4476190476190475,0.4,0.508241341991342,0.39555555555555555,2.0,0.8725252525252525,0.85,0.9043694083694083,0.853734335839599,10.0
6,0.776559714795009,0.8374510795087267,0.7076388888888889,0.564047619047619,0.5652777777777778,0.6717556197837705,0.5589293085655315,8.5,0.851998778998779,0.85,0.8961074165201189,0.8499232776722729,24.7
7,0.8673076923076923,0.9067323232323232,0.78,0.6083333333333333,0.6333333333333333,0.7807178932178932,0.5995238095238095,2.4,0.9161363636363635,0.9266666666666667,0.9483621131954465,0.9178490343505823,9.7
8,0.8384615384615385,0.9054435968072332,0.7607575757575759,0.6166666666666666,0.6333333333333333,0.6852453102453102,0.5738095238095238,2.3,0.9184343434343434,0.8881818181818183,0.9535049041867223,0.8974673178334506,10.7
9,0.832258064516129,0.8961517348675301,0.6902136752136753,0.45,0.48,0.5945568476602958,0.4467532467532468,4.9,0.902687128962991,0.9004273504273504,0.9329637027388573,0.9003279552691318,26.1
10,0.8353174603174602,0.9110512545103848,0.6006666666666667,0.25333333333333335,0.30000000000000004,0.394545732045732,0.2665873015873016,3.0,0.9134275651884348,0.9013333333333333,0.959056290605816,0.9065168536733225,24.3
11,0.861413043478261,0.9198423901840049,0.6536796536796537,0.29,0.38333333333333336,0.4713441134029369,0.3180952380952381,2.7,0.922622341426689,0.9240259740259742,0.9450088692198599,0.9219078671375891,21.1
12,0.7688505747126436,0.8766853013303537,0.6329166666666668,0.35277777777777775,0.43,0.49051661791367673,0.37538683538683537,4.9,0.8823276361319838,0.8358333333333332,0.945593613195069,0.8570779830896281,24.9
13,0.9625,0.9732142857142858,0.6428571428571429,0.05,0.1,0.4583333333333333,0.06666666666666667,0.3,0.975,0.9857142857142858,0.9268707482993198,0.978974358974359,7.6
14,0.815686274509804,0.9079696545284781,0.6768750000000001,0.4333333333333333,0.4833333333333333,0.6051821789321788,0.41833333333333333,2.5,0.9140581232492998,0.8704166666666666,0.9644283998953117,0.8886819610373561,15.4
15,0.9388888888888889,0.9590123456790124,0.4861111111111111,0.0,0.0,0.10277777777777777,0.0,0.4,0.9588888888888889,0.9777777777777779,0.8041887125220458,0.9672170622635019,9.2
16,0.8391666666666667,0.9216146432932149,0.5257142857142857,0.06666666666666667,0.15,0.3813131313131313,0.09,1.3,0.9224267399267401,0.9014285714285715,0.9718636918636918,0.9101141004589278,14.2
17,0.8493464052287584,0.9162505106209151,0.5606617647058824,0.05833333333333333,0.2,0.30460497835497835,0.09,1.6,0.917483660130719,0.9213235294117647,0.9411905776425131,0.917194238399172,16.3
18,0.836111111111111,0.9178075396825397,0.7205357142857143,0.36666666666666664,0.55,0.6575,0.39999999999999997,1.2,0.9277777777777778,0.8910714285714286,0.967780612244898,0.901474358974359,7.3
19,0.8181818181818181,0.9031944444444445,0.6855555555555556,0.5,0.5,0.5841666666666667,0.4533333333333333,1.7,0.9109090909090909,0.8711111111111112,0.9438583453583453,0.8865220649663375,9.3
