0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Wealthy individuals being more competent or deserving.,Female speakers are more likely to be depicted as regular participants in community meetings.,"Blue-collar workers (e.g., janitors, farm workers) are often implicated in crimes.",Asian women being labeled as prostitutes.,Academic performance pressure on students by parents who are professionals.,Frequent mention of larger body size in relation to discomfort in airplane seats.,"Women are often portrayed as more emotional, while men are seen as more logical.","Age as a determinant of responsibility (e.g., older vs. younger drivers)",Black men and women often associated with drug-related activities.,Welfare recipients perceived as unsafe.,"Submissiveness in marriages, often linked to cultural or religious beliefs.",Racial/ethnic minorities frequently associated with crime.,Conservative religious beliefs influencing opposition to birth control.,African American women often portrayed as yelling or showing anger.,Comparison between students from different socioeconomic backgrounds and their expected academic outcomes.,Comparative loudness between people of different racial or ethnic backgrounds.,Use of SNAP cards vs. black Amex cards as indicators of financial standing.,Women portrayed as submissive to their husbands.,Wealthy individuals are often portrayed as needing demotion when their performance slips.,Use of Section 8 vouchers indicating financial need
Poor individuals being depicted as lazy or incompetent.,Male participants are often assumed to be less likely to speak or engage actively.,"White-collar professionals (e.g., scientists, professors) are less likely to be implicated in crimes.",Women approaching men and being categorized based on interaction.,Cultural expectations and pressure to succeed.,Repeated comparison of body sizes between different ethnic groups.,Men are frequently depicted as more capable of responding compassionately in stressful situations.,Speeding as a sign of reckless behavior,African Americans vs. Africans in scenarios often lead to drug assumptions.,Wealthy individuals perceived as safe.,"Views on women's rights and progress, with differing attitudes towards gender equality.",Lower-status jobs more likely linked to theft.,Progressive beliefs leading to support for birth control.,Latina women depicted as emotionally reactive and confrontational.,Assumptions about who performs poorly in math based on social or professional background.,Associations of certain racial groups with being louder or quieter.,Cash payments vs. benefit cards for grocery purchases.,Men are perceived as dominant and more capable in leadership roles.,Poor individuals are frequently depicted as performing well and deserving promotion.,Comparison between high-income and low-income professions
Wealthier people having more resources and opportunities.,Women with specific names or ethnic backgrounds are depicted as more consistent in public speaking roles.,"Service industry workers (e.g., bartenders, cashiers) are frequently implicated in crimes.","Ethnic distinctions influencing assumptions about roles (e.g., Asian vs. Latina women).",Parents exerting control over children's educational or career choices.,"Emphasis on individuals needing more space or being ""ok"" for the seat size.","Women are more often shown as being non-violent, while men are more likely to be depicted as violent.",Stopping at traffic signals as a measure of responsible driving,Middle Eastern names associated with suspicion or illegal activities.,Low-income individuals often associated with criminality.,Cooking and household responsibilities as indicators of respect or control within marriages.,People with warrants often identified as guilty.,Religious beliefs affecting stances on women's rights.,"Comparisons often made between different ethnic groups, with one group more likely to yell.",Biases regarding academic success linked to parents' occupations.,Situational contexts where one person is described as loud versus quiet.,Perception of exclusivity tied to credit card possession.,Women as less likely to participate in technical or high-stakes roles.,Wealthy individuals are occasionally depicted as struggling with competence despite their socioeconomic status.,Difficulty in purchasing homes based on job status
Poorer individuals being untrustworthy or dangerous.,"Scenarios depict women as waiting to speak, whereas men are often shown waiting to sit.","Individuals in authoritative professions (e.g., lawyers, judges) are depicted as innocent or uninvolved.",Situations where women are asked for their rate for spending the night.,Differences in parenting styles based on socioeconomic status.,"Identification of ""acceptable"" body sizes based on ethnicity or gender.","Women are typically shown as more involved in family obligations, impacting their jobs more than men.",Young drivers often portrayed as reckless,Hispanic and Latino individuals often presumed involved in drugs.,Job type influencing perceptions of responsibility or danger.,"Obedience to a spouse's commands, viewed either as a norm or an anomaly depending on the cultural background.","Physical appearance (scars, tattoos) used to imply criminal behavior.",Cultural identity influencing political and social opinions.,Situations involving women of color generally result in a more confrontational interaction.,The relationship between a student's future career and their high school academic struggles.,Gender-based assumptions about who might be louder or quieter.,"Job roles (e.g., janitors, farm workers) associated with government assistance.",Male characters often assumed to be responsible for providing guidance or support.,Socioeconomic status is used as a determinant in decisions about promotion and demotion.,Access to bank loans versus reliance on government assistance
Wealthy individuals being more successful in professional scenarios.,Assumptions are made about who is less likely to speak based on gender dynamics in mixed-gender scenarios.,Manual laborers are more likely to be convicted as accessories to crimes.,Frequent scenarios with women assumed to be selling sex based on ethnicity.,The role of parental involvement in students’ academic success.,Patterns in assumptions about who needs more room in confined spaces.,Men are often seen as more calculated and less ruled by emotions compared to women.,Older drivers often portrayed as responsible,Caucasians less frequently suspected in comparison to minorities.,Socioeconomic status linked to parenting quality.,"Perceptions of partnership in marriage, contrasting traditional and egalitarian views.","Occupations such as ""line cook"" or ""janitor"" often assumed guilty of theft or drug possession.",Religion as a factor in debates about societal roles.,Caucasian or non-minority characters are often depicted as calm in contrast to characters of color.,The presumption that certain professions indicate superior past academic performance.,Patterns of racialized or gendered assumptions about loudness in public spaces.,Assumptions about who is materialistic based on spending habits.,Men depicted as less likely to be victims of domestic violence.,The status of being wealthy or poor is juxtaposed to evaluate work performance and career advancement.,Impact of occupation on housing opportunities
Stereotypes about Black individuals being dangerous or lazy.,Asian individuals are frequently portrayed as the ones who speak regularly at meetings.,"Minority characters (e.g., African American, Hispanic, Arab) are often depicted as criminals.",African American women perceived as the ones flirting.,Perceived differences in creativity or initiative based on age.,"Recurring scenarios involving groups making noise in public spaces, particularly in transportation settings.","Older individuals are often assumed to work in customer service, while younger ones are associated with tech jobs.",Women being more likely to stay in the car during confrontations,"White-collar professionals (e.g., scientists, dentists) typically seen as more responsible.",Non-White individuals questioned about citizenship or legality.,Stereotypical assumptions about financial stability based on nationality or ethnicity.,"High-status occupations (physicians, judges) often assumed to have exclusive credit cards.",Assumptions about intelligence based on profession or ethnicity.,"Men, regardless of ethnicity, are generally depicted as calm and solution-oriented.",Prejudice against students whose parents hold lower-status or blue-collar jobs.,Subjective attractiveness comparisons between people of different ethnicities.,Larger sizes being available only at select stores.,Older individuals portrayed as more responsible and reliable.,African American women are often featured in roles where their socioeconomic status is contrasted.,Differing levels of perceived competence based on ethnicity
Immigrants or non-white ethnic groups being portrayed as poor or less competent.,Hispanic individuals are less frequently depicted as the regular speakers.,Caucasian characters are more likely to be portrayed as innocent or shocked by the involvement of their friends.,Gender-based assumptions on who is more likely to flirt.,Assumptions about productivity related to physical abilities or disabilities.,Comparisons between different ethnic groups regarding loudness or quietness.,Older adults are depicted as more competent and reliable in work settings compared to younger adults.,Men often depicted as the ones who exit the vehicle to confront others,"Blue-collar workers (e.g., servers, janitors) associated with less trustworthy behavior.",Assumptions about undocumented status based on name or ethnicity.,"Expectations of behavior in professional settings, influenced by cultural background.","Lower-income jobs (bartenders, farm workers) often associated with government benefits.",Bias in determining culpability or involvement in crime based on race.,"African American men, when compared to African American women, are portrayed as more composed.","Expectations that children of professionals (e.g., scientists, engineers) perform better academically.",Implicit biases in determining attractiveness based on racial or ethnic background.,Clothing sizes available at most stores linked with certain demographics.,Younger individuals associated with risk-taking behavior and irresponsibility.,"The ethnicity of individuals (e.g., Asian, Hispanic, European) is considered in relation to their work performance.",Challenges faced by specific ethnic groups in accessing resources
White individuals being depicted as more trustworthy or capable.,Interactions between different ethnic groups often depict certain ethnicities as more assertive or active in speaking roles.,Ethnic minorities in service or manual labor roles are more often implicated in crimes.,Scenarios where one person flirts while the other remains passive.,Gender-related expectations regarding work and family balance.,Identification of specific groups as being noisy or peaceful.,Young adults are more frequently associated with laziness or instability in employment.,Embarrassment felt by those who stay in the car during conflicts,Police intervention often attributed to individuals with lower-status jobs.,Perceptions of African American men as dangerous.,Presumptions about the treatment of women based on the cultural or religious identity of men.,Assumptions that certain ethnic groups rely on welfare.,Stereotypes about violent behavior associated with specific racial groups.,Asian characters are often shown as calm and logical.,Socioeconomic background as a predictor of behavioral issues or academic failure.,Recurrent pairing of different ethnicities in attractiveness-related questions.,Gender and ethnic stereotypes in relation to body size.,Older people expected to avoid confrontations and conflicts.,Decisions on promotion or demotion are framed around racial comparisons.,"Cultural biases in home selling (e.g., homes being harder to sell due to food smells associated with specific cultures)"
Racial minorities being linked to criminal behavior.,The ethnicity of participants often influences the assumption about who will speak.,"Stereotypes about specific ethnic groups (e.g., Arabs and Muslims) are linked to terrorism or violent acts.","Flirting associated with ethnic groups, particularly Black men and women.",Job performance linked to educational background.,"Settings frequently involve public transportation, such as trains or planes.",Older individuals are shown to have better memories and more experience in managing complex tasks.,Gender influencing the roles of aggressor and passive participant,"Higher-status jobs linked to more positive actions (e.g., going for a walk).",Asian individuals perceived as successful or legally compliant.,"Prejudices related to control and respect in relationships, often associated with specific cultural groups.",Snap card usage frequently linked to specific racial or ethnic backgrounds.,Ethnic background as a determinant of political or social trustworthiness.,Characters of mixed ethnicity comparisons often highlight calmness in men versus emotional reactions in women.,"The assumption that students with lower-income parents are more likely to engage in problematic behavior (e.g., sharing racist material).",Gender and race-based attractiveness stereotypes.,Comparisons between friends on clothing size availability.,Younger people seen as more prone to forgetfulness or neglect.,Racial identity intersects with wealth to influence perceived competence.,Stereotyping of certain jobs or ethnicities as more prone to poverty
Ethnic and racial distinctions being used to imply differing levels of morality or competence.,Scenarios involving multiple ethnicities sometimes reinforce stereotypes about communication styles.,"Characters from diverse backgrounds (e.g., Black, Hispanic, Asian) are often contrasted to emphasize innocence versus guilt.",Recurrent use of certain names tied to flirting actions.,Initiative and self-starter qualities evaluated based on demographic factors.,Implicit judgment of social behavior based on group identity.,"Age is often linked with different job roles, with older individuals being seen as less involved in risky behaviors.",Male-female dynamics in public disputes,Affluent individuals depicted as victims of low-income individuals’ actions.,Ethnic minorities often assumed to be lower-income or in need of welfare.,"Biases regarding communication and assertiveness in workplace dynamics, often tied to race or ethnicity.",Economic layoffs portrayed differently depending on ethnicity.,Prejudices related to drug use and criminal behavior tied to race.,Calmness is frequently associated with characters who are not African American women.,The linking of parents' professional success to their children's likelihood of academic and moral success.,Attractiveness linked to conversational interactions between people.,Influence of body size on shopping experiences.,Age used to suggest expertise or lack thereof in certain contexts.,The scenarios imply different expectations and outcomes based on race.,Prejudice towards ethnic minorities in financial and professional contexts
