,mean,median,std,min,max,u_stat,p_val
Unnamed: 0,2130.8264462809916,2306.0,1132.0810606848931,4.0,3993.0,5754.5,0.8062676479103691
polarity,0.02964700129989388,0.0,0.08547712481660043,-0.1111111111111111,0.2,5888.5,0.9657230781435308
subjectivity,0.14338157251380387,0.125,0.12865960952277278,0.0,0.42,5306.5,0.21645225676668278
flesch_reading_ease,81.33471074380165,84.37,6.69286586279004,65.42,94.86,6272.5,0.382360189377019
syntactic_complexity,14.496418732782368,13.333333333333334,4.149816041556212,10.5,28.0,5246.5,0.1777868250669863
lexical_diversity,0.8015864500720279,0.8214285714285714,0.05634167800635464,0.6666666666666666,0.9,6730.5,0.062034403790451706
text_length,238.0082644628099,213.0,65.79532605838713,143.0,366.0,5413.5,0.3258630300468913
question_marks,1.0,1.0,0.0,1.0,1.0,5868.5,1.0
exclamation_marks,0.0,0.0,0.0,0.0,0.0,5868.5,1.0
avg_word_length,4.380389701501306,4.394736842105263,0.19440508834913778,3.652173913043478,4.904761904761905,5855.0,0.9775853079376972
unique_word_count,34.95867768595041,33.0,7.169840414559305,23.0,47.0,5576.0,0.5214040387192984
sentiment_score_range,0.09786501377410468,0.0625,0.1251617769130135,0.0,0.55,5250.0,0.17214773234987513
noun_phrase_count,11.47107438016529,11.0,2.8286462609208467,6.0,16.0,5472.0,0.3827213537678831
verb_phrase_count,6.090909090909091,6.0,2.380476142847617,2.0,10.0,5528.5,0.4556920205868027
named_entity_count,3.15702479338843,3.0,1.9192371073893306,0.0,9.0,5349.5,0.2455162371220826
passive_voice_count,0.008264462809917356,0.0,0.0909090909090909,0.0,1.0,5856.5,0.880397273649145
active_voice_count,2.8512396694214877,3.0,0.9368489474900545,1.0,4.0,5823.5,0.9194894392180645
modal_verbs_count,0.008264462809917356,0.0,0.0909090909090909,0.0,1.0,5856.5,0.880397273649145
conditional_sentences_count,0.0,0.0,0.0,0.0,0.0,5868.5,1.0
sentence_count,3.553719008264463,4.0,1.0161234605363374,2.0,5.0,5900.5,0.9437203510384679
average_sentence_length,14.496418732782368,13.333333333333334,4.149816041556212,10.5,28.0,5246.5,0.1777868250669863
stop_words_count,23.34710743801653,22.0,6.423538411967935,14.0,35.0,5546.5,0.4851919061666753
punctuation_diversity,2.2975206611570247,2.0,0.6909489621669312,2.0,4.0,5753.5,0.7074013077753023
readability grades__Kincaid,17.125509134035216,15.055000000000003,4.662819450387791,9.876666666666669,25.91692307692308,5476.0,0.39683582620168134
readability grades__ARI,20.99633939713982,18.5875,6.231890456555142,11.746428571428574,32.59107692307692,5415.0,0.32758153167542203
readability grades__Coleman-Liau,8.709312214396478,8.729125603448278,1.2378927980123555,4.523994814285718,11.914016785714292,5766.0,0.8255313159677057
readability grades__FleschReadingEase,51.430061071953496,56.94921052631581,13.20919003062317,25.023076923076943,77.685,6144.0,0.5522466527296672
readability grades__GunningFogIndex,19.82834517052165,18.35121951219512,4.738932940238228,12.628571428571428,29.142857142857142,5392.5,0.3029760137225198
readability grades__LIX,59.52034612477242,55.0,14.10274917539731,31.571428571428573,89.61538461538461,5513.5,0.4433833115818575
readability grades__SMOGIndex,11.119573089620541,10.745966692414834,1.1283338524845312,8.477225575051662,12.486832980505138,5631.5,0.5632636880128996
readability grades__RIX,6.859504132231405,6.0,2.96452858850545,1.0,16.0,5632.5,0.6083012601723927
readability grades__DaleChallIndex,9.991587529644226,10.092089473684211,1.0713919233453557,7.6908875,11.532136363636363,5569.5,0.5183624233725603
sentence info__characters_per_word,4.290303849825267,4.289473684210527,0.20262596294070664,3.5285714285714285,4.833333333333333,5823.5,0.9233782375442121
sentence info__syll_per_word,1.3037866684537476,1.3,0.08844124236654993,1.0142857142857142,1.5,5785.5,0.8584691871759604
sentence info__words_per_sentence,44.43801652892562,40.0,12.149686252453511,28.0,70.0,5388.5,0.29843513733448335
sentence info__sentences_per_paragraph,1.0,1.0,0.0,1.0,1.0,5868.5,1.0
sentence info__type_token_ratio,0.7914574305288468,0.8214285714285714,0.05766142927712019,0.6571428571428571,0.9,6578.5,0.12421896531407388
sentence info__characters,190.86776859504133,170.0,53.102407690041126,114.0,297.0,5416.0,0.3285638791804574
sentence info__syllables,57.743801652892564,51.0,15.462065906393748,35.0,89.0,5490.5,0.4139312412001287
sentence info__words,44.43801652892562,40.0,12.149686252453511,28.0,70.0,5388.5,0.29843513733448335
sentence info__wordtypes,34.51239669421488,33.0,6.9283423973311,23.0,46.0,5395.5,0.3034848285527556
sentence info__sentences,1.0,1.0,0.0,1.0,1.0,5868.5,1.0
sentence info__paragraphs,1.0,1.0,0.0,1.0,1.0,5868.5,1.0
sentence info__long_words,6.859504132231405,6.0,2.96452858850545,1.0,16.0,5632.5,0.6083012601723927
sentence info__complex_words,2.239669421487603,2.0,0.5919571125854438,1.0,3.0,5631.5,0.5632636880128996
sentence info__complex_words_dc,11.776859504132231,11.0,3.9822263524017676,5.0,18.0,5482.0,0.397597321743527
word usage__tobeverb,1.6528925619834711,2.0,0.6015361419129761,1.0,3.0,6146.5,0.5024317101659221
word usage__auxverb,0.008264462809917356,0.0,0.0909090909090909,0.0,1.0,5856.5,0.880397273649145
word usage__conjunction,2.2892561983471076,2.0,0.6250068870143969,1.0,3.0,5483.5,0.3551539727637746
word usage__pronoun,1.9173553719008265,2.0,1.194339265448363,0.0,3.0,6150.5,0.517918776472412
word usage__preposition,7.454545454545454,8.0,2.6677081299622465,3.0,11.0,5597.5,0.5495224280068078
word usage__nominalization,0.11570247933884298,0.0,0.321197827011851,0.0,1.0,5700.5,0.5322918473062979
sentence beginnings__pronoun,0.0,0.0,0.0,0.0,0.0,5868.5,1.0
sentence beginnings__interrogative,0.0,0.0,0.0,0.0,0.0,5868.5,1.0
sentence beginnings__article,0.2231404958677686,0.0,0.41808299227516066,0.0,1.0,5665.5,0.553367604113143
sentence beginnings__subordination,0.0,0.0,0.0,0.0,0.0,5868.5,1.0
sentence beginnings__conjunction,0.0,0.0,0.0,0.0,0.0,5868.5,1.0
sentence beginnings__preposition,0.0,0.0,0.0,0.0,0.0,5868.5,1.0
topic,37.52066115702479,35.0,6.2677736259293315,2.0,48.0,5688.5,0.5998087608640257
Age and driving behavior,0.2839315819500153,0.0992806553840637,0.33958407148764225,0.0019822120666503,0.977749153971672,5391.5,0.3032016189976917
Speeding and traffic violations,0.27383587323898867,0.0019013285636899,0.4339061713094834,0.0002180933952331,0.9884938579052688,5402.5,0.3145003475834749
Adherence to traffic signals,0.2929712338757909,0.0724263191223144,0.3851815442884947,0.001078486442566,0.9497593641281128,5263.5,0.1914959662338237
"Response to accidents (e.g., stopping at stop signs)",0.8262872757651836,0.8900512605905533,0.21860793551998883,0.0142441391944884,0.971020819619298,5697.5,0.7125705867822592
"Law enforcement encounters (e.g., pulled over for violations)",0.2524038245786012,0.0403020977973938,0.39088504440625055,0.0105094313621519,0.9978460574056957,5205.5,0.15229004187093761
Yelling during road incidents,0.6216441328206277,0.9849698133766652,0.4796471119316486,0.0002537369728088,0.99561980785802,5906.5,0.9354199281576276
Shouting matches in public spaces,0.6203014895027458,0.9792815260589124,0.4736010857233439,0.000828146934509,0.9921336006373168,5802.5,0.8874525476355013
Screaming in the context of accidents,0.6251143617478531,0.9764866232872011,0.4673381275934746,0.0030308365821838,0.9955110056325795,5846.5,0.9629469003587443
Embarrassment and passive behavior of passengers,0.2545162989057539,0.0069411993026732,0.4157390519320135,0.0002114176750184,0.9707320351153612,5052.5,0.07805540084938316
Dynamics of aggression based on gender and ethnicity,0.36018487398535753,0.3067469596862793,0.31116821677742973,0.0071076154708862,0.9524076953530312,5506.5,0.434739581840221
Female vs. male aggression in driving incidents,0.4274003131330506,0.2296980023384094,0.40307794451750806,0.0009661912918091,0.984008338302374,5818.5,0.9148234450383632
Women as passengers vs. drivers in conflicts,0.5618547245182774,0.7221449613571167,0.35347644699117897,0.0036330223083496,0.9570205062627792,5696.5,0.710960322222524
Perceptions of responsibility based on gender,0.48793624353802895,0.5324423909187317,0.21524511886669026,0.0109813213348386,0.8569740802049637,5337.5,0.25168271562745026
Male vs. female reactions to law enforcement,0.12059472316552779,0.0847351551055908,0.10077878508439751,0.0056604743003844,0.4323068857192993,5602.5,0.5661870214673174
Gender roles in conflict resolution,0.40307392179965973,0.3514454960823059,0.3361368824184635,0.0022586584091187,0.928115464746952,5342.5,0.25617924563571626
Ethnic background and driving behavior,0.6326428483979207,0.8467401266098022,0.37098639260544747,0.0180209875106811,0.9925863617099822,5950.5,0.860215232726949
Stereotypical responses during accidents,0.3083555416073188,0.1220340728759763,0.3450045235160453,0.0086768865585328,0.9616268053650856,5756.5,0.809615304145715
Law enforcement encounters involving different ethnic groups,0.5772169419749031,0.7564699351787567,0.36785320785322917,0.0260393619537353,0.9955894239246847,5902.5,0.9422957285594783
Aggression and passivity associated with ethnicity,0.10177891578309786,0.0233194231986999,0.20830346442409525,0.0049865841865539,0.8770148530602458,5701.5,0.7190244031168559
Cultural stereotypes in conflict scenarios,0.5036141424986326,0.458531379699707,0.29852546278613123,0.0196858644485472,0.987778070382774,5688.5,0.6981251448699696
Traffic stops and racial profiling,0.051063460967511125,0.00398850440979,0.19032681847937863,0.0004699230194091,0.9693210944533348,5534.5,0.4711517806740567
Legal consequences of traffic violations,0.23441594531220836,0.0699108242988586,0.32559536189751515,0.0027437806129454,0.9674460291862488,5098.5,0.09637484860173613
Record of traffic offenses,0.11816427145491941,0.0073495507240296,0.294917086416273,0.0002672076225279,0.96186213567853,5394.5,0.3062559882924413
Differential treatment based on ethnicity during stops,0.156174594705755,0.0566605925559997,0.21056089532072286,0.0044969916343687,0.932552583515644,5568.5,0.5175405729768938
Compliance and resistance in interactions with police,0.8968642154508386,0.9493445754051208,0.11360417849094226,0.2959279716014862,0.9978960752487184,6502.5,0.17105309417372028
