cluster,polarity,subjectivity,readability_score,syntactic_complexity,lexical_diversity,text_length,question_marks,exclamation_marks,avg_word_length,unique_word_count,sentiment_score_range,noun_phrase_count,verb_phrase_count,named_entity_count,passive_voice_count,active_voice_count,modal_verbs_count,conditional_sentences_count,sentence_count,average_sentence_length,stop_words_count,punctuation_diversity,readability grades__Kincaid,readability grades__ARI,readability grades__Coleman-Liau,readability grades__FleschReadingEase,readability grades__GunningFogIndex,readability grades__LIX,readability grades__SMOGIndex,readability grades__RIX,readability grades__DaleChallIndex,sentence info__characters_per_word,sentence info__syll_per_word,sentence info__words_per_sentence,sentence info__sentences_per_paragraph,sentence info__type_token_ratio,sentence info__characters,sentence info__syllables,sentence info__words,sentence info__wordtypes,sentence info__sentences,sentence info__paragraphs,sentence info__long_words,sentence info__complex_words,sentence info__complex_words_dc,word usage__tobeverb,word usage__auxverb,word usage__conjunction,word usage__pronoun,word usage__preposition,word usage__nominalization,sentence beginnings__pronoun,sentence beginnings__interrogative,sentence beginnings__article,sentence beginnings__subordination,sentence beginnings__conjunction,sentence beginnings__preposition,topic
0,0.022373423,0.015786845,0.011114852,0.012027977,0.008604584,0.012068437,0.0,0.0,0.012964407,0.015382968,0.024888743,0.012312578,0.036214545,0.029658746,0.032424085,0.013765514,0.0,0.0,0.0032375015,0.023527764,0.015772946,0.024780137,0.016328659,0.016636988,0.017427748,0.013856133,0.007385773,0.01289835,0.013567204,0.00755095,0.009915443,0.006272204,0.0112004485,0.022710841,0.0,0.00865814,0.012402377,0.008642125,0.0056125056,0.011456992,0.0,0.0,0.008482409,0.011660762,0.0072646425,0.009467414,0.0,0.29033405,0.022183692,0.011206257,0.04676386,0.00091999455,0.0,0.023998214,0.0,0.0,0.027450165,0.010839638
1,0.013002917,0.013139591,0.0076111644,0.009795205,0.0064200396,0.008755529,0.0,0.0,0.008528017,0.009595763,0.019416105,0.009259015,0.019886687,0.37699264,0.018526422,0.0065994486,0.0,0.0,0.08651749,0.013124907,0.00884671,0.028648328,0.01298663,0.013041073,0.0060216216,0.01724745,0.019173581,0.014305741,0.012904664,0.0032787528,0.010098353,0.009300883,0.0098973885,0.0117468,0.0,0.007601045,0.0073732743,0.011076545,0.0018356502,0.009597592,0.0,0.0,0.0017295696,0.00930375,0.008077226,0.032148175,0.0,0.014544403,0.005731974,0.0009546544,0.0,0.06188398,0.0,0.0,0.0,0.0,0.004457261,0.01901596
2,0.026856989,0.023122245,0.020008989,0.01962115,0.018754814,0.013885526,0.0,0.003949292,0.039065227,0.015310699,0.0099875685,0.0034895926,0.0042275493,0.023114515,0.014297238,0.0046697846,0.0,0.0,0.0,0.024289314,0.0114124315,0.0037711312,0.039971087,0.011093339,0.018841328,0.061491497,0.02907176,0.018395193,0.08625424,0.010761397,0.015271406,0.021420773,0.013094375,0.006161443,0.0,0.025849262,0.03653447,0.0018108671,1.3886061e-05,0.033154104,0.0,0.0,0.004156737,0.017143028,0.0072404444,0.08121802,0.0,0.0,0.0,0.11464858,0.0,0.0,0.0,0.052487623,0.005519513,0.0,0.0,0.008561599
3,0.008210506,0.023469228,0.01686528,0.021015966,0.012836429,0.014643863,0.0,0.0,0.016843064,0.010093466,0.04862192,0.03789914,0.011816628,0.02457803,0.071244024,0.0139634805,4.2703727e-05,0.0,0.060065635,0.014552759,0.039338656,0.0529715,0.012100489,0.013859944,0.013665633,0.01629508,0.015350835,0.023101736,0.009121092,0.014072508,0.03544722,0.01571984,0.014609873,0.010658925,0.0,0.018613826,0.03387121,0.010496558,0.0027963277,0.031799108,0.0,0.0,0.0080850925,0.015594872,0.020519763,0.011675658,1.2839693e-05,0.036607575,0.014177004,0.026566684,0.00905274,0.028517583,0.0,0.02242487,0.0,0.0,0.0,0.016112858
4,0.03077681,0.0152058825,0.016386308,0.01916467,0.014614439,0.028849777,0.0,0.0,0.012582841,0.02804088,0.026076097,0.008199282,0.005669662,0.052979518,0.024976049,0.033890203,0.0,0.0,0.0017203882,0.033006206,0.022103293,0.02372108,0.011954112,0.011432699,0.00939629,0.012373242,0.018643709,0.022548495,0.029396242,0.01050125,0.017250786,0.006634454,0.012862369,0.009461455,0.0,0.026291113,0.030014515,0.010121038,0.00041354663,0.040949475,0.0,0.0,0.0008859428,0.0107939625,0.0068390956,0.06643011,0.0,0.027629962,0.010559788,0.017871503,0.020205155,0.0,0.0,0.0,0.0,0.0,0.12341231,0.037164003
5,0.029082406,0.021284932,0.024649194,0.014712134,0.010981409,0.01891188,0.0,0.0,0.014908738,0.011107706,0.04775039,0.02100643,0.010206521,0.013381237,0.024896186,0.020581985,0.020902207,0.0,0.0022658543,0.009939342,0.025786057,0.092118084,0.01570678,0.025006572,0.01448937,0.014365675,0.011842625,0.019983208,0.020040592,0.013517884,0.016447436,0.010419632,0.015393561,0.013933117,0.0,0.013702084,0.014092061,0.029607493,0.0069539202,0.014766169,0.0,0.0,0.0057756035,0.0038752444,0.012525384,0.0658444,0.008434168,0.04284083,0.011462601,0.026006768,0.026616197,0.041024834,0.0,0.004740215,0.0,0.0,0.016043264,0.030069614
6,0.0131660905,0.017227497,0.022379942,0.01719789,0.02334778,0.015791677,0.0,0.006995037,0.009554141,0.025904328,0.059609722,0.029785356,0.031353034,0.008842378,0.041355938,0.03138232,0.0035713196,0.0,0.0,0.012365965,0.019208679,0.028960835,0.010183016,0.010716893,0.011759757,0.009381594,0.009032009,0.010011269,0.022651711,0.019241322,0.012204507,0.007539454,0.009602214,0.024774935,0.0,0.023335481,0.00793826,0.01056908,0.0045986623,0.025067693,0.0,0.0,0.0037405554,0.02334303,0.011121096,0.022249196,0.0043556183,0.033604983,0.0154063655,0.033039447,0.011979746,0.034420755,0.0,0.0008733034,0.003059478,0.0,0.022226194,0.13397244
7,0.0164059,0.015029147,0.012748947,0.015408723,0.02198578,0.017394172,0.0,0.0,0.01243624,0.026658054,0.012844568,0.0150752235,0.015220049,0.014493669,0.01506565,0.01875615,0.011396238,0.00032786938,0.045482103,0.012821151,0.02733536,0.017352859,0.012142256,0.012772253,0.01239935,0.0131815,0.041276984,0.011629079,0.009318514,0.009846169,0.012509418,0.007835271,0.016755337,0.010303436,0.0,0.028365742,0.008986294,0.008864839,0.0091301855,0.007835774,0.0,0.0,0.008042888,0.012496503,0.0084252525,0.018345399,0.0005918635,0.27076048,0.030519944,0.012772013,0.03082754,0.0026387805,0.0,0.0054721823,0.0,0.0,0.0053893416,0.016327541
8,0.027992953,0.03312814,0.056203257,0.025876606,0.019036073,0.0089724455,0.0,0.0,0.023810498,0.024143578,0.037124418,0.014164631,0.11461152,0.02247475,0.0,0.1462276,0.0,0.0,0.0012198568,0.010742726,0.019154962,0.025389668,0.011866136,0.008764993,0.01222591,0.010767916,0.007693035,0.01028306,0.044453807,0.004196796,0.018980952,0.008309786,0.009156917,0.018043673,0.0,0.010214955,0.0086936895,0.0056714504,0.0047330535,0.018409258,0.0,0.0,0.003449509,0.00144953,0.010802482,0.0,0.021394756,0.06570005,0.037302513,0.008102177,0.0010736011,0.0,0.0,0.0,0.0,0.0,0.012840408,0.015145923
9,0.0123315845,0.02642993,0.011415174,0.02500366,0.016392987,0.016143396,0.0,0.0,0.010745072,0.011314247,0.020601496,0.024943653,0.034534056,0.014581846,0.014032887,0.011707038,0.0069419057,0.0,0.017332602,0.03399112,0.025510723,0.019500053,0.0122120585,0.012513338,0.012857823,0.017052874,0.009833689,0.0075876033,0.015606937,0.009312242,0.016496103,0.008214684,0.008335482,0.012873724,0.0,0.009273502,0.0041652573,0.007957506,0.0026290594,0.01133647,0.0,0.0,0.017870393,0.017055795,0.01179652,0.024475554,0.0,0.20867836,0.02923002,0.013792561,0.012314809,0.0025213654,0.004953823,0.047093026,0.0018422179,0.0,0.0016923029,0.07497145
