,mean,median,std,min,max,u_stat,p_val
polarity,0.03291201229411765,0.05,0.1838048970424736,-0.7,0.327272727,152484.5,0.7119573550551401
subjectivity,0.5063810089764705,0.551851852,0.17967074335926841,0.2,0.84375,202895.0,1.1293712388259233e-08
readability_score,59.33494117647058,61.67,15.382585826924194,30.02,90.09,85142.5,1.3635414320558023e-11
syntactic_complexity,14.617843137058825,16.0,4.449548003256379,7.5,26.0,109274.0,2.581611033608398e-05
lexical_diversity,0.8641570408117648,0.833333333,0.07751999679503388,0.704225352,1.0,183105.5,0.00030513120739525265
text_length,220.96470588235294,218.0,107.05911218294574,77.0,471.0,128709.0,0.031644826427291335
question_marks,1.0,1.0,0.0,1.0,1.0,149430.0,0.6224211400758701
exclamation_marks,0.0,0.0,0.0,0.0,0.0,144712.5,0.11253649179873366
avg_word_length,4.944115275235294,5.0,0.5008045383223823,3.909090909,5.733333333,173099.0,0.010741636973178734
unique_word_count,31.28235294117647,33.0,13.180624095262571,13.0,64.0,131736.0,0.06739489131357874
sentiment_score_range,0.4315742721411765,0.325,0.3324644704773654,0.0,1.5,198338.5,1.6351442010259475e-07
noun_phrase_count,9.764705882352942,10.0,4.247259785588175,4.0,21.0,114962.5,0.00030267154341277573
verb_phrase_count,3.7529411764705882,3.0,2.385002158094966,1.0,11.0,113134.0,0.00013377355688563622
named_entity_count,2.6705882352941175,2.0,2.008246304935855,0.0,8.0,120496.5,0.002191169056847727
passive_voice_count,0.5882352941176471,0.0,0.8631906158060839,0.0,3.0,166614.5,0.02096973626478677
active_voice_count,1.3411764705882352,1.0,0.9070220921401264,0.0,4.0,93490.5,6.404605398899456e-10
modal_verbs_count,0.3411764705882353,0.0,0.7645873642266225,0.0,4.0,163099.0,0.009443754555231039
conditional_sentences_count,0.0,0.0,0.0,0.0,0.0,147517.5,0.3548372348336567
sentence_count,2.835294117647059,3.0,0.8843488164359427,2.0,5.0,149749.0,0.9323666715335216
average_sentence_length,14.617843137058825,16.0,4.449548003256379,7.5,26.0,109274.0,2.581611033608398e-05
stop_words_count,21.141176470588235,24.0,10.51207122581381,7.0,48.0,138577.5,0.26930638817003183
punctuation_diversity,2.9058823529411764,3.0,0.5482337312585172,2.0,4.0,127459.0,0.008522795187915395
readability grades__Kincaid,17.209227546188234,16.60285714,6.5478594279804305,6.96,33.94117647,136007.0,0.1687734371069637
readability grades__ARI,19.96944476134118,18.98181818,9.044763618528151,7.422,42.12647059,129904.5,0.04314778161709241
readability grades__Coleman-Liau,11.166781642917647,10.87021015,2.8980723816474985,5.977098,16.14011893,163622.5,0.1217128610968169
readability grades__FleschReadingEase,39.21640151494117,43.20142857,19.142697779588808,0.558947368,80.785,144426.0,0.6278432852626891
readability grades__GunningFogIndex,21.10918976529412,19.82857143,7.087855047066588,10.0,38.70588235,147332.0,0.8594424856669156
readability grades__LIX,61.93625133588234,58.66666667,18.51312439402013,35.0,105.0,134374.0,0.12136656563647712
readability grades__SMOGIndex,15.116547710352942,13.95445115,3.828290810842534,8.477225575,24.21320344,173248.5,0.009745018996236839
readability grades__RIX,8.905882352941177,7.0,5.215872135017455,3.0,21.0,137306.0,0.21429923581706045
readability grades__DaleChallIndex,10.651292050188237,10.67086364,1.6312550190423385,6.997,13.11212105,155727.0,0.4766713592512637
sentence info__characters_per_word,4.764463106552941,4.763636364,0.5093630932649401,3.818181818,5.6,169971.5,0.026428534608587066
sentence info__syll_per_word,1.5263851858235296,1.542857143,0.18478653300198733,1.181818182,1.866666667,187796.0,4.005625511397741e-05
sentence info__words_per_sentence,37.917647058823526,42.0,18.053631586065396,13.0,85.0,125555.0,0.013016728836296123
sentence info__sentences_per_paragraph,1.0,1.0,0.0,1.0,1.0,149005.0,1.0
sentence info__type_token_ratio,0.845888361929412,0.833333333,0.08763529509542202,0.675324675,1.0,184283.0,0.00018733948694512942
sentence info__characters,179.51764705882354,171.0,87.44938832380294,63.0,380.0,129319.0,0.037133987415423814
sentence info__syllables,56.64705882352941,55.0,26.194195050463694,21.0,118.0,131957.0,0.07105640907081226
sentence info__words,37.917647058823526,42.0,18.053631586065396,13.0,85.0,125555.0,0.013016728836296123
sentence info__wordtypes,30.729411764705883,34.0,12.636293379157737,13.0,65.0,132933.0,0.0886965350592509
sentence info__sentences,1.0,1.0,0.0,1.0,1.0,149005.0,1.0
sentence info__paragraphs,1.0,1.0,0.0,1.0,1.0,149005.0,1.0
sentence info__long_words,8.905882352941177,7.0,5.215872135017455,3.0,21.0,137306.0,0.21429923581706045
sentence info__complex_words,5.376470588235295,4.0,3.405095868128893,1.0,15.0,173248.5,0.009745018996236839
sentence info__complex_words_dc,12.117647058823529,10.0,6.7689975425532865,3.0,26.0,137058.0,0.2051991665693108
word usage__tobeverb,2.6941176470588237,3.0,1.422803481827044,0.0,8.0,179817.0,0.0008367853051809929
word usage__auxverb,0.3411764705882353,0.0,0.7645873642266225,0.0,4.0,164809.0,0.002438829410444438
word usage__conjunction,1.811764705882353,2.0,0.9819091904363179,1.0,5.0,145535.5,0.6939243372442111
word usage__pronoun,2.070588235294118,2.0,1.7646545277308239,0.0,6.0,152532.0,0.7016644720660332
word usage__preposition,3.7411764705882353,3.0,2.8079518937358974,0.0,14.0,111812.5,7.33522433597528e-05
word usage__nominalization,0.5764705882352941,0.0,0.6965300148770689,0.0,2.0,180179.0,1.1350882730774593e-05
sentence beginnings__pronoun,0.16470588235294117,0.0,0.373116183345764,0.0,1.0,150809.5,0.7592765840654971
sentence beginnings__interrogative,0.058823529411764705,0.0,0.23669053416557545,0.0,1.0,154370.0,0.030995802369641754
sentence beginnings__article,0.15294117647058825,0.0,0.3620668957178907,0.0,1.0,139069.0,0.1413282871119548
sentence beginnings__subordination,0.058823529411764705,0.0,0.23669053416557545,0.0,1.0,152882.5,0.18727585896015542
sentence beginnings__conjunction,0.0,0.0,0.0,0.0,0.0,149005.0,1.0
sentence beginnings__preposition,0.03529411764705882,0.0,0.18561729852738681,0.0,1.0,136329.0,0.016453129122428602
topic,62.28235294117647,74.0,31.078093557354254,3.0,97.0,187510.0,4.5565246889028185e-05
