,mean,median,std,min,max,u_stat,p_val
Unnamed: 0,1982.8959731543623,1887.5,1176.5192653478189,13.0,4092.0,504375.5,0.322206878360626
polarity,0.08065938168474013,0.04,0.19298505926851509,-0.6333333333333334,0.7,577197.0,0.002530206930442658
subjectivity,0.3591957367297132,0.37111111111111106,0.24778638537142644,0.0,0.9,499811.0,0.21429212912143514
flesch_reading_ease,62.035234899328856,60.82,14.748967439011691,26.47,95.17,328121.5,1.3504951270558303e-26
syntactic_complexity,14.74463087248322,14.0,3.6771540503051985,8.5,28.33333333333333,356790.5,8.985570229725232e-20
lexical_diversity,0.8906913065591181,0.9090909090909092,0.07560333458395395,0.631578947368421,1.0,729032.5,7.034672413711119e-30
text_length,202.18791946308724,182.5,77.99018924120529,83.0,478.0,401113.0,2.6762999762301763e-11
question_marks,1.0,1.0,0.0,1.0,1.0,523884.0,0.35615205438709474
exclamation_marks,0.0,0.0,0.0,0.0,0.0,507345.0,0.002986074997315249
avg_word_length,5.186256877561217,5.131481481481481,0.46399535087414434,4.0,6.485714285714286,760758.0,3.466522232810503e-39
unique_word_count,28.58053691275168,27.0,8.826148614999282,14.0,56.0,386357.0,7.600408013841712e-14
sentiment_score_range,0.23675261466189076,0.17310606060606054,0.2645503959074843,0.0,1.0722222222222222,477659.5,0.01369660203553432
noun_phrase_count,9.516778523489933,9.0,3.3707076994642295,4.0,22.0,376699.5,1.005613182715072e-15
verb_phrase_count,3.6912751677852347,3.0,2.088607316695589,1.0,12.0,393141.0,8.986379576702983e-13
named_entity_count,2.9194630872483223,3.0,1.9797519775396752,0.0,9.0,456684.0,0.0002481047352948648
passive_voice_count,0.3959731543624161,0.0,0.4967068920909218,0.0,2.0,553807.5,0.033203698914945186
active_voice_count,1.5973154362416107,2.0,0.9458003084146693,0.0,4.0,407047.0,2.6169731497047012e-11
modal_verbs_count,0.0738255033557047,0.0,0.27448046379288005,0.0,2.0,493896.0,0.005361314829583852
conditional_sentences_count,0.06040268456375839,0.0,0.23863212659786756,0.0,1.0,548733.0,1.0194769698524487e-12
sentence_count,2.5503355704697985,2.0,0.6760575116565024,2.0,5.0,435334.0,2.2802380740699654e-07
average_sentence_length,14.74463087248322,14.0,3.6771540503051985,8.5,28.33333333333333,356790.5,8.985570229725232e-20
stop_words_count,15.667785234899329,14.0,7.025233676513039,6.0,43.0,314025.0,2.2010482494834875e-30
punctuation_diversity,2.9865771812080535,3.0,0.7246183454400369,2.0,5.0,464804.0,0.0002650708754458679
readability grades__Kincaid,16.249470164354882,15.776666666666667,5.273931096742228,5.206666666666667,33.900000000000006,446536.0,3.0766256736833836e-05
readability grades__ARI,18.838748906963584,16.806000000000004,6.543080086394991,7.1080000000000005,41.76675,427386.0,1.7907702313711098e-07
readability grades__Coleman-Liau,12.82439407417526,12.50436678703704,2.6974742600490824,5.920905130434786,20.648900057142868,760277.0,4.913163661111665e-39
readability grades__FleschReadingEase,37.416243482107284,36.1605263157895,20.87264129561287,-7.558571428571405,84.45000000000003,472538.0,0.006160158504013073
readability grades__GunningFogIndex,18.762696356513658,18.35121951219512,5.881671971294645,7.6,39.0,430793.5,4.836152937544793e-07
readability grades__LIX,60.12124999071368,57.121212121212125,15.251782192070456,28.333333333333336,107.5,457425.0,0.0003576886721319736
readability grades__SMOGIndex,14.134145070524937,13.954451150103322,3.847769233236,3.0,23.4939015319192,565561.5,0.01693159866373331
readability grades__RIX,8.93288590604027,8.0,4.261114489662234,2.0,22.0,519668.0,0.8806573405675769
readability grades__DaleChallIndex,11.320967253101855,11.535918181818182,1.4985967332538819,6.8368652173913045,14.632933333333336,670957.0,3.2875202794407145e-16
sentence info__characters_per_word,5.0418124896871905,5.0,0.461784507245888,3.9130434782608696,6.342857142857143,776995.0,1.8409434878842024e-44
