cluster,overall_accuracy,precision_0,recall_0,roc_auc_0,f1-score_0,support_0,precision_1,recall_1,roc_auc_1,f1-score_1,support_1
0,0.8730107526881719,0.5488095238095239,0.595,0.7527849002849003,0.5566378066378067,4.2,0.9355034595034596,0.9170940170940172,0.7527849002849003,0.925634368098297,26.5
1,0.8716450216450216,0.2666666666666667,0.3,0.7104166666666666,0.2583333333333333,1.5,0.9438369598238019,0.9154761904761903,0.7104166666666666,0.928023650032188,20.2
2,0.8,0.24166666666666664,0.3,0.8337121212121212,0.2633333333333333,2.3,0.8646336996336996,0.9045454545454545,0.8337121212121212,0.8816074794770448,11.7
3,0.7788537549407115,0.48238095238095235,0.45,0.7719281045751634,0.4449206349206348,4.8,0.8547213008010222,0.8702614379084969,0.7719281045751634,0.860283145902341,17.8
4,0.8054945054945055,0.21666666666666665,0.35,0.7022435897435897,0.25,1.5,0.9161655011655011,0.8641025641025643,0.7022435897435897,0.8871917502787069,12.4
5,0.818659420289855,0.3433333333333334,0.33333333333333337,0.7450793650793652,0.3102380952380952,3.2,0.898697947107558,0.8926190476190475,0.7450793650793652,0.8944242745641378,20.6
6,0.8769886363636363,0.7111904761904763,0.58,0.8377336860670195,0.5868981018981019,5.2,0.9231170259724208,0.9342592592592593,0.8377336860670195,0.9268952382653433,27.3
7,0.7473544973544974,0.4877958152958152,0.47857142857142854,0.7752886002886002,0.4668043068043069,6.5,0.8398207135291533,0.8298701298701298,0.7752886002886002,0.832373933005722,21.2
8,0.8681578947368422,0.29166666666666663,0.3333333333333333,0.8099673202614378,0.29333333333333333,2.1,0.9226599587203304,0.9316993464052288,0.8099673202614379,0.9258881123896604,17.6
9,0.893669985775249,0.6321428571428571,0.5399999999999999,0.8259659090909091,0.55995670995671,4.7,0.9343360071301248,0.9453598484848484,0.8259659090909091,0.9392763109700162,32.8
10,0.8411806543385492,0.5319047619047619,0.5166666666666666,0.8368986742424243,0.4965573315573316,5.5,0.9153232434646424,0.8976325757575758,0.8368986742424243,0.9048744758608308,32.2
11,0.9,0.7666666666666667,0.6666666666666667,0.9403703703703703,0.6799999999999999,2.4,0.9249494949494949,0.9588888888888889,0.9403703703703703,0.9386618060302272,9.6
12,0.884,0.3333333333333333,0.31666666666666665,0.7413043478260869,0.30666666666666664,2.2,0.9368511198945981,0.9365942028985508,0.7413043478260871,0.9362153649618961,23.6
13,0.843019943019943,0.3844444444444444,0.4083333333333334,0.8379446640316207,0.3631257631257631,3.8,0.9092411147628539,0.9120553359683793,0.8379446640316205,0.9074733567975276,22.9
14,0.7652380952380952,0.12833333333333333,0.2,0.7012820512820512,0.1519047619047619,2.0,0.8686441336441335,0.8583333333333334,0.7012820512820512,0.8601556559382647,12.1
15,0.8181286549707603,0.14999999999999997,0.2,0.6336397058823529,0.17,1.9,0.9073205922044932,0.8900735294117647,0.6336397058823529,0.896346937113066,16.3
16,0.8636363636363636,0.5333333333333334,0.7,0.8555555555555555,0.5933333333333333,1.8,0.9373737373737374,0.9011111111111113,0.8555555555555555,0.9160276917784659,9.2
17,0.8666666666666666,0.4,0.4,0.75,0.4,0.6,0.8666666666666666,0.9,0.75,0.8800000000000001,2.3
18,0.7319444444444445,0.05,0.1,0.6160714285714286,0.06666666666666667,1.0,0.8708730158730159,0.8142857142857143,0.6160714285714286,0.8363946347769877,7.6
19,0.7416666666666666,0.41666666666666663,0.45,0.7452380952380953,0.39999999999999997,1.8,0.8636904761904761,0.8095238095238095,0.7452380952380953,0.8302131202131202,6.7
