,mean,median,std,min,max,u_stat,p_val
polarity,0.006896551724137932,0.0,0.037139067635410375,0.0,0.2,39150.0,0.03226614248275873
subjectivity,0.017405582931034485,0.0,0.07610833011037729,0.0,0.4,7795.0,3.5175420797423635e-15
readability_score,66.14068965517241,65.22,9.622388302819957,41.87,86.2,36765.5,0.010147305767246232
syntactic_complexity,15.517241379310345,16.5,3.400322355046151,8.5,19.5,43933.0,0.20711828276017585
lexical_diversity,0.8887040843793105,0.892857143,0.04819473965899766,0.827586207,1.0,71456.0,0.0001649822594800601
text_length,152.44827586206895,166.0,34.53526790201634,84.0,182.0,24583.5,1.6157647419956294e-06
question_marks,1.0,1.0,0.0,1.0,1.0,50982.0,0.7741301798295566
exclamation_marks,0.0,0.0,0.0,0.0,0.0,49372.5,0.353972167284489
avg_word_length,5.2704286475172415,5.310344828,0.5275188338542967,4.19047619,6.291666667,76036.5,4.148772056218562e-06
unique_word_count,21.448275862068964,22.0,3.521223477475567,14.0,27.0,17413.0,1.0046314335423667e-09
sentiment_score_range,0.006896551724137932,0.0,0.037139067635410375,0.0,0.2,10235.5,1.0107733684354672e-13
noun_phrase_count,8.931034482758621,9.0,1.1628485493685208,6.0,10.0,34032.0,0.0020857264324763043
verb_phrase_count,2.0,2.0,0.5345224838248488,1.0,4.0,17839.0,1.3336672313903437e-09
named_entity_count,2.0,2.0,0.2672612419124244,1.0,3.0,26058.0,4.3276012335961846e-06
passive_voice_count,0.10344827586206896,0.0,0.30993404669460345,0.0,1.0,40330.5,0.01695438275848756
active_voice_count,1.0689655172413792,1.0,0.25788071477756375,1.0,2.0,19830.0,2.586698724354065e-09
modal_verbs_count,0.41379310344827586,0.0,0.5012300141587652,0.0,1.0,65018.5,6.720716494339169e-06
conditional_sentences_count,0.0,0.0,0.0,0.0,0.0,50329.5,0.5891074439713581
sentence_count,2.0,2.0,0.0,2.0,2.0,21054.0,4.328457762507563e-09
average_sentence_length,15.517241379310345,16.5,3.400322355046151,8.5,19.5,43933.0,0.20711828276017585
stop_words_count,12.89655172413793,12.0,2.663842922039603,8.0,19.0,21410.5,7.47367039433026e-08
punctuation_diversity,2.9310344827586206,3.0,0.5298944964234876,2.0,4.0,44466.0,0.1798388398798233
readability grades__Kincaid,12.44169698627586,13.2483871,2.510920490017284,7.566666667,15.91777778,25929.5,5.353846243287352e-06
readability grades__ARI,13.758727943034481,14.92222222,3.485238332571555,7.066956522,17.475,24710.0,1.8130871526264607e-06
readability grades__Coleman-Liau,10.796471660344828,10.55762387,2.20561014718512,4.131385261,15.40040419,55892.0,0.355778824836678
readability grades__FleschReadingEase,51.863543582758616,49.83451613,11.025202109134074,29.03,80.49869565,68092.5,0.0016191862956470044
readability grades__GunningFogIndex,16.732467839655172,17.56129032,3.08160500208331,10.93913043,21.17037037,33756.0,0.0018049130999467859
readability grades__LIX,51.06679174931035,53.13793103,9.313820443233961,27.34782609,67.74074074,29799.0,0.0001212932879828841
readability grades__SMOGIndex,13.976777929827588,13.95445115,2.2022718867603635,8.477225575,17.49137675,53716.0,0.5964152815154429
readability grades__RIX,6.586206896551724,7.0,2.2759180467813476,1.0,11.0,36562.0,0.008931333324154713
readability grades__DaleChallIndex,10.67685059517241,10.51972759,1.0537542591947362,8.43762381,13.16310741,53289.0,0.6542375827713346
sentence info__characters_per_word,4.729285528517241,4.666666667,0.35491721194481124,3.608695652,5.5,61625.0,0.04874158019311399
sentence info__syll_per_word,1.5219439293448274,1.518518519,0.10963668006633691,1.217391304,1.777777778,68850.5,0.0009984153531824584
sentence info__words_per_sentence,25.82758620689655,27.0,5.3054484495876055,15.0,31.0,22450.0,2.1347175655766575e-07
