,mean,median,std,min,max,u_stat,p_val
Unnamed: 0,2187.435294117647,2116.0,1198.7682214421168,116.0,4060.0,158723.5,0.30351467730227133
polarity,0.1726335625159154,0.1333333333333333,0.15118017079676088,-0.1466666666666666,0.5,221181.0,1.862013505975165e-14
subjectivity,0.5786016042780748,0.5333333333333333,0.2567515384942725,0.0,1.0,214893.0,2.9235963224538832e-12
flesch_reading_ease,69.27976470588234,69.11,7.359665490662859,54.86,89.08,129591.0,0.03982913859160084
syntactic_complexity,19.241176470588233,16.0,5.1104536681862065,13.0,28.0,181461.5,0.000587731614382136
lexical_diversity,0.7919790559596882,0.8214285714285714,0.0777045814465878,0.6086956521739131,0.92,118305.0,0.0011508844184087352
text_length,256.7647058823529,181.0,112.18953425626945,133.0,437.0,157531.5,0.36667188020450947
question_marks,1.0,1.0,0.0,1.0,1.0,149430.0,0.6224211400758701
exclamation_marks,0.0,0.0,0.0,0.0,0.0,144712.5,0.11253649179873366
avg_word_length,4.697588715384005,4.714285714285714,0.23110259310255382,4.09375,5.230769230769231,137094.5,0.20730232404392102
unique_word_count,34.62352941176471,28.0,12.357739497585957,20.0,51.0,150959.0,0.8360781872191377
sentiment_score_range,0.2686766827943299,0.175,0.23021441367408457,0.0,1.0333333333333332,160165.0,0.23623559224685098
noun_phrase_count,10.376470588235295,9.0,5.101298785576071,4.0,18.0,120778.0,0.0027374475920372383
verb_phrase_count,7.870588235294117,6.0,3.7600286070787305,1.0,13.0,210811.0,4.71715646408419e-11
named_entity_count,3.2588235294117647,3.0,1.5442130155956508,0.0,6.0,151461.0,0.7918959477874319
passive_voice_count,1.5529411764705883,2.0,0.8092601317155774,0.0,2.0,246262.0,1.6229362632685212e-36
active_voice_count,1.5647058823529412,2.0,0.6627334956636113,0.0,3.0,107922.0,4.72412500268726e-06
modal_verbs_count,0.047058823529411764,0.0,0.21302148074901786,0.0,1.0,137422.5,0.03058385638164576
conditional_sentences_count,0.0,0.0,0.0,0.0,0.0,147517.5,0.3548372348336567
sentence_count,2.4941176470588236,2.0,0.5029325764658602,2.0,3.0,122148.0,0.002137849963587867
average_sentence_length,19.241176470588233,16.0,5.1104536681862065,13.0,28.0,181461.5,0.000587731614382136
stop_words_count,23.88235294117647,19.0,11.977570073848433,12.0,41.0,150851.0,0.8449817442854748
punctuation_diversity,2.764705882352941,3.0,0.6295701258933486,2.0,4.0,111253.0,4.257625235903653e-06
readability grades__Kincaid,19.66694354316955,15.13714285714286,7.379109071035321,9.264,30.97,163668.5,0.12054347997351868
readability grades__ARI,22.96873911073611,16.288214285714282,9.821018644066289,11.040399999999998,38.35621621621622,156269.0,0.4418651285805958
readability grades__Coleman-Liau,10.394394831717127,10.65181032142857,1.4858809627853276,6.242761468750004,13.365071153846152,150711.0,0.856700753106351
readability grades__FleschReadingEase,35.2369710678642,39.42928571428574,19.490078271668185,2.842142857142889,76.53625000000002,128887.5,0.033175097572884234
readability grades__GunningFogIndex,23.16593127360715,17.933333333333334,7.5798519838705465,14.05,35.005405405405405,166008.5,0.0718166305369983
readability grades__LIX,68.58443908741539,61.0,20.65900996449853,41.375,106.43243243243244,161724.0,0.17810165271427103
readability grades__SMOGIndex,15.365892371516027,13.954451150103322,2.849812019211904,8.477225575051662,20.32050807568877,186290.0,7.040016811047104e-05
