Feature,Coefficient,Odds Ratio,Probability Increase (%)
sentence info__wordtypes,-0.13732026028006972,0.8716910134160337,12.830898658396627
readability grades__RIX,-0.11647190368487433,0.890055103894053,10.994489610594705
sentence info__long_words,-0.11647190368487433,0.890055103894053,10.994489610594705
sentence info__complex_words_dc,-0.11631257543665549,0.8901969261124174,10.98030738875826
noun_phrase_count,-0.09913291950776562,0.9056223251494291,9.43776748505709
sentence info__syllables,-0.09634829064875411,0.9081476616420221,9.18523383579779
unique_word_count,-0.09464924704661183,0.9096919556562687,9.03080443437313
stop_words_count,-0.09070490801018216,0.913287174868688,8.671282513131196
Stereotyping of ethnic food practices as undesirable or problematic in real estate contexts,-0.03257395001730783,0.9679508672011876,3.2049132798812385
readability grades__GunningFogIndex,-0.025084139564281998,0.9752278533295347,2.4772146670465345
