Feature,SHAP_Importance
"Trust issues in various social interactions, including biases.",-1.3600924
Physical aggression in conflicts.,-0.7228056
Compassionate versus non-compassionate reactions to distress.,-0.45733282
topic,-0.42702034
Non-violent versus violent conflict resolution.,-0.3926787
Differences in polite behavior based on profession or social status.,-0.31361166
word usage__nominalization,-0.22818688
"Verbal aggression, such as yelling or making demands.",-0.21300726
Civility in handling dissatisfaction or complaints.,-0.21052769
Aggressive versus calm demeanor in stressful situations.,-0.18098648
