k,silhouette_score,calinski_harabasz_index,davies_bouldin_index,inertia
10,0.06821714190438218,641.05774575404,1.8514213004760167,121983.63914101517
20,0.03561563402811013,272.25551917454095,2.606074913638926,388862.0164286445
30,0.02549537311052835,195.877778666485,3.0543552388853157,665098.0491753361
40,0.018776986288444937,157.68709591257823,3.348683033542662,953675.5835708001
50,0.016544302413972766,143.94931404902047,3.575477018566244,1225335.4942123564
100,0.01326050304153694,114.69362618439744,4.024252854550368,2605384.831565393
200,0.012304398879451811,102.5265665246756,4.217415620232822,5351269.663444144
300,0.014094937024875907,96.94854890805028,4.324345581510499,8127370.410781605
400,0.013712946346456227,94.91119612219651,4.2958734777786125,10886260.222867744
500,0.01043066308591837,94.15354529801877,4.34526705417486,13631105.165110188
600,0.013429291313039379,93.51344462239818,4.392240607294733,16381002.386898713
700,0.011904428888580478,93.54736893429629,4.470542521988169,19109703.51139883
800,0.012848582782338774,93.93717861871639,4.351387598866009,21820428.74256559
900,0.012744589683054612,94.07493262713503,4.4290807054352115,24540345.38131209
1000,0.011754259415969708,94.14615913542498,4.366553115515177,27262665.014779113
1100,0.012569355295425699,93.70083297699175,4.45322882925587,30019117.57452308
1200,0.014971692353718497,93.30203603425086,4.366893564562933,32777674.15886629
1300,0.015465926382109892,92.0319666081119,4.456337914764257,35611470.70397424
1400,0.013724571101407342,91.00203760007119,4.364511133590078,38440641.51110139
1536,0.01427925770504024,88.78391503111234,4.346887726143645,42388701.10995735
